teacher,classtitle,classcode
tch_20210323-142359_1,class_20210323-142359_1,4DF4-W6a6
tch_20210323-142359_2,class_20210323-142359_2,aY73-Y62V
tch_20210323-142359_3,class_20210323-142359_3,4CE2-Hf79
tch_20210323-142359_4,class_20210323-142359_4,9CM6-jZVQ
tch_20210323-142359_5,class_20210323-142359_5,MHpu-38na
tch_20210323-142359_6,class_20210323-142359_6,H97V-bZV2
tch_20210323-142359_7,class_20210323-142359_7,ntx3-M4GF
tch_20210323-142359_8,class_20210323-142359_8,7Vmp-4782
tch_20210323-142359_9,class_20210323-142359_9,r2b3-8Pn3
tch_20210323-142359_10,class_20210323-142359_10,7rQ9-7GQB
tch_20210323-142359_11,class_20210323-142359_11,N629-ZF49
tch_20210323-142359_12,class_20210323-142359_12,i693-Qc9m
tch_20210323-142359_13,class_20210323-142359_13,a6Zw-bqrs
tch_20210323-142359_14,class_20210323-142359_14,LPQo-w28U
tch_20210323-142359_15,class_20210323-142359_15,r2FQ-oprj
tch_20210323-142359_16,class_20210323-142359_16,Cfz3-zMum
tch_20210323-142359_17,class_20210323-142359_17,Afu4-Uf4j
tch_20210323-142359_18,class_20210323-142359_18,sE2B-6TK9
tch_20210323-142359_19,class_20210323-142359_19,jX8r-P4Fp
tch_20210323-142359_20,class_20210323-142359_20,6bWV-u6zE
tch_20210323-142359_21,class_20210323-142359_21,VFg6-B8iA
tch_20210323-142359_22,class_20210323-142359_22,DiHP-YXY2
tch_20210323-142359_23,class_20210323-142359_23,Jm3D-b9pR
tch_20210323-142359_24,class_20210323-142359_24,9h6D-rTeK
tch_20210323-142359_25,class_20210323-142359_25,PAb6-NZ8v
tch_20210323-142359_26,class_20210323-142359_26,BZsb-B74i
tch_20210323-142359_27,class_20210323-142359_27,a4F8-qZ2s
tch_20210323-142359_28,class_20210323-142359_28,XHg3-Zdoh
tch_20210323-142359_29,class_20210323-142359_29,aVnc-Uvqi
tch_20210323-142359_30,class_20210323-142359_30,2Aw7-Eb9X
tch_20210323-142359_31,class_20210323-142359_31,TNK6-ro7i
tch_20210323-142359_32,class_20210323-142359_32,7t2U-RUW2
tch_20210323-142359_33,class_20210323-142359_33,yT6t-QvRU
tch_20210323-142359_34,class_20210323-142359_34,Be48-kj3L
tch_20210323-142359_35,class_20210323-142359_35,8sZF-s3r9
tch_20210323-142359_36,class_20210323-142359_36,xz8f-8UbN
tch_20210323-142359_37,class_20210323-142359_37,s9ba-R62m
tch_20210323-142359_38,class_20210323-142359_38,cnce-dywB
tch_20210323-142359_39,class_20210323-142359_39,HKB7-ch39
tch_20210323-142359_40,class_20210323-142359_40,7X9w-u9wW
