teacher,classtitle,classcode
tch_20210323-125437_1,class_20210323-125437_1,Aza4-nVUd
tch_20210323-125437_2,class_20210323-125437_2,9xu4-Q9Rh
tch_20210323-125437_3,class_20210323-125437_3,4Uzh-2opK
tch_20210323-125437_4,class_20210323-125437_4,8NbF-Y8p9
tch_20210323-125437_5,class_20210323-125437_5,i497-fGtv
tch_20210323-125437_6,class_20210323-125437_6,rLuN-zoT8
tch_20210323-125437_7,class_20210323-125437_7,69Qv-GRJY
tch_20210323-125437_8,class_20210323-125437_8,dgZX-LcAU
tch_20210323-125437_9,class_20210323-125437_9,79uH-d9J8
tch_20210323-125437_10,class_20210323-125437_10,J3KN-7BR3
tch_20210323-125437_11,class_20210323-125437_11,eBfG-V9B7
tch_20210323-125437_12,class_20210323-125437_12,hz63-46rk
tch_20210323-125437_13,class_20210323-125437_13,9e9a-zewV
tch_20210323-125437_14,class_20210323-125437_14,4uV8-P4u4
tch_20210323-125437_15,class_20210323-125437_15,QM2J-uTY9
tch_20210323-125437_16,class_20210323-125437_16,jYsc-28TX
tch_20210323-125437_17,class_20210323-125437_17,zM32-BZz6
tch_20210323-125437_18,class_20210323-125437_18,7Xow-MwN6
tch_20210323-125437_19,class_20210323-125437_19,crF2-e8vF
tch_20210323-125437_20,class_20210323-125437_20,B68p-U7tB
tch_20210323-125437_21,class_20210323-125437_21,6K7E-64c9
tch_20210323-125437_22,class_20210323-125437_22,ka82-Xr2G
tch_20210323-125437_23,class_20210323-125437_23,z2Km-K9i8
tch_20210323-125437_24,class_20210323-125437_24,6gap-c64E
tch_20210323-125437_25,class_20210323-125437_25,Vf9x-4FNa
tch_20210323-125437_26,class_20210323-125437_26,4V7x-yg3H
tch_20210323-125437_27,class_20210323-125437_27,J284-9aL7
tch_20210323-125437_28,class_20210323-125437_28,sdn7-p92h
tch_20210323-125437_29,class_20210323-125437_29,X3Wo-uBL3
tch_20210323-125437_30,class_20210323-125437_30,Cpm4-mYPX
tch_20210323-125437_31,class_20210323-125437_31,oqt8-bfcN
tch_20210323-125437_32,class_20210323-125437_32,693w-K9UK
tch_20210323-125437_33,class_20210323-125437_33,Uq7B-ZbEk
tch_20210323-125437_34,class_20210323-125437_34,Kw3r-qMv8
tch_20210323-125437_35,class_20210323-125437_35,MDy3-NcNd
tch_20210323-125437_36,class_20210323-125437_36,Fuiz-4Ne3
tch_20210323-125437_37,class_20210323-125437_37,sm8H-ofTH
tch_20210323-125437_38,class_20210323-125437_38,w8LH-37D2
