teacher,classtitle,classcode
tch_20210323-134309_1,class_20210323-134309_1,XT4s-E6Ey
tch_20210323-134309_2,class_20210323-134309_2,sF6P-zNA3
tch_20210323-134309_3,class_20210323-134309_3,2E7X-NRMD
tch_20210323-134309_4,class_20210323-134309_4,ukZ6-NTez
tch_20210323-134309_5,class_20210323-134309_5,j3xo-k9FK
tch_20210323-134309_6,class_20210323-134309_6,6kg4-xgXa
tch_20210323-134309_7,class_20210323-134309_7,zq2v-uw9o
tch_20210323-134309_8,class_20210323-134309_8,C37r-uqvA
tch_20210323-134309_9,class_20210323-134309_9,X979-DbQ2
tch_20210323-134309_10,class_20210323-134309_10,6U2m-jLi7
tch_20210323-134309_11,class_20210323-134309_11,m8Vy-oRf9
tch_20210323-134309_12,class_20210323-134309_12,ZPY6-MD72
tch_20210323-134309_13,class_20210323-134309_13,XHGL-26vk
tch_20210323-134309_14,class_20210323-134309_14,8U7M-PQX7
tch_20210323-134309_15,class_20210323-134309_15,N32y-Teic
tch_20210323-134309_16,class_20210323-134309_16,8JcE-7cYc
tch_20210323-134309_17,class_20210323-134309_17,n7VP-WXyT
tch_20210323-134309_18,class_20210323-134309_18,qD83-vXWQ
tch_20210323-134309_19,class_20210323-134309_19,s6F3-cjtj
tch_20210323-134309_20,class_20210323-134309_20,X38f-JaX3
tch_20210323-134309_21,class_20210323-134309_21,7HCB-KYwn
tch_20210323-134309_22,class_20210323-134309_22,y3wy-2mT9
tch_20210323-134309_23,class_20210323-134309_23,Y8p7-Y2p2
tch_20210323-134309_24,class_20210323-134309_24,4nNZ-xnYt
tch_20210323-134309_25,class_20210323-134309_25,wQ2h-BAa3
tch_20210323-134309_26,class_20210323-134309_26,zCkQ-KR4o
tch_20210323-134309_27,class_20210323-134309_27,N738-4Ny2
tch_20210323-134309_28,class_20210323-134309_28,hKC4-Bgui
tch_20210323-134309_29,class_20210323-134309_29,vAtn-8bZs
tch_20210323-134309_30,class_20210323-134309_30,r8s8-4tw6
tch_20210323-134309_31,class_20210323-134309_31,Nb2M-kpW9
tch_20210323-134309_32,class_20210323-134309_32,Dyj8-2aNm
tch_20210323-134309_33,class_20210323-134309_33,LCqU-Ty73
tch_20210323-134309_34,class_20210323-134309_34,sghE-Hio2
tch_20210323-134309_35,class_20210323-134309_35,M3Q4-6jm7
tch_20210323-134309_36,class_20210323-134309_36,Qu2u-jFLk
tch_20210323-134309_37,class_20210323-134309_37,z9xU-XHei
tch_20210323-134309_38,class_20210323-134309_38,U6YD-2DEQ
tch_20210323-134309_39,class_20210323-134309_39,AY79-7RN3
tch_20210323-134309_40,class_20210323-134309_40,egPK-BiaX
tch_20210323-134309_41,class_20210323-134309_41,jNs9-pT8G
tch_20210323-134309_42,class_20210323-134309_42,Ese2-jq6E
tch_20210323-134309_43,class_20210323-134309_43,VfXW-oEP7
tch_20210323-134309_44,class_20210323-134309_44,jhK3-Bu2F
