tchextid,classcode
tch_20201215-113922_1,QnJ7-6L9b
tch_20201215-113922_2,bMEK-Eeoz
tch_20201215-113922_3,26iW-NGQW
tch_20201215-113922_4,64dg-UaUD
tch_20201215-113922_5,F8ya-476E
tch_20201215-113922_6,XG9z-9zig
tch_20201215-113922_7,f2MN-YZH2
tch_20201215-113922_8,kTfE-n62v
tch_20201215-113922_9,GNdk-do4z
tch_20201215-113922_10,rmA2-h2iR
tch_20201215-113922_11,GRq6-h9aC
tch_20201215-113922_12,xsv8-yt4U
tch_20201215-113922_13,GgLo-D6ab
tch_20201215-113922_14,a6FH-y3mZ
tch_20201215-113922_15,4rpA-Y8bM
tch_20201215-113922_16,cNM7-iecP
tch_20201215-113922_17,MyZj-oZxA
tch_20201215-113922_18,EYF9-4hW7
tch_20201215-113922_19,s2uD-3ie8
tch_20201215-113922_20,g98Y-47R2
tch_20201215-113922_21,iH7W-acFX
tch_20201215-113922_22,rq63-vgAe
tch_20201215-113922_23,L4us-3UWs
tch_20201215-113922_24,2gs3-n6X2
tch_20201215-113922_25,FjN7-MZPY
tch_20201215-113922_26,xVA4-g4JM
tch_20201215-113922_27,7b39-G4oj
tch_20201215-113922_28,3CgA-YTX4
tch_20201215-113922_29,69uH-i7eA
tch_20201215-113922_30,Xv9m-nvqT
tch_20201215-113922_31,NGKX-gXDb
tch_20201215-113922_32,pB8Z-aPdv
tch_20201215-113922_33,z93y-4FzK
tch_20201215-113922_34,fKAW-D7Uk
tch_20201215-113922_35,LEo7-X6T6
tch_20201215-113922_36,ZsB6-4EiF
tch_20201215-113922_37,xkp4-p2Mf
tch_20201215-113922_38,Qiev-pvh8
tch_20201215-113922_39,X4mw-o378
tch_20201215-113922_40,ezLW-eY37
tch_20201215-113922_41,vx7E-owZw
tch_20201215-113922_42,bKfm-Ko3m
tch_20201215-113922_43,iqFb-z43a
tch_20201215-113922_44,iEoN-8E6V
tch_20201215-113922_45,4H64-cnRt
tch_20201215-113922_46,AGRU-AjVF
tch_20201215-113922_47,JsCo-k6sD
tch_20201215-113922_48,948q-4Qo8
tch_20201215-113922_49,gyh6-wd9e
tch_20201215-113922_50,W4bw-du7F
tch_20201215-113922_51,6cDw-qx2g
tch_20201215-113922_52,ULG7-X28M
tch_20201215-113922_53,7mLV-uNUx
tch_20201215-113922_54,ghg9-v3k6
tch_20201215-113922_55,e3xX-89P3
tch_20201215-113922_56,689C-ZkF3
tch_20201215-113922_57,e74p-xkGe
tch_20201215-113922_58,M842-UuGR
tch_20201215-113922_59,B7N8-7F37
tch_20201215-113922_60,U4Gs-Euhw
tch_20201215-113922_61,J329-J2Kc
tch_20201215-113922_62,gzGY-wbau
tch_20201215-113922_63,GhNb-PrJp
tch_20201215-113922_64,9FEV-f79X
tch_20201215-113922_65,Q4Hw-srv2
tch_20201215-113922_66,Ap6v-bzaR
tch_20201215-113922_67,rq3i-6ZQi
tch_20201215-113922_68,6dAc-9Dn9
tch_20201215-113922_69,FwM7-QT36
tch_20201215-113922_70,93D4-kbdC
tch_20201215-113922_71,9LMC-b23b
tch_20201215-113922_72,mN9F-2V2a
tch_20201215-113922_73,FCjC-amBj
tch_20201215-113922_74,N73y-Yz3t
tch_20201215-113922_75,T8kK-L2V4
tch_20201215-113922_76,hWVP-K4dZ
tch_20201215-113922_77,REtE-pJkJ
tch_20201215-113922_78,DPDe-YFsw
tch_20201215-113922_79,8XaB-raoG
tch_20201215-113922_80,32Cr-93hm
tch_20201215-113922_81,826M-y48H
tch_20201215-113922_82,mGyx-BPi7
tch_20201215-113922_83,LAtm-v6qk
tch_20201215-113922_84,C3xo-s4ts
tch_20201215-113922_85,BeLQ-2AcM
tch_20201215-113922_86,hYz9-UuTA
tch_20201215-113922_87,DREP-3V4h
tch_20201215-113922_88,NLPn-4tRH
tch_20201215-113922_89,WZ7N-Ps27
tch_20201215-113922_90,dj72-au3r
tch_20201215-113922_91,mN6g-BjAv
tch_20201215-113922_92,6HEX-s6aD
tch_20201215-113922_93,7Mm3-8dCs
tch_20201215-113922_94,JA34-ot26
tch_20201215-113922_95,qN6r-GxrE
tch_20201215-113922_96,wrK4-y6uP
tch_20201215-113922_97,89ex-CYCa
tch_20201215-113922_98,Eh8H-cgjB
tch_20201215-113922_99,wmBy-4LPT
tch_20201215-113922_100,3NRz-d9k4
tch_20201215-124621_1,dN8M-9Uqx
tch_20201215-124621_2,8U3E-aN8k
tch_20201215-124621_3,yxWw-r9rB
tch_20201215-124621_4,7jKL-Ag8k
tch_20201215-124621_5,K2H7-bVhG
tch_20201215-124621_6,934z-Kobp
tch_20201215-124621_7,2hkE-323a
tch_20201215-124621_8,3J4Y-TPs2
tch_20201215-124621_9,3Xgr-T8E3
tch_20201215-124621_10,48Tw-BjDb
tch_20201215-124621_11,2hTj-8bT7
tch_20201215-124621_12,jm69-MmDh
tch_20201215-124621_13,tpny-DMPX
