tchextid,classcode
tch_20200707-221253_1,Rbus-FZi3
tch_20200707-221253_2,s4F3-6T3i
tch_20200707-221253_3,GE38-ExR4
tch_20200707-221253_4,A2Wy-jkyL
tch_20200707-221253_5,8rRh-JDqF
tch_20200707-221253_6,tJgr-oRK2
tch_20200707-221253_7,Z3Kh-aPCt
tch_20200707-221253_8,9FUy-Z76F
tch_20200707-221253_9,Qcvk-9D7v
tch_20200707-221253_10,L27R-3Wun
tch_20200707-221253_11,BsFt-mBLZ
tch_20200707-221253_12,oD6F-gYB6
tch_20200707-221253_13,73WH-a8Px
tch_20200707-221253_14,NPfd-29zu
tch_20200707-221253_15,okby-R8V2
tch_20200707-221253_16,6kYV-yMjz
tch_20200707-221253_17,c6Lc-zch3
tch_20200707-221253_18,YCbh-f74N
tch_20200707-221253_19,qnCb-e3su
tch_20200707-221253_20,s6fK-ZpBw
tch_20200707-221253_21,xHn8-QvVt
tch_20200707-221253_22,whYR-EwKf
tch_20200707-221253_23,KEjb-F69h
tch_20200707-221253_24,79Xr-xdP3
tch_20200707-221253_25,bDVW-yg6W
tch_20200707-221253_26,V7YA-6BQg
tch_20200707-221253_27,Yk3M-6myV
tch_20200707-221253_28,Gunm-XCHF
tch_20200707-221253_29,yMAv-mouE
tch_20200707-221253_30,JXz8-CgU2
tch_20200707-221253_31,bnai-aUmN
tch_20200707-221253_32,sQ43-g4T4
tch_20200707-221253_33,N3b4-sWrN
tch_20200707-221253_34,e483-F8GZ
tch_20200707-221253_35,2abX-z4ig
tch_20200707-221253_36,gVkg-27s4
tch_20200707-221253_37,t6Ph-bA9e
tch_20200707-221253_38,F3sh-6urb
tch_20200707-221253_39,c2ko-8t4W
tch_20200707-221253_40,6qu3-qL7b
tch_20200707-221253_41,J9s4-Kx39
tch_20200707-221253_42,3e26-v2zV
tch_20200707-221253_43,dJmY-4bgu
tch_20200707-221253_44,6Ris-7t9d
tch_20200707-221253_45,8HTA-JM8K
tch_20200707-221253_46,7R6r-M3cn
tch_20200707-221253_47,79f6-ZgK7
tch_20200707-221253_48,92Mj-38zJ
tch_20200707-221253_49,aH4Q-z7A9
tch_20200707-221253_50,oMpA-KgFz
tch_20200707-221253_51,fEsZ-jKbp
tch_20200707-221253_52,3UHJ-94zd
tch_20200707-221253_53,KyoK-uenb
tch_20200707-221253_54,V94s-PmEy
tch_20200707-221253_55,HriX-9sKT
tch_20200707-221253_56,t9Ti-Agq8
tch_20200707-221253_57,9Cbk-tZAB
tch_20200707-221253_58,8Cgo-8ZP7
tch_20200707-221253_59,9B7A-D9z4
tch_20200707-221253_60,fJ74-G7cg
tch_20200707-221253_61,BFUA-jXMD
tch_20200707-221253_62,8Xqh-mquK
tch_20200707-221253_63,XMpj-26Z7
tch_20200707-221253_64,cwu8-xjhu
tch_20200707-221253_65,X23i-2aGa
tch_20200707-221253_66,T6bv-e6W6
tch_20200707-221253_67,6NGM-E4s6
tch_20200707-221253_68,qgTi-Rcsv
tch_20200707-221253_69,Wq6N-DeAo
tch_20200707-221253_70,xuUh-64A9
tch_20200707-221253_71,vbDw-eze6
