tchextid,classcode
tch_20200922-151041_1,9bxK-fc8T
tch_20200922-151041_2,47d4-8qY2
tch_20200922-151041_3,d2Pt-2N6k
tch_20200922-151041_4,Y3FK-UKwg
tch_20200922-151041_5,ZHd3-7h7p
tch_20200922-151041_6,V4t3-xfEe
tch_20200922-151041_7,8Bs3-vbvN
tch_20200922-151041_8,62AJ-8qK6
tch_20200922-151041_9,j4T4-a48u
tch_20200922-151041_10,Jq2i-f8t6
tch_20200922-151041_11,Bvm8-fRwL
tch_20200922-151041_12,2o92-tzN7
tch_20200922-151041_13,psPY-yQW3
tch_20200922-151041_14,B879-Ktqr
tch_20200922-151041_15,fsG8-u8tA
tch_20200922-151041_16,eYpF-3q3U
tch_20200922-151041_17,J9tz-7g7N
tch_20200922-151041_18,f87V-qEWw
tch_20200922-151041_19,4WXc-YTJ8
tch_20200922-151041_20,6iyo-v4Fo
tch_20200922-151041_21,h9ck-jV8J
tch_20200922-151041_22,L9EM-JVue
tch_20200922-151041_23,YUtd-FPo6
tch_20200922-151041_24,end8-V7d6
tch_20200922-151041_25,g2m3-8RZs
tch_20200922-151041_26,g4o6-wkTP
tch_20200922-151041_27,nmxs-W7s6
tch_20200922-151041_28,jxH8-7h2K
tch_20200922-151041_29,uCoN-96jZ
tch_20200922-151041_30,89Yj-EC9u
tch_20200922-151041_31,Y8kD-6ZcH
tch_20200922-151041_32,tQ3B-7x76
tch_20200922-151041_33,ec7A-ytjv
tch_20200922-151041_34,f4Ge-G27R
tch_20200922-151041_35,Jd73-Ltsq
tch_20200922-151041_36,CYru-agWH
tch_20200922-151041_37,MXb7-tbaN
tch_20200922-151041_38,9x4J-g9HB
tch_20200922-151041_39,oGHC-nYg2
tch_20200922-151041_40,pygm-B2Xs
tch_20200922-151041_41,8Zu2-Ncn7
tch_20200922-151041_42,k3Xo-bT7q
tch_20200922-151041_43,WDpL-K62o
tch_20200922-151041_44,qCo4-n8ie
tch_20200922-151041_45,Bh6x-kzq9
tch_20200922-151041_46,k2GV-kt7w
tch_20200922-151041_47,uvAq-u49L
tch_20200922-151041_48,b9BU-m38y
tch_20200922-151041_49,D973-aUAh
tch_20200922-151041_50,iA6b-JU4p
tch_20200922-151041_51,VRJ7-r8iU
tch_20200922-151041_52,zi26-4YQP
tch_20200922-151041_53,Jd83-f3e3
tch_20200922-151041_54,8Dr8-4bjZ
tch_20200922-151041_55,PGdB-2cCv
tch_20200922-151041_56,e89g-fPwz
tch_20200922-151041_57,x7aN-VGj2
tch_20200922-151041_58,eYE6-et9R
tch_20200922-151041_59,7ve9-vF8y
tch_20200922-151041_60,BXvn-B9w3
tch_20200922-151041_61,8AuB-dv72
tch_20200922-151041_62,4x7t-3GvM
tch_20200922-151041_63,XU38-9TDo
tch_20200922-151041_64,E839-p76D
tch_20200922-151041_65,97sx-7Ghp
tch_20200922-151041_66,ibid-v3NG
tch_20200922-151041_67,3Ho9-ojs7
tch_20200922-151041_68,k9iA-mecK
tch_20200922-151041_69,A8Gp-gJxP
tch_20200922-151041_70,pExo-R2Hh
tch_20200922-151041_71,4EDw-Lw67
tch_20200922-151041_72,G3EC-RwCY
tch_20200922-151041_73,ZwTr-6aug
tch_20200922-151041_74,7DUH-37bi
tch_20200922-151041_75,P9j2-w696
tch_20200922-151041_76,CApe-JB7u
tch_20200922-151041_77,tU7z-Y98E
tch_20200922-151041_78,RvQr-BJ3Y
tch_20200922-151041_79,Awqr-46nX
tch_20200922-151041_80,eEzA-QPR4
tch_20200922-151041_81,eua2-V8iR
tch_20200922-151041_82,4bMJ-yX4c
tch_20200922-151041_83,MaDU-969r
tch_20200922-151041_84,Akdy-ip94
tch_20200922-151041_85,3rbr-2vau
tch_20200922-151041_86,ekYM-8AvC
tch_20200922-151041_87,Ye36-3HBu
tch_20200922-151041_88,K7J8-U74Z
tch_20200922-151041_89,9fP7-9ed3
tch_20200922-151041_90,XAPC-oUEP
tch_20200922-151041_91,29aw-38Px
tch_20200922-151041_92,rYJw-367b
tch_20200922-151041_93,uMfm-439L
tch_20200922-151041_94,C4kZ-nRi2
tch_20200922-151041_95,4ox7-D4N8
tch_20200922-151041_96,Fh4f-W2BD
tch_20200922-151041_97,9Z7w-3ZAT
tch_20200922-151041_98,x723-w8jh
tch_20200922-151041_99,jYjY-2wqz
tch_20200922-151041_100,3H82-haLy
tch_20200922-160616_1,R8Tp-JXK4
tch_20200922-160616_2,G4RL-7vco
tch_20200922-160616_3,kDwg-cwoF
tch_20200922-160616_4,qyeL-8EHz
tch_20200922-160616_5,uxa8-RWXk
tch_20200922-160616_6,39hi-k3Ge
tch_20200922-160616_7,VQag-8Ci3
tch_20200922-160616_8,N3tc-29e6
tch_20200922-160616_9,hLGW-Uk2E
tch_20200922-160616_10,2B68-mQu4
tch_20200922-160616_11,P2r9-Meoy
tch_20200922-160616_12,Bx7k-UK7R
tch_20200922-160616_13,Hxnu-RM3T
tch_20200922-160616_14,b87C-3Ag2
tch_20200922-160616_15,YfcA-9dyK
tch_20200922-160616_16,Av3P-iAzj
tch_20200922-160616_17,cNVF-r2zB
tch_20200922-160616_18,2MQR-N8VB
tch_20200922-160616_19,7Kmr-gAHe
tch_20200922-160616_20,X8kX-Zv27
tch_20200922-160616_21,rDKi-69Ri
tch_20200922-160616_22,iWKx-gyAN
tch_20200922-160616_23,3pCz-7jnZ
