col1,cvol2,col3
std_1593101389928_1,6193f652-a541-470b-8c5a-dd3a938a872a,tch_20200625-211715_1
std_1593101126244_1,91a4bb53-43b1-47dc-b740-bd5ccfe822e1,tch_20200625-211715_1
std_1593101455753_2,c75bb434-1b4f-4b66-8944-325f92cd41e7,tch_20200625-211715_2
std_1593101499552_4,09273f0b-6c11-4dc2-914f-97803021e66c,tch_20200625-211715_4
std_1593101476917_3,4323940f-65f1-4c7a-a830-2e04f6138bb4,tch_20200625-211715_3
std_1593101479026_5,268068b2-eb5c-42a6-8bd9-393bdab58c01,tch_20200625-211715_5
std_1593100856702_1,9ebbedf8-83d2-4af2-967d-ce711318ab69,tch_20200625-211715_1
std_1593101204172_2,9093c2c4-cc3a-4863-baba-cc0afb256a27,tch_20200625-211715_2
std_1593101232206_4,54f60811-a719-4f6a-bbc3-baf77d808afe,tch_20200625-211715_4
std_1593101274720_5,208e6441-c896-48e6-ac0c-fa28c89f8460,tch_20200625-211715_5
std_1593101214064_3,6c810c30-ef18-4234-a409-1078de33d50e,tch_20200625-211715_3
std_1593100611018_1,59136e1d-7456-4b0b-97bb-bfca0956ae68,tch_20200625-211715_1
std_1593101521654_6,1be9ce42-c8d9-4971-a1c0-803a1c20f33a,tch_20200625-211715_6
std_1593100939830_2,9d371559-a106-4643-9dab-aa6c898f302e,tch_20200625-211715_2
std_1593100936920_4,a10730ba-78f9-4378-829d-95f550790208,tch_20200625-211715_4
std_1593100921326_3,479cc127-f501-4c44-9cc4-79abe92473b6,tch_20200625-211715_3
std_1593100972982_5,b339e22b-2a36-46d0-b2bb-1e760ac79971,tch_20200625-211715_5
std_1593101274364_6,aa27c051-60e5-44c7-a830-98b9aeb7e71b,tch_20200625-211715_6
std_1593100620268_2,27bc07f2-6267-42a7-a1cb-e16a30539e23,tch_20200625-211715_2
std_1593100702296_4,60b4bb98-f39b-4ebc-aeb8-0c1fede914a7,tch_20200625-211715_4
std_1593101588261_7,950dab5a-e7fd-455b-b19b-c1b619b2b0f8,tch_20200625-211715_7
std_1593100662968_3,4a9255b5-a2d9-4283-89bc-54caca351752,tch_20200625-211715_3
std_1593100725465_5,8e5e8fe1-3054-4d16-a2aa-d859b751a934,tch_20200625-211715_5
std_1593101575563_8,7f6856af-60c0-45fe-8fd6-cebfab667d95,tch_20200625-211715_8
std_1593101019715_6,e6987556-354a-48ab-8782-486391ff6e17,tch_20200625-211715_6
std_1593101641985_13,f100e291-6a38-475f-8824-719a24425166,tch_20200625-211715_13
std_1593101332912_7,ae78c577-55f8-4e9a-ada0-f77f495a9d7e,tch_20200625-211715_7
std_1593101642544_9,ee60914c-bbb1-44d8-b40e-efbb7773f440,tch_20200625-211715_9
std_1593101315814_8,d9c15515-28cb-4703-ae3a-30341dba0d46,tch_20200625-211715_8
std_1593100756050_6,41fd0c02-9442-47b2-9e93-8aa4272a9500,tch_20200625-211715_6
std_1593101085372_7,77421405-767f-4f50-9867-912c5a6c47f3,tch_20200625-211715_7
std_1593101338395_9,fc7380ca-afb6-4c71-b8e3-7f9aaa3294d9,tch_20200625-211715_9
std_1593101377525_13,d9aebad5-0ae5-4838-85e9-7169255dbf38,tch_20200625-211715_13
std_1593101101166_8,db5c31d9-5361-4eb0-8326-fd4c3c771a87,tch_20200625-211715_8
std_1593101701364_10,a216d02e-75e1-47e1-bc1b-d69bbdbe337e,tch_20200625-211715_10
std_1593101701344_12,09cf8407-538a-44a2-a51d-03343ccfbbe2,tch_20200625-211715_12
std_1593100810273_7,a851321e-f7a0-404b-87e5-12f984e7afbe,tch_20200625-211715_7
std_1593101079550_9,e5aaede3-ebaa-4ef9-873c-6a0d6e6cc720,tch_20200625-211715_9
std_1593101160560_13,55655466-747e-4989-a87e-dac34cbbe8fa,tch_20200625-211715_13
std_1593101692595_11,e1a794ba-ce79-4a6b-b5a4-a016cb4f56b4,tch_20200625-211715_11
std_1593100823040_8,d850fe75-e6f5-4e68-a3ff-a58b8a5c5ddc,tch_20200625-211715_8
std_1593101463090_10,b4174b15-48f6-4c2d-a21c-7b141986d8b5,tch_20200625-211715_10
std_1593101455978_12,3743d9b2-4b22-4c82-9186-2cc705b93349,tch_20200625-211715_12
std_1593100838442_9,20111c2b-fe28-496f-a441-c573170e6c65,tch_20200625-211715_9
std_1593100964902_13,b9df95e5-07f0-4a2c-a7e8-cdec2d75ef85,tch_20200625-211715_13
std_1593101754706_14,aabf6284-9593-4e1b-af02-e8304b3e08f2,tch_20200625-211715_14
std_1593101440402_11,5d99126f-2db7-428e-b882-d5ab0ca4b7b4,tch_20200625-211715_11
std_1593101177813_10,a70d1580-7896-4a01-8ab0-c29a5efcb12b,tch_20200625-211715_10
std_1593101221327_12,16b7eed1-a840-42fb-877c-d4fd208fbb07,tch_20200625-211715_12
std_1593101793039_15,49ed58c1-5c65-4001-adba-a8ce25e5bd60,tch_20200625-211715_15
std_1593101480327_14,1a15d1f5-f973-4421-ab8b-6cf6a605bbcf,tch_20200625-211715_14
std_1593101198570_11,7d1a7872-180a-485d-8529-c74c99f93d85,tch_20200625-211715_11
std_1593100878975_10,cb0f62fa-bb42-40e0-9fbc-38c747213495,tch_20200625-211715_10
std_1593100946319_12,704c1edd-c91a-4da2-b930-6f3f50527be4,tch_20200625-211715_12
std_1593101504460_15,93a9203a-0d7c-4a4e-ae81-ebcf3d1fa9a1,tch_20200625-211715_15
std_1593101222889_14,c3afc6e9-f930-4618-9044-0ae620994091,tch_20200625-211715_14
std_1593101836236_18,819daaa3-b5cf-4439-8c74-01ed3e6a5fd0,tch_20200625-211715_18
std_1593100902540_11,73f4b181-08af-4a07-814f-6bca79b3ea52,tch_20200625-211715_11
std_1593101260996_15,dd2a4159-7157-4b10-9c79-e99fb83633be,tch_20200625-211715_15
std_1593101825131_16,ed8794b2-ca47-4b34-89a1-1ead8672724b,tch_20200625-211715_16
std_1593100999372_14,db3d5bbb-4e58-4f63-b20f-11ae86e8d661,tch_20200625-211715_14
std_1593101596705_18,e2ef8fd8-02f5-4b04-925e-6c332290523a,tch_20200625-211715_18
std_1593101903882_19,c80cfcfe-4582-491d-9eb9-f4cd70612807,tch_20200625-211715_19
std_1593101032047_15,b6e0f83e-887f-4a6b-8c76-cd56226631c5,tch_20200625-211715_15
std_1593101541808_16,7ee9e7f1-2c0a-4068-975c-1a7217779d7c,tch_20200625-211715_16
std_1593101373627_18,c270b738-3495-4a69-b059-d67a052e234f,tch_20200625-211715_18
std_1593101658235_19,898a0f2b-9a32-4141-a72b-de63689e300f,tch_20200625-211715_19
std_1593101314303_16,0b52ed4c-d6bc-45e8-84a6-5aab9e1d9cef,tch_20200625-211715_16
std_1593101929922_17,329a3876-0439-462d-bf80-077a71ff207a,tch_20200625-211715_17
std_1593101942104_21,25895dcb-73ae-4433-82be-342369e51205,tch_20200625-211715_21
std_1593101117804_18,cd692913-c184-401c-9209-3f61eca32f56,tch_20200625-211715_18
std_1593101388190_19,09f18816-3113-4e94-ad92-a36dc08a10ac,tch_20200625-211715_19
std_1593101074819_16,10980c98-c05c-4a60-8018-2a79a2b906ca,tch_20200625-211715_16
std_1593101666164_17,809cbb34-0455-4820-8697-081b9c96903e,tch_20200625-211715_17
std_1593101710810_21,56f190f3-e0c9-4af1-a487-2899db55bebd,tch_20200625-211715_21
std_1593101150102_19,03fc206f-d457-4513-b5a2-997dbbb4b4c6,tch_20200625-211715_19
std_1593101996815_23,2f126f53-504c-468a-aa4f-f865c2410fbf,tch_20200625-211715_23
std_1593101970477_20,4f14a43a-04e6-45a2-b8b8-0810671e71f1,tch_20200625-211715_20
std_1593102014359_22,59e6e37b-25d1-4941-837e-57ab6ac9589a,tch_20200625-211715_22
std_1593101354697_17,1afc8bd5-327f-4ee6-8d82-5e15660a5a13,tch_20200625-211715_17
std_1593101451117_21,8adc8447-6eec-4ab2-9baa-998914b34d0c,tch_20200625-211715_21
std_1593101764408_23,6487718d-2c17-4d49-b26d-301c0f3726d4,tch_20200625-211715_23
std_1593101792074_22,05c85848-b4b5-4fa0-b681-1a2a90399522,tch_20200625-211715_22
std_1593101719973_20,2d6879a6-1d91-425b-a8e1-bfd49bd23b62,tch_20200625-211715_20
std_1593101098062_17,e6e0f82e-cd71-4b28-a959-4366fc61fa60,tch_20200625-211715_17
std_1593101204761_21,a18a00d0-6aec-4859-8e37-161e6bf189f8,tch_20200625-211715_21
std_1593101516517_23,bfa8f98a-f2f3-4fe1-972f-a3f74fa1f232,tch_20200625-211715_23
std_1593102070705_25,04740fdb-4689-4f83-b8d8-90fef36bb6c6,tch_20200625-211715_25
std_1593101534209_22,c1abe209-7695-4e77-8cf2-1cafc7a4b8c5,tch_20200625-211715_22
std_1593101449974_20,54522445-ef6d-432f-85ee-67f3a84f3cbb,tch_20200625-211715_20
std_1593101247822_23,5ab45a67-49a2-489d-9e73-bc8df4ca9c62,tch_20200625-211715_23
std_1593101241612_22,c534a399-5489-43de-b03c-d1d153368f7a,tch_20200625-211715_22
std_1593101805094_25,de767b8e-ed88-4425-a841-85d3ff69db44,tch_20200625-211715_25
