student,classcode
4b9bc100c44e44c68453c14c1c8ce301,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce302,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce303,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce304,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce305,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce306,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce307,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce308,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce309,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce310,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce311,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce312,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce313,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce314,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce315,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce316,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce317,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce318,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce319,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce320,e6ea-jPA6
4b9bc100c44e44c68453c14c1c8ce321,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce322,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce323,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce324,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce325,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce326,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce327,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce328,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce329,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce330,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce331,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce332,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce333,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce334,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce335,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce336,e3d8-gjC8
4b9bc100c44e44c68453c14c1c8ce337,e3d8-gjC8
