tchextid,classcode
tch_20201213-012833_1,TAWe-63gx
tch_20201213-012833_2,m8Wb-6NV7
tch_20201213-012833_3,Qbot-Zwvc
tch_20201213-012833_4,4pU9-bx8P
tch_20201213-012833_5,Un9e-3H9e
tch_20201213-012833_6,RF7U-reoz
tch_20201213-012833_7,E9C9-RiJb
tch_20201213-012833_8,NQAV-23Dq
tch_20201213-012833_9,xmY7-bFT9
tch_20201213-012833_10,oD9k-zxy2
tch_20201213-012833_11,f4M6-Ek28
tch_20201213-012833_12,ymP2-ZbBb
tch_20201213-012833_13,6qbw-X6K8
tch_20201213-012833_14,fng3-c3aD
tch_20201213-012833_15,BxLG-9gpx
tch_20201213-012833_16,QV7i-GTVd
tch_20201213-012833_17,wj72-7MA9
tch_20201213-012833_18,fCmL-6i42
tch_20201213-012833_19,BN9N-jRcm
tch_20201213-012833_20,HG8g-vz7d
tch_20201213-012833_21,agyr-i8Pe
tch_20201213-012833_22,u4jK-mGm9
tch_20201213-012833_23,c3Kg-hf6j
tch_20201213-012833_24,ofEU-K9wi
tch_20201213-012833_25,gbEd-g3ed
tch_20201213-012833_26,7V64-2dwW
tch_20201213-012833_27,hj72-tUzq
tch_20201213-012833_28,G8um-zDnz
tch_20201213-012833_29,Q2Lx-87k9
tch_20201213-012833_30,b9tC-47ti
tch_20201213-012833_31,Cj39-nAd4
tch_20201213-012833_32,26W8-q4Ts
tch_20201213-012833_33,ts39-x4ke
tch_20201213-012833_34,hzAB-MmT3
tch_20201213-012833_35,2y4J-aztP
tch_20201213-012833_36,rYTs-Bk82
tch_20201213-012833_37,G24n-3Hpy
tch_20201213-012833_38,brkJ-xtBs
tch_20201213-012833_39,zQ2n-fFyr
tch_20201213-012833_40,t8aQ-L38v
tch_20201213-012833_41,E9pj-gU36
tch_20201213-012833_42,28YE-39t2
tch_20201213-012833_43,dqTQ-KM73
tch_20201213-012833_44,H89k-LP8B
tch_20201213-012833_45,6u6P-J9kG
tch_20201213-012833_46,osZb-kF3J
tch_20201213-012833_47,Q2y2-QM2w
tch_20201213-012833_48,cpud-9K9v
tch_20201213-012833_49,BHh7-6iAE
tch_20201213-012833_50,7U73-M3tQ
tch_20201213-012833_51,dkG3-ptmZ
tch_20201213-012833_52,L4sd-zR3a
tch_20201213-012833_53,9Rv2-ip7W
tch_20201213-012833_54,mUvK-bdL9
tch_20201213-012833_55,6XuP-wTzx
tch_20201213-012833_56,Ds27-wNBh
tch_20201213-012833_57,MPyN-47d6
tch_20201213-012833_58,XhbP-K6d8
tch_20201213-012833_59,9F8K-hJKr
tch_20201213-012833_60,4NK4-a9aD
tch_20201213-012833_61,8yfL-28H6
tch_20201213-012833_62,rjp8-6H2z
tch_20201213-012833_63,x23C-WftF
tch_20201213-012833_64,BkWG-8DB6
tch_20201213-012833_65,82jG-T4iu
tch_20201213-012833_66,4MoL-qW2w
tch_20201213-012833_67,vozF-D637
tch_20201213-012833_68,H4ZB-3MN2
tch_20201213-012833_69,END9-6Z3A
tch_20201213-012833_70,CM9t-7DUN
tch_20201213-012833_71,2fZH-3rpA
tch_20201213-012833_72,JRmr-P8zJ
tch_20201213-012833_73,BZeH-hutb
tch_20201213-012833_74,t6HC-4oaY
tch_20201213-012833_75,fx3D-gc27
tch_20201213-012833_76,W4mN-48c6
tch_20201213-012833_77,c24u-y7Pb
tch_20201213-012833_78,96Uh-Ee7F
tch_20201213-012833_79,YKxm-w79A
tch_20201213-012833_80,RA37-cjnJ
tch_20201213-012833_81,jCHi-3DQ2
tch_20201213-012833_82,8tFo-9eNb
tch_20201213-012833_83,b49T-K3H8
tch_20201213-012833_84,fNqV-UqLm
tch_20201213-012833_85,FHN4-i4n8
tch_20201213-012833_86,A6Cf-wmRn
tch_20201213-012833_87,YQJ6-Kes3
tch_20201213-012833_88,NZ48-uHX7
tch_20201213-012833_89,zEbF-qGHf
tch_20201213-012833_90,qGr8-LpUE
tch_20201213-012833_91,Q8HZ-6c29
tch_20201213-012833_92,7fAt-EXH9
tch_20201213-012833_93,K69T-268m
tch_20201213-012833_94,A8Mh-joZ4
tch_20201213-012833_95,8Hrt-iX3G
tch_20201213-012833_96,7pHe-dfPA
tch_20201213-012833_97,Gw26-D9RW
tch_20201213-012833_98,j6p9-6Phg
tch_20201213-012833_99,fKAV-3aNt
tch_20201213-012833_100,HTUR-mYJq
tch_20201213-125859_1,y9Y2-pZBi
tch_20201213-125859_2,M4W2-RC7F
tch_20201213-125859_3,oe4D-Jx6k
tch_20201213-125859_4,3AyT-Krd3
tch_20201213-125859_5,s37Z-aKpL
tch_20201213-125859_6,n3RU-4UxL
tch_20201213-125859_7,dkME-XJD7
tch_20201213-125859_8,DcyA-FN9p
tch_20201213-125859_9,4XdQ-LTAd
tch_20201213-125859_10,RLJ4-dAQr
tch_20201213-125859_11,iyJD-973x
tch_20201213-125859_12,ebMK-fa6t
tch_20201213-125859_13,AN8o-QH3o
tch_20201213-125859_14,2FD7-inaf
tch_20201213-125859_15,48YD-3b26
tch_20201213-125859_16,6X2t-JDT9
tch_20201213-125859_17,zYCe-QWQr
tch_20201213-125859_18,7yLK-FoBC
tch_20201213-125859_19,FaTa-sAbk
tch_20201213-125859_20,4c7d-FC4e
tch_20201213-125859_21,qG2b-PNRZ
tch_20201213-125859_22,3QB6-mD6H
tch_20201213-125859_23,d3Zi-8NmU
tch_20201213-125859_24,ZMyD-Wor3
tch_20201213-125859_25,4TNs-4JdJ
tch_20201213-125859_26,H347-9w63
tch_20201213-125859_27,bQ2y-a3Pb
tch_20201213-125859_28,fU29-8FCw
tch_20201213-125859_29,6vUM-PUq4
tch_20201213-125859_30,yq89-w3Fq
tch_20201213-125859_31,JW7E-i7nT
tch_20201213-125859_32,m39X-i8qt
tch_20201213-125859_33,GEnU-KeJ7
tch_20201213-125859_34,kEz8-C4zf
tch_20201213-125859_35,dJZH-rdtE
tch_20201213-125859_36,tEAL-v2op
tch_20201213-125859_37,8zAt-7RWK
tch_20201213-125859_38,ugiY-8QBx
tch_20201213-125859_39,b2CL-BQ39
tch_20201213-125859_40,K4WP-8h6q
tch_20201213-125859_41,8WkU-QtMh
tch_20201213-125859_42,uP8n-MYfN
