extuserid,studentuserid1,stdextid,classcode
tch_20201213-235944_67,3748b22c-3f70-11eb-90a7-0242ac110003,std_1608103678039_267,c2s7-X4Po
tch_20201213-235944_60,35d12ccf-3f70-11eb-90a7-0242ac110003,std_1608103675853_260,3Jbo-Qwu2
tch_20201213-235944_54,36781b83-3f70-11eb-a47c-0242ac110003,std_1608103677003_254,za9g-67QX
tch_20201213-235944_52,34196b3c-3f70-11eb-a47c-0242ac110003,std_1608103673017_252,fMpg-aC9k
tch_20201213-235944_46,36d61a5a-3f70-11eb-90a7-0242ac110003,std_1608103677611_246,Rhb6-o624
tch_20201213-235944_59,36a4d047-3f70-11eb-90a7-0242ac110003,std_1608103677290_259,YJH6-bPKm
tch_20201213-235944_53,380d88cd-3f70-11eb-90a7-0242ac110003,std_1608103679662_253,sA4d-GwXv
tch_20201213-235944_68,39ba9c73-3f70-11eb-a47c-0242ac110003,std_1608103682051_268,3Tu2-8oWm
tch_20201213-235944_55,3b45f74d-3f70-11eb-a47c-0242ac110003,std_1608103685032_255,Yw6d-7j92
tch_20201213-235944_48,3a51fa61-3f70-11eb-a47c-0242ac110003,std_1608103683474_248,srWJ-jtnq
tch_20201213-235944_61,3ab0e29e-3f70-11eb-90a7-0242ac110003,std_1608103684058_261,xaom-VPg9
tch_20201213-235944_63,3d7c86a1-3f70-11eb-a47c-0242ac110003,std_1608103688764_263,Ef8z-mj9n
tch_20201213-235944_47,39471a27-3f70-11eb-a47c-0242ac110003,std_1608103681669_247,69xe-T78D
tch_20201213-235944_62,3a89abe5-3f70-11eb-a47c-0242ac110003,std_1608103683831_262,VHCD-Z29T
tch_20201213-235944_56,3dc0e216-3f70-11eb-90a7-0242ac110003,std_1608103689220_256,m2Tg-HyvM
tch_20201213-235944_50,3e09d1db-3f70-11eb-90a7-0242ac110003,std_1608103689687_250,3Vd3-FGi3
tch_20201213-235944_69,3c115dd3-3f70-11eb-90a7-0242ac110003,std_1608103686065_269,4wXH-7TPr
tch_20201213-235944_49,3d9eb408-3f70-11eb-a47c-0242ac110003,std_1608103688987_249,2Tp8-Z82R
tch_20201213-235944_64,40dc2b8a-3f70-11eb-90a7-0242ac110003,std_1608103694417_264,KbfD-b9tb
tch_20201213-235944_70,3e74536e-3f70-11eb-90a7-0242ac110003,std_1608103690077_270,9xXH-xuep
