tchextid,stduserid,extuserid,groupid
tch_20201213-012833_1,fc526547-3cb4-11eb-a47c-0242ac110003,std_1607803359667_1,50e2e2cb-25b8-4b98-b75e-40f1927735f6
tch_20201213-012833_1,f71d6307-3cb4-11eb-a47c-0242ac110003,std_1607803350914_1,50e2e2cb-25b8-4b98-b75e-40f1927735f6
tch_20201213-012833_1,f1922a13-3cb4-11eb-a47c-0242ac110003,std_1607803341637_1,50e2e2cb-25b8-4b98-b75e-40f1927735f6
tch_20201213-012833_1,ec283563-3cb4-11eb-90a7-0242ac110003,std_1607803332530_1,50e2e2cb-25b8-4b98-b75e-40f1927735f6
tch_20201213-012833_1,e709055e-3cb4-11eb-90a7-0242ac110003,std_1607803323953_1,50e2e2cb-25b8-4b98-b75e-40f1927735f6
tch_20201213-012833_1,e2596013-3cb4-11eb-90a7-0242ac110003,std_1607803316080_1,58d4f285-0a17-4e83-a62e-6b6eeb8171a0
tch_20201213-012833_1,dc189412-3cb4-11eb-90a7-0242ac110003,std_1607803305602_1,58d4f285-0a17-4e83-a62e-6b6eeb8171a0
tch_20201213-012833_2,10087942-3cb5-11eb-a47c-0242ac110003,std_1607803392735_2,1beacb70-2329-40bd-8607-2b0ae3256ffb
tch_20201213-012833_1,d752ce1c-3cb4-11eb-90a7-0242ac110003,std_1607803297538_1,58d4f285-0a17-4e83-a62e-6b6eeb8171a0
tch_20201213-012833_2,095d04ac-3cb5-11eb-a47c-0242ac110003,std_1607803381537_2,1beacb70-2329-40bd-8607-2b0ae3256ffb
tch_20201213-012833_1,d0866368-3cb4-11eb-90a7-0242ac110003,std_1607803286164_1,58d4f285-0a17-4e83-a62e-6b6eeb8171a0
tch_20201213-012833_2,0297ec58-3cb5-11eb-90a7-0242ac110003,std_1607803370182_2,1beacb70-2329-40bd-8607-2b0ae3256ffb
tch_20201213-012833_1,ca2b7ed8-3cb4-11eb-a47c-0242ac110003,std_1607803275513_1,58d4f285-0a17-4e83-a62e-6b6eeb8171a0
tch_20201213-012833_2,fc20cd33-3cb4-11eb-90a7-0242ac110003,std_1607803359314_2,1beacb70-2329-40bd-8607-2b0ae3256ffb
tch_20201213-012833_2,f72f1594-3cb4-11eb-a47c-0242ac110003,std_1607803351035_2,1beacb70-2329-40bd-8607-2b0ae3256ffb
tch_20201213-012833_3,19ffe5f0-3cb5-11eb-90a7-0242ac110003,std_1607803409453_3,7313903b-95ac-41cf-8f0b-75174d7e97cd
tch_20201213-012833_1,c5043871-3cb4-11eb-90a7-0242ac110003,std_1607803266861_1,a736754a-ef7d-452e-b2a9-9fc6f439a89b
tch_20201213-012833_3,146ce55d-3cb5-11eb-90a7-0242ac110003,std_1607803400091_3,7313903b-95ac-41cf-8f0b-75174d7e97cd
tch_20201213-012833_1,c0a12c46-3cb4-11eb-90a7-0242ac110003,std_1607803259411_1,a736754a-ef7d-452e-b2a9-9fc6f439a89b
tch_20201213-012833_1,bbfe7f59-3cb4-11eb-a47c-0242ac110003,std_1607803251727_1,a736754a-ef7d-452e-b2a9-9fc6f439a89b
tch_20201213-012833_3,0faa7ac8-3cb5-11eb-a47c-0242ac110003,std_1607803392114_3,7313903b-95ac-41cf-8f0b-75174d7e97cd
tch_20201213-012833_4,1fc7b20d-3cb5-11eb-a47c-0242ac110003,std_1607803419155_4,c2239e36-0b27-4f12-b810-0413318d77bd
tch_20201213-012833_2,f1741b44-3cb4-11eb-90a7-0242ac110003,std_1607803341408_2,5f264391-ad01-47a3-be2a-0e1793de3753
tch_20201213-012833_1,b65efc0d-3cb4-11eb-a47c-0242ac110003,std_1607803242249_1,a736754a-ef7d-452e-b2a9-9fc6f439a89b
tch_20201213-012833_3,0b0f47c1-3cb5-11eb-90a7-0242ac110003,std_1607803384364_3,7313903b-95ac-41cf-8f0b-75174d7e97cd
tch_20201213-012833_4,1a5f6b32-3cb5-11eb-a47c-0242ac110003,std_1607803410091_4,c2239e36-0b27-4f12-b810-0413318d77bd
tch_20201213-012833_2,ec16f775-3cb4-11eb-a47c-0242ac110003,std_1607803332432_2,5f264391-ad01-47a3-be2a-0e1793de3753
tch_20201213-012833_3,04a8078a-3cb5-11eb-a47c-0242ac110003,std_1607803373638_3,7313903b-95ac-41cf-8f0b-75174d7e97cd
tch_20201213-012833_1,b0894cd4-3cb4-11eb-a47c-0242ac110003,std_1607803232523_1,a736754a-ef7d-452e-b2a9-9fc6f439a89b
tch_20201213-012833_4,15c4fb41-3cb5-11eb-a47c-0242ac110003,std_1607803402356_4,c2239e36-0b27-4f12-b810-0413318d77bd
tch_20201213-012833_2,e676feea-3cb4-11eb-90a7-0242ac110003,std_1607803322950_2,5f264391-ad01-47a3-be2a-0e1793de3753
tch_20201213-012833_4,0f1dcb18-3cb5-11eb-a47c-0242ac110003,std_1607803391218_4,c2239e36-0b27-4f12-b810-0413318d77bd
tch_20201213-012833_2,e0546858-3cb4-11eb-90a7-0242ac110003,std_1607803312690_2,5f264391-ad01-47a3-be2a-0e1793de3753
tch_20201213-012833_2,db03a19f-3cb4-11eb-a47c-0242ac110003,std_1607803303765_2,5f264391-ad01-47a3-be2a-0e1793de3753
tch_20201213-012833_4,09274e32-3cb5-11eb-90a7-0242ac110003,std_1607803381192_4,c2239e36-0b27-4f12-b810-0413318d77bd
tch_20201213-012833_5,2b984a64-3cb5-11eb-90a7-0242ac110003,std_1607803438970_5,4342168f-9f5d-4b4c-ae8a-360baa4d9346
tch_20201213-012833_1,ab7a9814-3cb4-11eb-a47c-0242ac110003,std_1607803223942_1,de209884-218d-42b9-a212-1fac98ef2b92
tch_20201213-012833_3,fd515e74-3cb4-11eb-a47c-0242ac110003,std_1607803361337_3,21bfc8c3-a97b-447c-aed9-33a93a6c8622
tch_20201213-012833_5,25dd2870-3cb5-11eb-a47c-0242ac110003,std_1607803429359_5,4342168f-9f5d-4b4c-ae8a-360baa4d9346
tch_20201213-012833_1,a5785aa1-3cb4-11eb-90a7-0242ac110003,std_1607803213925_1,de209884-218d-42b9-a212-1fac98ef2b92
tch_20201213-012833_3,f87f6385-3cb4-11eb-a47c-0242ac110003,std_1607803353248_3,21bfc8c3-a97b-447c-aed9-33a93a6c8622
tch_20201213-012833_2,d47f3b92-3cb4-11eb-a47c-0242ac110003,std_1607803292832_2,0e4307b4-0cca-4cac-838c-840500206635
tch_20201213-012833_5,1ec954e6-3cb5-11eb-a47c-0242ac110003,std_1607803417454_5,4342168f-9f5d-4b4c-ae8a-360baa4d9346
tch_20201213-012833_1,9e0c068f-3cb4-11eb-a47c-0242ac110003,std_1607803201467_1,de209884-218d-42b9-a212-1fac98ef2b92
tch_20201213-012833_3,f23c9ade-3cb4-11eb-90a7-0242ac110003,std_1607803342738_3,21bfc8c3-a97b-447c-aed9-33a93a6c8622
tch_20201213-012833_4,03c2ff61-3cb5-11eb-a47c-0242ac110003,std_1607803372081_4,e983bfcc-57c6-4964-b559-ab456a62dd70
tch_20201213-012833_5,1939fe2f-3cb5-11eb-a47c-0242ac110003,std_1607803408140_5,4342168f-9f5d-4b4c-ae8a-360baa4d9346
tch_20201213-012833_1,98de3087-3cb4-11eb-90a7-0242ac110003,std_1607803192789_1,de209884-218d-42b9-a212-1fac98ef2b92
tch_20201213-012833_2,cd25fa1f-3cb4-11eb-90a7-0242ac110003,std_1607803280514_2,0e4307b4-0cca-4cac-838c-840500206635
tch_20201213-012833_4,fcbd0d2b-3cb4-11eb-90a7-0242ac110003,std_1607803360360_4,e983bfcc-57c6-4964-b559-ab456a62dd70
tch_20201213-012833_3,edc8eddc-3cb4-11eb-90a7-0242ac110003,std_1607803335269_3,21bfc8c3-a97b-447c-aed9-33a93a6c8622
tch_20201213-012833_5,14209a63-3cb5-11eb-a47c-0242ac110003,std_1607803399579_5,4342168f-9f5d-4b4c-ae8a-360baa4d9346
tch_20201213-012833_2,c7fc6a7a-3cb4-11eb-a47c-0242ac110003,std_1607803271853_2,0e4307b4-0cca-4cac-838c-840500206635
tch_20201213-012833_1,92ef066b-3cb4-11eb-a47c-0242ac110003,std_1607803182541_1,de209884-218d-42b9-a212-1fac98ef2b92
tch_20201213-012833_4,f718a7ec-3cb4-11eb-a47c-0242ac110003,std_1607803350869_4,e983bfcc-57c6-4964-b559-ab456a62dd70
tch_20201213-012833_3,e9039dbd-3cb4-11eb-90a7-0242ac110003,std_1607803327258_3,21bfc8c3-a97b-447c-aed9-33a93a6c8622
tch_20201213-012833_2,c2cda9de-3cb4-11eb-90a7-0242ac110003,std_1607803263151_2,0e4307b4-0cca-4cac-838c-840500206635
tch_20201213-012833_4,f1026d82-3cb4-11eb-90a7-0242ac110003,std_1607803340666_4,e983bfcc-57c6-4964-b559-ab456a62dd70
tch_20201213-012833_6,37a2434d-3cb5-11eb-90a7-0242ac110003,std_1607803459171_6,0e3b453f-6057-4cc7-bd18-a1fb23f186d2
tch_20201213-012833_2,bd8fce31-3cb4-11eb-a47c-0242ac110003,std_1607803254366_2,0e4307b4-0cca-4cac-838c-840500206635
tch_20201213-012833_4,eb3d8801-3cb4-11eb-90a7-0242ac110003,std_1607803330976_4,e983bfcc-57c6-4964-b559-ab456a62dd70
tch_20201213-012833_6,32094f41-3cb5-11eb-90a7-0242ac110003,std_1607803449781_6,0e3b453f-6057-4cc7-bd18-a1fb23f186d2
tch_20201213-012833_5,0ea3e064-3cb5-11eb-a47c-0242ac110003,std_1607803390394_5,a7b76397-36cf-43e0-99f2-c95d4c2c540e
tch_20201213-012833_6,2af442c2-3cb5-11eb-a47c-0242ac110003,std_1607803437853_6,0e3b453f-6057-4cc7-bd18-a1fb23f186d2
tch_20201213-012833_5,0a43e197-3cb5-11eb-90a7-0242ac110003,std_1607803383035_5,a7b76397-36cf-43e0-99f2-c95d4c2c540e
tch_20201213-012833_3,e20d8a2e-3cb4-11eb-90a7-0242ac110003,std_1607803315583_3,c155d33d-d5cf-47f9-8d6b-12cf0a0d4a90
tch_20201213-012833_6,254c5ab3-3cb5-11eb-a47c-0242ac110003,std_1607803428406_6,0e3b453f-6057-4cc7-bd18-a1fb23f186d2
tch_20201213-012833_5,0428021a-3cb5-11eb-90a7-0242ac110003,std_1607803372723_5,a7b76397-36cf-43e0-99f2-c95d4c2c540e
tch_20201213-012833_3,dcb74501-3cb4-11eb-a47c-0242ac110003,std_1607803306639_3,c155d33d-d5cf-47f9-8d6b-12cf0a0d4a90
tch_20201213-012833_6,1fd34b06-3cb5-11eb-a47c-0242ac110003,std_1607803419215_6,0e3b453f-6057-4cc7-bd18-a1fb23f186d2
