tchextid,stduserid,extuserid,groupid
tch_20201214-123839_73,c6292034-3dde-11eb-90a7-0242ac110003,std_1607931258503_73,03110563-9709-4ea0-af96-621b2ab34c57
tch_20201214-123839_75,e61a9d98-3dde-11eb-a47c-0242ac110003,std_1607931312055_75,979533c4-6c36-446c-ba58-19013f6f5231
tch_20201214-123839_77,46ad35e8-3ddf-11eb-90a7-0242ac110003,std_1607931474113_77,7657a2c1-6194-4559-ad9e-3cd131e81627
tch_20201214-123839_76,18ce8150-3ddf-11eb-a47c-0242ac110003,std_1607931397166_76,0eb35774-4e4b-4cc8-8e37-c5fa56bd29fc
tch_20201214-123839_73,cca34c15-3dde-11eb-a47c-0242ac110003,std_1607931269356_73,03110563-9709-4ea0-af96-621b2ab34c57
tch_20201214-123839_75,ed678310-3dde-11eb-90a7-0242ac110003,std_1607931324356_75,979533c4-6c36-446c-ba58-19013f6f5231
tch_20201214-123839_77,4c080faf-3ddf-11eb-90a7-0242ac110003,std_1607931483107_77,7657a2c1-6194-4559-ad9e-3cd131e81627
tch_20201214-123839_76,1e2ed896-3ddf-11eb-90a7-0242ac110003,std_1607931406161_76,0eb35774-4e4b-4cc8-8e37-c5fa56bd29fc
tch_20201214-123839_75,f34f81e3-3dde-11eb-a47c-0242ac110003,std_1607931334248_75,979533c4-6c36-446c-ba58-19013f6f5231
tch_20201214-123839_77,51a808be-3ddf-11eb-90a7-0242ac110003,std_1607931492528_77,7657a2c1-6194-4559-ad9e-3cd131e81627
tch_20201214-123839_76,23aeed75-3ddf-11eb-90a7-0242ac110003,std_1607931415434_76,0eb35774-4e4b-4cc8-8e37-c5fa56bd29fc
tch_20201214-123839_75,fa3b5afe-3dde-11eb-90a7-0242ac110003,std_1607931345838_75,979533c4-6c36-446c-ba58-19013f6f5231
tch_20201214-123839_74,e136a1f0-3dde-11eb-a47c-0242ac110003,std_1607931303863_74,fc60529e-ac84-4f89-8979-c28a7282eced
tch_20201214-123839_72,ac58b28c-3dde-11eb-90a7-0242ac110003,std_1607931215104_72,d9fa3342-127e-458f-8dda-9da1e5484544
tch_20201214-123839_74,e6d53af7-3dde-11eb-90a7-0242ac110003,std_1607931313327_74,fc60529e-ac84-4f89-8979-c28a7282eced
tch_20201214-123839_72,b2a20ad0-3dde-11eb-90a7-0242ac110003,std_1607931225744_72,d9fa3342-127e-458f-8dda-9da1e5484544
tch_20201214-123839_74,edcc38c4-3dde-11eb-90a7-0242ac110003,std_1607931324981_74,fc60529e-ac84-4f89-8979-c28a7282eced
tch_20201214-123839_73,d951e8b3-3dde-11eb-90a7-0242ac110003,std_1607931290620_73,9bbf248f-af53-4e65-aa20-852db5aca14f
tch_20201214-123839_72,b6ffe641-3dde-11eb-a47c-0242ac110003,std_1607931233072_72,d9fa3342-127e-458f-8dda-9da1e5484544
tch_20201214-123839_74,f4ad3d01-3dde-11eb-90a7-0242ac110003,std_1607931336549_74,fc60529e-ac84-4f89-8979-c28a7282eced
tch_20201214-123839_73,ddc325a6-3dde-11eb-a47c-0242ac110003,std_1607931298117_73,9bbf248f-af53-4e65-aa20-852db5aca14f
tch_20201214-123839_72,bb991d8d-3dde-11eb-a47c-0242ac110003,std_1607931240770_72,d9fa3342-127e-458f-8dda-9da1e5484544
tch_20201214-123839_75,05258b56-3ddf-11eb-90a7-0242ac110003,std_1607931364194_75,4ddc911b-aa33-4877-a474-1c26bd41c7ea
tch_20201214-123839_76,2f0a7db6-3ddf-11eb-a47c-0242ac110003,std_1607931434447_76,150d6b89-4545-4bbb-be68-1488a367936a
tch_20201214-123839_73,e25afd41-3dde-11eb-90a7-0242ac110003,std_1607931305813_73,9bbf248f-af53-4e65-aa20-852db5aca14f
tch_20201214-123839_76,360376b9-3ddf-11eb-a47c-0242ac110003,std_1607931446169_76,150d6b89-4545-4bbb-be68-1488a367936a
tch_20201214-123839_73,e7ae3650-3dde-11eb-90a7-0242ac110003,std_1607931314734_73,9bbf248f-af53-4e65-aa20-852db5aca14f
tch_20201214-123839_75,0c3f051a-3ddf-11eb-a47c-0242ac110003,std_1607931376103_75,4ddc911b-aa33-4877-a474-1c26bd41c7ea
tch_20201214-123839_76,3caaf488-3ddf-11eb-a47c-0242ac110003,std_1607931457273_76,150d6b89-4545-4bbb-be68-1488a367936a
tch_20201214-123839_75,11f7b609-3ddf-11eb-90a7-0242ac110003,std_1607931385672_75,4ddc911b-aa33-4877-a474-1c26bd41c7ea
tch_20201214-123839_76,4398f140-3ddf-11eb-90a7-0242ac110003,std_1607931468969_76,150d6b89-4545-4bbb-be68-1488a367936a
tch_20201214-123839_75,1660670d-3ddf-11eb-90a7-0242ac110003,std_1607931393067_75,4ddc911b-aa33-4877-a474-1c26bd41c7ea
tch_20201214-123839_74,ff991b6b-3dde-11eb-a47c-0242ac110003,std_1607931354868_74,2b946ff6-72a9-4c9e-924f-0c71799b0efc
tch_20201214-123839_72,c79532fe-3dde-11eb-a47c-0242ac110003,std_1607931260875_72,1f2e2e94-55ec-4752-99a0-f75952682095
tch_20201214-123839_74,069fa8d2-3ddf-11eb-a47c-0242ac110003,std_1607931366569_74,2b946ff6-72a9-4c9e-924f-0c71799b0efc
tch_20201214-123839_72,cdd64e45-3dde-11eb-90a7-0242ac110003,std_1607931271387_72,1f2e2e94-55ec-4752-99a0-f75952682095
tch_20201214-123839_74,0bd8f041-3ddf-11eb-90a7-0242ac110003,std_1607931375420_74,2b946ff6-72a9-4c9e-924f-0c71799b0efc
