col1,col2,col3
std_1593095503175_1,3e303ef5-eb40-4cc2-b696-c86b96052d79,tch_20200625-194535_1
std_1593095534973_2,0a3a26ab-e548-45c4-95e4-d68e502e86e6,tch_20200625-194535_2
std_1593095366538_1,30af959d-9215-4811-879a-7191fdc97413,tch_20200625-194535_1
std_1593095399362_2,bd10cf53-42e3-44b0-8725-a9b4aa7fa8fb,tch_20200625-194535_2
std_1593095234657_1,e0c88d0e-1b71-4890-ac81-2d9cba8bb0e7,tch_20200625-194535_1
std_1593095584468_3,8abda6f5-a73d-4bc1-b27d-642181caf1e2,tch_20200625-194535_3
std_1593095607272_4,dd3f2d82-373b-4cd2-aaa6-cbbdfd803fcc,tch_20200625-194535_4
std_1593095266967_2,30a23124-4743-446d-8cd0-9470569dff56,tch_20200625-194535_2
std_1593095438417_3,929c5482-ccdd-4d77-b954-f545aefa8b24,tch_20200625-194535_3
std_1593095103347_1,dfe1d40e-7677-443c-8669-c8c84ec77fd0,tch_20200625-194535_1
std_1593095484713_4,2a88d316-eaf6-4437-94cd-bb6ece769256,tch_20200625-194535_4
std_1593095630976_5,a4b75837-8216-416a-a7d2-2a6937a203fb,tch_20200625-194535_5
std_1593095139934_2,732f256e-6002-474a-ad82-f67bf463cafd,tch_20200625-194535_2
std_1593095305743_3,1c0d0aca-4808-454f-a5ad-defc911db1f4,tch_20200625-194535_3
std_1593095352220_4,25492145-b109-4abc-b42e-988cd9c20a5b,tch_20200625-194535_4
std_1593095665532_6,cc118cc5-8b61-4561-a29d-9abf73e36730,tch_20200625-194535_6
std_1593095502936_5,aaa3a8d6-2a0b-45aa-b258-999f4b98ca45,tch_20200625-194535_5
std_1593095674952_7,7b975a93-1fc8-4540-90bc-90b705a15644,tch_20200625-194535_7
std_1593095173482_3,8722a249-a5f5-467f-86e7-36f0d89f4622,tch_20200625-194535_3
std_1593095531321_6,dddb1cab-e231-40cc-9f33-007ff024331a,tch_20200625-194535_6
std_1593095217213_4,5e06ca33-5b07-4fc1-ab54-30422a1f00cd,tch_20200625-194535_4
std_1593095367618_5,47e2245c-c7f8-4bf9-8ea6-6adbf855addb,tch_20200625-194535_5
std_1593095539939_7,ea4150f8-26b4-447e-be65-77546cbc681a,tch_20200625-194535_7
std_1593095722692_8,be2507a2-65c6-4c51-bf1a-9d1b39da89bf,tch_20200625-194535_8
std_1593095400643_6,806c84fc-90a5-4c73-93e6-e28cd9b1ef48,tch_20200625-194535_6
std_1593095233053_5,31eed2df-d87a-403d-9cae-d69bb557870a,tch_20200625-194535_5
std_1593095408352_7,0d31d799-8f0d-4c63-9b00-dfa703830224,tch_20200625-194535_7
std_1593095754451_10,e7d4b8f8-e953-4406-b296-e229c05d7cf8,tch_20200625-194535_10
std_1593095596494_8,dfc174bf-9a16-4cf6-9eaf-2a00f14531d4,tch_20200625-194535_8
std_1593095258750_6,65b8d28c-6add-4c5a-804a-677b06189a41,tch_20200625-194535_6
std_1593095777860_9,c4450177-f283-43fb-a88e-28f0385325cd,tch_20200625-194535_9
std_1593095787376_11,f435686b-11d6-4607-b684-ac8adeea23a0,tch_20200625-194535_11
std_1593095623057_10,0825dadf-c1ab-42ab-ae39-511626a47272,tch_20200625-194535_10
std_1593095275192_7,3dfbdc74-cc2a-4a07-afb4-1e2af50b50a3,tch_20200625-194535_7
std_1593095457016_8,8101b158-b6a8-494d-b59c-979886872b69,tch_20200625-194535_8
std_1593095644802_9,7a5c6356-6d0e-4c80-b5f8-c5b2f2f9bc3a,tch_20200625-194535_9
std_1593095498689_10,186ccf13-dc9e-4c6f-b21f-8b12a3f4f8fa,tch_20200625-194535_10
std_1593095654277_11,31c95139-a371-491f-b2da-9d4e839448b9,tch_20200625-194535_11
std_1593095326895_8,8cb121a7-c62f-4479-9dac-f33024531fb0,tch_20200625-194535_8
std_1593095838948_12,58566c8d-c2f3-4d6f-9c76-214a1d94ac24,tch_20200625-194535_12
std_1593095508192_9,10a8951c-60f1-492e-85f9-79b139ea8164,tch_20200625-194535_9
std_1593095373225_10,cd77477a-4682-4bd0-8d0b-fd7158677fcc,tch_20200625-194535_10
std_1593095863504_13,5ce1e961-1b47-47f4-b075-db8b20a52a75,tch_20200625-194535_13
std_1593095521994_11,0c831874-245f-48a2-ab68-c2898077357a,tch_20200625-194535_11
std_1593095701944_12,33d1b30a-8924-4628-9951-eb01d2b7a4c5,tch_20200625-194535_12
std_1593095889990_14,d65bb902-f68a-47bd-b9fc-7ba1970e1caf,tch_20200625-194535_14
std_1593095372264_9,570f9f21-0f91-4e74-9b64-9471d4c52f47,tch_20200625-194535_9
std_1593095723084_13,d4be555a-586c-42c1-8c3e-c302c7358ebd,tch_20200625-194535_13
std_1593095395675_11,b8129442-d049-45f1-a9b8-b285e51c70a9,tch_20200625-194535_11
std_1593095573801_12,3c96d045-5658-43ac-935b-7fa7fd1191d8,tch_20200625-194535_12
std_1593095753059_14,a0ae26a0-2fae-4bbe-b198-54172f620d5f,tch_20200625-194535_14
std_1593095927186_15,7140c646-1f9e-409d-afbd-21b04b19672c,tch_20200625-194535_15
std_1593095591445_13,ea6a64bc-2384-4937-bd61-30a9cae91ca1,tch_20200625-194535_13
std_1593095959312_16,c4757a0e-1339-42e7-8383-87c5c980579f,tch_20200625-194535_16
std_1593095441677_12,854a78a6-f97c-4887-9f79-181712a4f8a0,tch_20200625-194535_12
std_1593095631274_14,34a4a5d0-a81f-43c4-8dc4-0b36f08839fe,tch_20200625-194535_14
std_1593095800071_15,c74bdca9-d88a-42fb-a626-d6b044e10f59,tch_20200625-194535_15
std_1593095452401_13,1b6fc3cb-a75b-4517-badc-954bd9a85dbb,tch_20200625-194535_13
std_1593095990293_17,c67a5faa-1ceb-4583-9ea1-206d3e9dab82,tch_20200625-194535_17
std_1593095823498_16,d9d6a513-de18-4402-9b3b-84228f7a9185,tch_20200625-194535_16
std_1593096007681_18,e7736f19-a171-4a16-bc5f-76467b522021,tch_20200625-194535_18
std_1593095491367_14,d7dfe7ae-7798-49f6-99e0-6737642cf819,tch_20200625-194535_14
std_1593095666299_15,2af2f4d3-c9df-46d9-be40-c529902b62eb,tch_20200625-194535_15
std_1593095852609_17,a35a67de-27ac-45a0-8ca0-db69eaeca59c,tch_20200625-194535_17
std_1593095685770_16,da3b64a9-bc95-49e3-8481-4a96793ca445,tch_20200625-194535_16
std_1593095873707_18,4de3a2bd-fa78-48ca-b65e-41adacd80b68,tch_20200625-194535_18
std_1593095526702_15,851543f3-682c-4349-a29a-d07b5ff9b7a4,tch_20200625-194535_15
std_1593096053430_20,db8fb870-2c5a-4eab-aea0-dae352cae342,tch_20200625-194535_20
std_1593096068159_19,bb03707d-a404-400f-863f-423ea49cdd75,tch_20200625-194535_19
std_1593095724233_17,2676f0cc-5141-4a87-8c92-3a60aad1d458,tch_20200625-194535_17
std_1593095559881_16,2c441ff6-3c96-4d58-9397-1681b3ceceda,tch_20200625-194535_16
std_1593095739877_18,0547e054-3f1d-4626-a20b-682abfd54f2b,tch_20200625-194535_18
std_1593095920211_20,418122da-cc89-4f90-a3ce-1dac5b112065,tch_20200625-194535_20
std_1593095591813_17,cc1e2ca7-ffb6-4572-8fcb-a2bcb277ef3a,tch_20200625-194535_17
std_1593095926897_19,cd905903-0da1-4f7a-ba9f-dc79584776d8,tch_20200625-194535_19
std_1593096107297_21,3942440a-87f1-4518-af62-20c2be86d02b,tch_20200625-194535_21
std_1593095605133_18,c371c7a9-b6b3-4520-ac1c-32b4aa235dbe,tch_20200625-194535_18
std_1593096123513_22,f03d2da5-41b9-49c1-87ae-a9b3a7069e35,tch_20200625-194535_22
std_1593095790933_20,94a10108-fc5f-416e-9dc1-4d33d079eb59,tch_20200625-194535_20
std_1593095793907_19,0e802639-3348-4a5c-a11a-dadb5d16307e,tch_20200625-194535_19
std_1593095971663_21,d363e0e4-b402-4253-bad1-ef873311673c,tch_20200625-194535_21
std_1593095664142_20,38bce854-5c4d-45ad-8c95-278262bdb4cc,tch_20200625-194535_20
std_1593095999276_22,ec6d9cc3-c1a9-439b-92a1-23fb3ea9f68b,tch_20200625-194535_22
std_1593095663740_19,6e223e56-1f6a-49fd-b69a-3ca8e809c81b,tch_20200625-194535_19
std_1593096170311_23,db90b6c8-6ae8-46a8-bdf0-e9c243eea834,tch_20200625-194535_23
std_1593095848026_21,b09cef50-c855-4dd7-aafe-522ed2a799af,tch_20200625-194535_21
std_1593096179605_24,d919a264-7d34-49ff-9bbe-8c1035ea2c6f,tch_20200625-194535_24
std_1593095867886_22,56214bec-eee6-40cf-9ad6-ed196da90120,tch_20200625-194535_22
std_1593096208038_25,8974d588-6399-4d6e-9559-3da235e30f7a,tch_20200625-194535_25
std_1593096038920_23,c51f022c-b04e-45e7-9694-9b1123ae5b3c,tch_20200625-194535_23
std_1593095717307_21,24e129dd-dd38-4aa5-ade0-b315c8ca8571,tch_20200625-194535_21
