col1,col2
tch_20200625-194535_1,wg9n-2dMK
tch_20200625-194535_2,PVoH-PxvC
tch_20200625-194535_3,U39p-36iK
tch_20200625-194535_4,2H3W-tfGq
tch_20200625-194535_5,L3ie-r92P
tch_20200625-194535_6,ftRz-vVDz
tch_20200625-194535_7,47C8-qRVp
tch_20200625-194535_8,ghci-cW78
tch_20200625-194535_9,4Kid-wFsg
tch_20200625-194535_10,tYW4-wTDV
tch_20200625-194535_11,fD8z-qYDr
tch_20200625-194535_12,676p-vj4H
tch_20200625-194535_13,4Zb9-P27g
tch_20200625-194535_14,nYdo-jdHt
tch_20200625-194535_15,UaLK-83yj
tch_20200625-194535_16,K84L-Z3qF
tch_20200625-194535_17,KWVF-unjG
tch_20200625-194535_18,mJkd-eB8C
tch_20200625-194535_19,YHLH-y9v3
tch_20200625-194535_20,ihDH-GgLk
tch_20200625-194535_21,3DnK-VgBW
tch_20200625-194535_22,tjox-7kxV
tch_20200625-194535_23,k3Ax-87X8
tch_20200625-194535_24,r7rf-nTRG
tch_20200625-194535_25,WgLF-8wxn
tch_20200625-194535_26,xY9p-42xG
tch_20200625-194535_27,AGC9-fFEr
tch_20200625-194535_28,234j-uFH8
tch_20200625-194535_29,Kp8W-M6Gn
tch_20200625-194535_30,crn9-jMfY
tch_20200625-194535_31,Zw67-KUEb
tch_20200625-194535_32,us78-z3r4
tch_20200625-194535_33,Ag3T-B8hm
tch_20200625-194535_34,eELt-2scj
tch_20200625-194535_35,4UHB-c2Zi
tch_20200625-194535_36,PZst-QapT
tch_20200625-194535_37,wpbt-uW83
tch_20200625-194535_38,VFBt-x28j
tch_20200625-194535_39,TeGa-dr73
tch_20200625-194535_40,8aKU-DVy4
tch_20200625-194535_41,AZhY-43yr
tch_20200625-194535_42,r4p7-27wi
tch_20200625-194535_43,83Bb-Ameq
tch_20200625-194535_44,mqmV-DmBp
tch_20200625-194535_45,unC7-j4iU
tch_20200625-194535_46,6Hq7-n46W
tch_20200625-194535_47,o9Gy-tXiu
tch_20200625-194535_48,zEbE-ib69
tch_20200625-194535_49,ReUk-uT2i
tch_20200625-194535_50,28ap-vWLE
tch_20200625-194535_51,B9zh-i72V
tch_20200625-194535_52,P8EX-F7hJ
tch_20200625-194535_53,FC4x-Dn89
tch_20200625-194535_54,7Lus-72iw
tch_20200625-194535_55,oaAg-R743
tch_20200625-194535_56,oxkV-7xVJ
tch_20200625-194535_57,s8eK-4T3k
tch_20200625-194535_58,dU2d-mUFP
tch_20200625-194535_59,rN2H-nECb
tch_20200625-194535_60,uCbX-q62L
tch_20200625-194535_61,ABPZ-ry24
tch_20200625-194535_62,2mv8-oTzZ
tch_20200625-194535_63,6fRJ-o28L
tch_20200625-194535_64,v9uh-7ZQp
tch_20200625-194535_65,HmPC-q24D
tch_20200625-194535_66,eUi9-jw3e
tch_20200625-194535_67,4vmy-3DmJ
tch_20200625-194535_68,H6Xb-A3Du
tch_20200625-194535_69,fcDY-Mu76
tch_20200625-194535_70,ckKj-493J
tch_20200625-194535_71,7yvJ-nh68
tch_20200625-194535_72,MfzH-PtJi
tch_20200625-194535_73,6YmP-M3vi
tch_20200625-194535_74,FfA4-7fa2
tch_20200625-194535_75,W6vB-XWEj
tch_20200625-194535_76,DQ87-E9xT
tch_20200625-194535_77,XT8y-k28G
tch_20200625-194535_78,8ENF-dPDT
tch_20200625-194535_79,hNGF-9Gq8
tch_20200625-194535_80,AWGY-6xtT
tch_20200625-194535_81,P4Lk-4skg
tch_20200625-194535_82,yf3e-6N34
tch_20200625-194535_83,u2i7-oPH4
tch_20200625-194535_84,47bV-J6WL
tch_20200625-194535_85,BbTi-PQbs
tch_20200625-194535_86,o8U7-mxcF
tch_20200625-194535_87,9Qgp-hmMU
tch_20200625-194535_88,eyLQ-L8kU
tch_20200625-194535_89,fd3b-LCE3
tch_20200625-194535_90,9oWC-NjK3
tch_20200625-194535_91,F3D6-yeCD
tch_20200625-194535_92,Yj2L-NDNd
tch_20200625-194535_93,7NPv-qJF9
tch_20200625-194535_94,h9Y2-RjnE
tch_20200625-194535_95,b42m-3q7Z
tch_20200625-194535_96,9sGa-oU3p
tch_20200625-194535_97,cNU9-ApQs
tch_20200625-194535_98,Xyab-8KWN
tch_20200625-194535_99,2Gvy-BVZ4
tch_20200625-194535_100,492z-3s4y
