tchextid,classcode
tch_20200702-191603_1,nrit-i6fZ
tch_20200702-191603_2,o3ju-7uMW
tch_20200702-191603_3,ehfM-2Pdk
tch_20200702-191603_4,s6e7-6WJ9
tch_20200702-191603_5,42VE-d3np
tch_20200702-191603_6,eTra-4UAs
tch_20200702-191603_7,83o8-tvV6
tch_20200702-191603_8,KQ4k-so7V
tch_20200702-191603_9,KY2q-VdZ6
tch_20200702-191603_10,89z4-ig3T
tch_20200702-191603_11,4Raq-Rz4o
tch_20200702-191603_12,YMNq-f2U7
tch_20200702-191603_13,n2pG-codv
tch_20200702-191603_14,CoRg-dPwM
tch_20200702-191603_15,4wtZ-7t2N
tch_20200702-191603_16,7q9s-PEhU
tch_20200702-191603_17,tKpe-KMm2
tch_20200702-191603_18,3NTi-jBN3
tch_20200702-191603_19,8bYk-Lgnm
tch_20200702-191603_20,rxr2-C6mv
tch_20200702-191603_21,9yBf-gZQr
tch_20200702-191603_22,ekB7-Eh8M
tch_20200702-191603_23,Dnz3-esyQ
tch_20200702-191603_24,zm2y-Z2Yw
tch_20200702-191603_25,p96j-Pom6
tch_20200702-191603_26,mies-UzUt
tch_20200702-191603_27,89F2-Ps4w
tch_20200702-191603_28,ZA4V-2rpk
tch_20200702-191603_29,uT3C-6GHr
tch_20200702-191603_30,HU8H-DAes
tch_20200702-191603_31,P8m3-68YM
tch_20200702-191603_32,R8MK-vBKV
tch_20200702-191603_33,K94y-2rg7
tch_20200702-191603_34,x6gf-4hLP
tch_20200702-191603_35,X7uy-sdDm
tch_20200702-191603_36,xM3A-oCB8
tch_20200702-191603_37,8jW6-Q3rT
tch_20200702-191603_38,PD78-J76k
tch_20200702-191603_39,37C8-vpy2
tch_20200702-191603_40,9RHs-2jyt
tch_20200702-191603_41,kVyG-bJyP
tch_20200702-191603_42,K3mh-tRZ8
tch_20200702-191603_43,DrRe-mz8m
tch_20200702-191603_44,7E6k-TxCQ
tch_20200702-191603_45,o6VJ-zaYh
tch_20200702-191603_46,6g38-n4rJ
tch_20200702-191603_47,w8H9-jxsj
tch_20200702-191603_48,u4wa-nGsG
tch_20200702-191603_49,m2U6-kZ3H
tch_20200702-191603_50,mUQ6-8Zby
tch_20200702-191603_51,23dL-iG3F
tch_20200702-191603_52,Zd2e-XhKc
tch_20200702-191603_53,HTzD-9ga2
tch_20200702-191603_54,2B29-8w4q
tch_20200702-191603_55,J4B6-jTg4
tch_20200702-191603_56,7GKE-4H4x
tch_20200702-191603_57,eEeb-hPCR
tch_20200702-191603_58,rKMh-WAUF
tch_20200702-191603_59,yVc8-W398
tch_20200702-191603_60,QZmn-4W93
tch_20200702-191603_61,6q9Z-9yD7
tch_20200702-191603_62,ujea-Wz3N
tch_20200702-191603_63,njty-tG9T
tch_20200702-191603_64,p7v7-UEYh
tch_20200702-191603_65,cMZN-m842
tch_20200702-191603_66,7t7J-s67c
tch_20200702-191603_67,f6j8-72yz
tch_20200702-191603_68,8Muh-tZ7e
tch_20200702-191603_69,9avg-ow9i
tch_20200702-191603_70,kTc2-XHuU
tch_20200702-191603_71,6xT8-KXci
tch_20200702-191603_72,ur8g-DKqk
tch_20200702-191603_73,4y7R-D6rR
tch_20200702-191603_74,govd-oGZh
tch_20200702-191603_75,6shy-vjWq
tch_20200702-191603_76,HnFt-v3Wh
tch_20200702-191603_77,92YU-j9kd
tch_20200702-191603_78,RYdY-74n8
tch_20200702-191603_79,4K4L-9y2J
tch_20200702-191603_80,aLtB-9r9Z
tch_20200702-191603_81,269a-V3Mx
tch_20200702-191603_82,vo9v-6mL3
tch_20200702-191603_83,Z86w-2TP2
tch_20200702-191603_84,3P28-9Nvb
tch_20200702-191603_85,h849-MtRH
tch_20200702-191603_86,KJix-L2Ku
tch_20200702-191603_87,wRcr-A6Lx
tch_20200702-191603_88,vV78-rnTV
tch_20200702-191603_89,vt3V-BRV6
tch_20200702-191603_90,sKVX-4p9M
tch_20200702-191603_91,m2oR-6Q47
tch_20200702-191603_92,Gw2n-3X6t
tch_20200702-191603_93,Hm7i-sVx2
tch_20200702-191603_94,8JUj-2X4X
tch_20200702-191603_95,R7D2-WJba
tch_20200702-191603_96,9478-t6tY
tch_20200702-191603_97,EK9E-JUy9
tch_20200702-191603_98,HQ7t-LNJk
tch_20200702-191603_99,49p3-7PVu
tch_20200702-191603_100,n2Ti-2J74
tch_20200702-135738_1,8nre-AwW3
tch_20200702-135738_2,Td93-oVAo
tch_20200702-135738_3,x8H9-Hx2z
tch_20200702-135738_4,s74c-24wf
tch_20200702-135738_5,4zHa-GZ4p
tch_20200702-135738_6,6zJN-YUBZ
tch_20200702-135738_7,893T-A64P
tch_20200702-135738_8,kJcd-pihj
tch_20200702-135738_9,787B-2LPF
tch_20200702-135738_10,guaW-Au2z
tch_20200702-135738_11,36C6-zkus
tch_20200702-135738_12,2iYK-6i2N
tch_20200702-135738_13,6hPH-cGR3
tch_20200702-135738_14,ua6Y-3XwJ
tch_20200702-135738_15,8DX8-ysKu
tch_20200702-135738_16,E7Y2-qY84
tch_20200702-135738_17,mhcQ-zei7
tch_20200702-135738_18,krWv-B2Tf
tch_20200702-135738_19,RAc6-2iZ7
tch_20200702-135738_20,GwE9-3z7N
tch_20200702-135738_21,4ixk-2HRt
tch_20200702-135738_22,dT9q-D9Le
tch_20200702-135738_23,jKAy-hgV2
tch_20200702-135738_24,Y8gd-yWqm
tch_20200702-135738_25,Cjio-N7nY
tch_20200702-135738_26,27kt-QN8g
tch_20200702-135738_27,h9ps-BAF3
tch_20200702-135738_28,BbZA-KMb6
tch_20200702-135738_29,LRxv-6H2v
tch_20200702-135738_30,9vMK-24t9
tch_20200702-135738_31,W2sD-7x7y
tch_20200702-135738_32,Qe7U-yvz7
tch_20200702-135738_33,dbtT-8Aj7
tch_20200702-135738_34,MX27-PhQw
tch_20200702-135738_35,K8k9-GznN
tch_20200702-135738_36,Gctm-TCnh
tch_20200702-135738_37,gfFa-YRsB
tch_20200702-135738_38,Fskq-E6YG
tch_20200702-135738_39,Rq7c-nYgf
tch_20200702-135738_40,H7eu-EKwL
tch_20200702-135738_41,R4Uq-WYM3
tch_20200702-135738_42,2B9i-Y2Pc
tch_20200702-135738_43,zhRr-thq2
tch_20200702-135738_44,9xnB-4JsU
tch_20200702-135738_45,tEFt-hbwn
tch_20200702-135738_46,rzkj-B9f6
tch_20200702-135738_47,4TRC-Px8N
tch_20200702-135738_48,3nD9-Mx89
tch_20200702-135738_49,3GjH-UAv3
tch_20200702-135738_50,3L94-2eyQ
tch_20200702-135738_51,U83s-9hWc
tch_20200702-135738_52,749Y-uxHD
tch_20200702-135738_53,hLW9-s46W
tch_20200702-135738_54,ZVpm-CbnT
tch_20200702-135738_55,Zin2-p7pa
tch_20200702-135738_56,i2E9-2U4y
tch_20200702-135738_57,6G48-J6dQ
tch_20200702-135738_58,KCPv-h9M7
tch_20200702-135738_59,8jC6-Ky38
tch_20200702-135738_60,6iRV-H8YZ
tch_20200702-135738_61,p4ze-74M3
tch_20200702-135738_62,atj9-H8uh
tch_20200702-135738_63,4V8g-qaU9
tch_20200702-135738_64,u3pZ-xoY9
tch_20200702-135738_65,9g7w-9TN9
tch_20200702-135738_66,bV7P-9kER
tch_20200702-135738_67,s9rh-8Uqm
tch_20200702-135738_68,cGh6-AeV8
tch_20200702-135738_69,vHqg-aj6V
tch_20200702-135738_70,sAPi-QqvB
tch_20200702-135738_71,K6Lh-72aT
tch_20200702-135738_72,ornz-uF4c
tch_20200702-135738_73,KC3A-9j7r
tch_20200702-135738_74,97pa-Eeit
tch_20200702-135738_75,oP2Q-Bkd6
tch_20200702-135738_76,d7zn-J8Uy
tch_20200702-135738_77,TYUZ-L9J6
tch_20200702-135738_78,mRgK-pR79
tch_20200702-135738_79,Exj4-J7FL
tch_20200702-135738_80,3Tq4-863x
tch_20200702-135738_81,93fp-4Q7Y
tch_20200702-135738_82,76ny-Dcks
tch_20200702-135738_83,hmGu-EsTq
tch_20200702-135738_84,79K3-PZC8
tch_20200702-135738_85,LsGD-c969
tch_20200702-135738_86,p7T3-fXuF
tch_20200702-135738_87,3ViK-ME2C
tch_20200702-135738_88,twry-u2Z6
tch_20200702-135738_89,6KxC-7XAt
tch_20200702-135738_90,R43m-37w3
tch_20200702-135738_91,F2Lx-38H2
tch_20200702-135738_92,azcq-g9vf
tch_20200702-135738_93,V2Ct-73DV
tch_20200702-135738_94,c8Rr-Bihu
tch_20200702-135738_95,fMtK-2ZVq
tch_20200702-135738_96,8hR2-4pdh
tch_20200702-135738_97,374k-RY9T
