tchextid,classcode
tch_20210831-170522_1,26Py-7bY4
tch_20210831-170522_2,3y8G-jqX8
tch_20210831-170522_3,Keug-o2hA
tch_20210831-170522_4,Qw3X-jxka
tch_20210831-170522_5,XW76-wpFB
tch_20210831-170522_6,wt7r-B7Jg
tch_20210831-170522_7,xv2i-29N9
tch_20210831-170522_8,fp3B-r7uU
tch_20210831-170522_9,je9K-QPmJ
tch_20210831-170522_10,mP4w-7p3J
tch_20210831-170522_11,H9EN-vq2B
tch_20210831-170522_12,hHyM-vx6r
tch_20210831-170522_13,Zn6B-J6oA
tch_20210831-170522_14,7iFg-uk2x
tch_20210831-170522_15,2Dns-9nXq
tch_20210831-170522_16,6uDb-E67F
tch_20210831-170522_17,y8mR-CiD7
tch_20210831-170522_18,VJ69-83Cc
tch_20210831-170522_19,fUkx-oNnc
tch_20210831-170522_20,CrD6-vHi3
tch_20210831-170522_21,ut8y-V7K6
tch_20210831-170522_22,2jQH-nzce
tch_20210831-170522_23,z6y6-yuA4
tch_20210831-170522_24,L2H4-xjoB
tch_20210831-170522_25,WHVf-mhJY
tch_20210831-170522_26,7Zna-szFK
tch_20210831-170522_27,UKyF-6g7h
tch_20210831-170522_28,7B78-9849
tch_20210831-170522_29,YqNg-Wh8T
tch_20210831-170522_30,a2Zd-43fN
tch_20210831-170522_31,waUT-DQ9k
tch_20210831-170522_32,MC92-8qf3
tch_20210831-170522_33,9KD9-63W6
tch_20210831-170522_34,7is3-KknR
tch_20210831-170522_35,6Ear-vy9V
tch_20210831-170522_36,D8bW-2ZMn
tch_20210831-170522_37,dHaj-t6NZ
tch_20210831-170522_38,kr8M-L2CJ
tch_20210831-170522_39,P6xG-434g
tch_20210831-170522_40,Pc4g-4ABf
tch_20210831-170522_41,P3eB-t2Cy
tch_20210831-170522_42,tuzr-Yc6n
tch_20210831-170522_43,skj4-vsUg
tch_20210831-170522_44,Jvkz-96cj
tch_20210831-170522_45,MakD-kK3L
tch_20210831-170522_46,BmKW-nYND
tch_20210831-170522_47,a3Gc-oA4E
tch_20210831-170522_48,2z42-aH2H
tch_20210831-170522_49,Y7x8-bC2q
tch_20210831-170522_50,xc3J-vgh9
tch_20210831-170522_51,y3oL-KatL
tch_20210831-170522_52,DWp8-mKmw
tch_20210831-170522_53,2Kkx-iQ3X
tch_20210831-170522_54,Ykv7-U69w
tch_20210831-170522_55,29nK-B4Z6
tch_20210831-170522_56,uW79-sEGy
