studentextuserid,groupids,tchextuserids
std_1592982751292_1,faf64205-3798-4463-ae73-6ec55cfefe9c,tch_20200624-122614_1
std_1592982752811_2,bcf00e0b-ac1a-481c-bcdf-5807ef5e5bae,tch_20200624-122614_2
std_1592982816007_3,f35e5b7c-f294-497d-9383-fa833837812d,tch_20200624-122614_3
std_1592982830156_4,b54fcee6-6d1d-46cb-b0fe-a3654df2060c,tch_20200624-122614_4
std_1592982850565_5,d6b260ab-e7bf-432d-9ccf-030eab28eb5f,tch_20200624-122614_5
std_1592982898708_6,bda418fb-ebc8-49ba-a1bb-ce4e6434aefa,tch_20200624-122614_6
std_1592982904601_7,dc4a66e0-0533-4fe4-a57d-794557e8cadb,tch_20200624-122614_7
std_1592982949793_8,4e3097bc-ca1c-468e-a522-dd7e17d5fdc1,tch_20200624-122614_8
std_1592982983974_9,477c1afa-d63f-469e-87ce-68b5757ac852,tch_20200624-122614_9
std_1592982997823_10,5345e773-2d89-46aa-91d7-f83d958ad1c5,tch_20200624-122614_10
std_1592983045601_11,2985f77b-e643-4613-92a0-ad50e9085c88,tch_20200624-122614_11
std_1592983071778_12,59d1f3e5-5c25-4836-931e-8988c41d05e8,tch_20200624-122614_12
std_1592983092246_13,f92ac1ff-e54f-448b-b5cc-77b3d380d9d8,tch_20200624-122614_13
std_1592983149823_14,7536e2c5-4265-456d-a269-a7431d38ee19,tch_20200624-122614_14
std_1592983169598_15,dd7bbe35-88b3-42f4-9ae2-99f81427ab17,tch_20200624-122614_15
std_1592983196223_16,edc2b95a-3e99-44b5-a7cd-b448379cb57a,tch_20200624-122614_16
std_1592983223531_17,f259fce0-37bd-4123-a406-2888ccfa46cb,tch_20200624-122614_17
std_1592983251772_18,dd0f72db-4ecc-4bde-9508-d5baae172a4a,tch_20200624-122614_18
std_1592983289354_19,59bc5f9f-8284-4104-81c7-f83332df5e25,tch_20200624-122614_19
std_1592983322584_20,80413082-ab82-49df-aeb4-f700adfeb080,tch_20200624-122614_20
std_1592983357015_21,41acd822-1954-4c26-ab25-8b4367d747e9,tch_20200624-122614_21
std_1592983356557_22,60e324ca-e5fc-40b2-b0a1-0f25da6d4600,tch_20200624-122614_22
std_1592983407144_23,afb83876-dcc0-4598-97eb-e889a28d0b61,tch_20200624-122614_23
std_1592983424677_24,dbbdda94-bb91-48a2-927c-daee03c0d15d,tch_20200624-122614_24
std_1592983432226_25,249159f4-fd5b-4b76-bdc1-945497b5f96f,tch_20200624-122614_25
std_1592983494782_27,3e2c34fb-38a3-425d-aaf8-5a6691bca913,tch_20200624-122614_27
std_1592983513597_26,3f354fde-44fd-4798-bcdb-77be5cd3e47e,tch_20200624-122614_26
std_1592983550759_28,d30642f5-4dd7-43d5-a0ab-0afcd4c070f6,tch_20200624-122614_28
std_1592983590482_29,57e79bd8-ea23-4dd7-ac07-86215f3f8e19,tch_20200624-122614_29
std_1592983606110_30,f7482b11-0fd0-4852-be73-a7ca44d9a23e,tch_20200624-122614_30
