tchextid,classcode
tch_20200716-122345_2,iEBs-YK6y
tch_20200716-122345_1,MnGB-7aE8
tch_20200716-122345_3,z3b6-Tdik
tch_20200716-122345_4,umKq-bJCN
tch_20200716-122345_5,Xna6-kKfo
tch_20200716-122345_6,28cf-2frw
tch_20200716-122345_7,D69D-thL8
tch_20200716-122345_8,3vGN-wYyJ
tch_20200716-122345_9,24Ag-QqMF
tch_20200716-122345_10,3a2P-E8zH
tch_20200716-122345_11,6HCQ-3MA6
tch_20200716-122345_12,2J6w-dVbC
tch_20200716-122345_13,z27v-pGx3
tch_20200716-122345_14,Vcaf-RrVD
tch_20200716-122345_15,UY6a-yzmd
tch_20200716-122345_16,sL8e-mwdb
tch_20200716-122345_17,UMm2-Jv2A
tch_20200716-122345_18,MLj3-bF8g
tch_20200716-122345_19,8aie-WXAL
tch_20200716-122345_20,GsEU-8Zx7
tch_20200716-122345_21,MA8V-KAjX
tch_20200716-122345_22,M3aA-K7JW
tch_20200716-122345_23,qJVN-p6z8
tch_20200716-122345_24,3gCM-f426
tch_20200716-122345_25,DPZa-tP8v
tch_20200716-122345_26,424J-4Hsf
tch_20200716-122345_27,bYC3-8sM9
tch_20200716-122345_28,vcy7-bQYA
tch_20200716-122345_29,XMAe-FP7Y
tch_20200716-122345_30,4XeN-7dnK
tch_20200716-122345_31,GDb7-4acf
tch_20200716-122345_32,u6Nt-VbA3
tch_20200716-122345_33,6nU4-jQ3M
tch_20200716-122345_34,BbXL-hbeD
tch_20200716-122345_35,VADn-WP7X
tch_20200716-122345_36,7K78-9wsn
tch_20200716-122345_37,jT2M-QnCb
tch_20200716-122345_38,P4Zp-89uD
tch_20200716-122345_39,2e84-3igt
tch_20200716-122345_40,jaXi-4mcs
