tchextid,studentuuid,stdextid,groupid
tch_20200702-191603_1,e9c39454-bc6c-11ea-94cc-0242ac110002,std_1593698654912_1,05c56952-1a37-446e-8c50-c7eb4bfbae80
tch_20200702-191603_1,d8fa1883-bc6c-11ea-94cc-0242ac110002,std_1593698626741_1,05c56952-1a37-446e-8c50-c7eb4bfbae80
tch_20200702-191603_2,f0cbcfc4-bc6c-11ea-840b-0242ac110002,std_1593698666734_2,d52e70d2-7460-491e-bc04-57d449b2bf8d
tch_20200702-191603_1,ca03ae19-bc6c-11ea-840b-0242ac110002,std_1593698601663_1,05c56952-1a37-446e-8c50-c7eb4bfbae80
tch_20200702-191603_2,e16a47f9-bc6c-11ea-840b-0242ac110002,std_1593698640823_2,d52e70d2-7460-491e-bc04-57d449b2bf8d
tch_20200702-191603_2,d2374a2b-bc6c-11ea-840b-0242ac110002,std_1593698615409_2,d52e70d2-7460-491e-bc04-57d449b2bf8d
tch_20200702-191603_1,b87e82df-bc6c-11ea-94cc-0242ac110002,std_1593698572245_1,05c56952-1a37-446e-8c50-c7eb4bfbae80
tch_20200702-191603_2,bfe72e3f-bc6c-11ea-840b-0242ac110002,std_1593698584693_2,d52e70d2-7460-491e-bc04-57d449b2bf8d
tch_20200702-191603_1,99589336-bc6c-11ea-840b-0242ac110002,std_1593698519969_1,d0a1a198-b1e9-4426-b224-3d401ac494e8
tch_20200702-191603_3,02f1ce8c-bc6d-11ea-840b-0242ac110002,std_1593698697145_3,32cd22dd-4cc4-41b0-93bd-aadd4bca6db8
tch_20200702-191603_2,9d7b137f-bc6c-11ea-840b-0242ac110002,std_1593698526923_2,b1264072-68cf-445e-9779-f42331902622
tch_20200702-191603_1,89401786-bc6c-11ea-840b-0242ac110002,std_1593698492985_1,d0a1a198-b1e9-4426-b224-3d401ac494e8
tch_20200702-191603_3,f2d35f90-bc6c-11ea-94cc-0242ac110002,std_1593698670123_3,32cd22dd-4cc4-41b0-93bd-aadd4bca6db8
tch_20200702-191603_2,8e941326-bc6c-11ea-840b-0242ac110002,std_1593698501920_2,b1264072-68cf-445e-9779-f42331902622
tch_20200702-191603_3,e3d490f9-bc6c-11ea-94cc-0242ac110002,std_1593698644953_3,32cd22dd-4cc4-41b0-93bd-aadd4bca6db8
tch_20200702-191603_1,79c8bd54-bc6c-11ea-840b-0242ac110002,std_1593698467033_1,d0a1a198-b1e9-4426-b224-3d401ac494e8
tch_20200702-191603_2,7f7f72b3-bc6c-11ea-840b-0242ac110002,std_1593698476643_2,b1264072-68cf-445e-9779-f42331902622
tch_20200702-191603_1,69a5e19a-bc6c-11ea-840b-0242ac110002,std_1593698439954_1,d0a1a198-b1e9-4426-b224-3d401ac494e8
tch_20200702-191603_3,d4554821-bc6c-11ea-94cc-0242ac110002,std_1593698618953_3,32cd22dd-4cc4-41b0-93bd-aadd4bca6db8
tch_20200702-191603_2,70498e34-bc6c-11ea-94cc-0242ac110002,std_1593698451110_2,b1264072-68cf-445e-9779-f42331902622
tch_20200702-191603_3,b2980b40-bc6c-11ea-840b-0242ac110002,std_1593698562351_3,217eccfd-8e0d-4e43-a456-688066d9bfc3
tch_20200702-191603_1,4b1468d6-bc6c-11ea-94cc-0242ac110002,std_1593698388662_1,dd2bdba8-a5fc-4422-8db7-e5c2ba1731d0
tch_20200702-191603_2,4fea5b14-bc6c-11ea-94cc-0242ac110002,std_1593698396732_2,499d74aa-abda-4865-96a3-e0ed442f1a05
tch_20200702-191603_3,a2bc4a38-bc6c-11ea-840b-0242ac110002,std_1593698535761_3,217eccfd-8e0d-4e43-a456-688066d9bfc3
tch_20200702-191603_1,3ad13450-bc6c-11ea-840b-0242ac110002,std_1593698361382_1,dd2bdba8-a5fc-4422-8db7-e5c2ba1731d0
tch_20200702-191603_2,4152d9b3-bc6c-11ea-840b-0242ac110002,std_1593698372279_2,499d74aa-abda-4865-96a3-e0ed442f1a05
tch_20200702-191603_3,94348074-bc6c-11ea-840b-0242ac110002,std_1593698511348_3,217eccfd-8e0d-4e43-a456-688066d9bfc3
tch_20200702-191603_4,202898d7-bc6d-11ea-94cc-0242ac110002,std_1593698746172_4,c2c904a5-dfa4-4880-a1b4-66883889cb3f
tch_20200702-191603_1,2a974d91-bc6c-11ea-94cc-0242ac110002,std_1593698334167_1,dd2bdba8-a5fc-4422-8db7-e5c2ba1731d0
tch_20200702-191603_3,85e8af1d-bc6c-11ea-840b-0242ac110002,std_1593698487391_3,217eccfd-8e0d-4e43-a456-688066d9bfc3
tch_20200702-191603_2,30260814-bc6c-11ea-840b-0242ac110002,std_1593698343443_2,499d74aa-abda-4865-96a3-e0ed442f1a05
