tchextid,studentuuid,stdextid,classcode
tch_20200702-191603_1,a01d3b8b-bcc9-11ea-840b-0242ac110002,std_1593738474120_1,nrit-i6fZ
tch_20200702-191603_2,a3987f14-bcc9-11ea-94cc-0242ac110002,std_1593738480147_2,o3ju-7uMW
tch_20200702-191603_3,a729951e-bcc9-11ea-840b-0242ac110002,std_1593738486136_3,ehfM-2Pdk
tch_20200702-191603_4,aac225d1-bcc9-11ea-94cc-0242ac110002,std_1593738492144_4,s6e7-6WJ9
tch_20200702-191603_1,ad7cffec-bcc9-11ea-94cc-0242ac110002,std_1593738497069_1,nrit-i6fZ
tch_20200702-191603_5,ae50554e-bcc9-11ea-94cc-0242ac110002,std_1593738498151_5,42VE-d3np
tch_20200702-191603_6,b1eed8a9-bcc9-11ea-94cc-0242ac110002,std_1593738504157_6,eTra-4UAs
tch_20200702-191603_2,b5034487-bcc9-11ea-94cc-0242ac110002,std_1593738509697_2,o3ju-7uMW
tch_20200702-191603_3,b5c200ef-bcc9-11ea-94cc-0242ac110002,std_1593738510861_3,ehfM-2Pdk
tch_20200702-191603_7,b5789c47-bcc9-11ea-840b-0242ac110002,std_1593738510163_7,83o8-tvV6
tch_20200702-191603_8,b90c7101-bcc9-11ea-840b-0242ac110002,std_1593738516171_8,KQ4k-so7V
tch_20200702-191603_4,bb15ae6c-bcc9-11ea-840b-0242ac110002,std_1593738519884_4,s6e7-6WJ9
tch_20200702-191603_9,bca1302d-bcc9-11ea-94cc-0242ac110002,std_1593738522176_9,KY2q-VdZ6
tch_20200702-191603_1,be733111-bcc9-11ea-840b-0242ac110002,std_1593738525557_1,nrit-i6fZ
tch_20200702-191603_6,c28759ef-bcc9-11ea-94cc-0242ac110002,std_1593738532376_6,eTra-4UAs
tch_20200702-191603_5,bea8998b-bcc9-11ea-840b-0242ac110002,std_1593738525879_5,42VE-d3np
tch_20200702-191603_10,c038880a-bcc9-11ea-94cc-0242ac110002,std_1593738528187_10,89z4-ig3T
tch_20200702-191603_2,c34f8ba4-bcc9-11ea-840b-0242ac110002,std_1593738533687_2,o3ju-7uMW
tch_20200702-191603_7,c5685a10-bcc9-11ea-840b-0242ac110002,std_1593738537176_7,83o8-tvV6
tch_20200702-191603_3,c4bb9f7c-bcc9-11ea-840b-0242ac110002,std_1593738536108_3,ehfM-2Pdk
tch_20200702-191603_11,c3c57fb9-bcc9-11ea-840b-0242ac110002,std_1593738534189_11,4Raq-Rz4o
tch_20200702-191603_12,c760325a-bcc9-11ea-94cc-0242ac110002,std_1593738540197_12,YMNq-f2U7
tch_20200702-191603_13,caf82616-bcc9-11ea-94cc-0242ac110002,std_1593738546202_13,n2pG-codv
tch_20200702-191603_8,c85148eb-bcc9-11ea-840b-0242ac110002,std_1593738542110_8,KQ4k-so7V
tch_20200702-191603_1,ce851d27-bcc9-11ea-94cc-0242ac110002,std_1593738552501_1,nrit-i6fZ
tch_20200702-191603_4,cc86b55d-bcc9-11ea-94cc-0242ac110002,std_1593738549174_4,s6e7-6WJ9
tch_20200702-191603_9,cd2a963f-bcc9-11ea-94cc-0242ac110002,std_1593738550231_9,KY2q-VdZ6
tch_20200702-191603_5,cf938049-bcc9-11ea-840b-0242ac110002,std_1593738554244_5,42VE-d3np
tch_20200702-191603_14,ce8d5abe-bcc9-11ea-94cc-0242ac110002,std_1593738552210_14,CoRg-dPwM
tch_20200702-191603_6,cf7faa44-bcc9-11ea-94cc-0242ac110002,std_1593738554137_6,eTra-4UAs
tch_20200702-191603_10,d093641b-bcc9-11ea-840b-0242ac110002,std_1593738555991_10,89z4-ig3T
tch_20200702-191603_2,d132ff98-bcc9-11ea-94cc-0242ac110002,std_1593738556988_2,o3ju-7uMW
tch_20200702-191603_15,d21e70f9-bcc9-11ea-94cc-0242ac110002,std_1593738558216_15,4wtZ-7t2N
tch_20200702-191603_16,d5b7c430-bcc9-11ea-840b-0242ac110002,std_1593738564262_16,7q9s-PEhU
tch_20200702-191603_3,d4a78c6e-bcc9-11ea-94cc-0242ac110002,std_1593738562793_3,ehfM-2Pdk
tch_20200702-191603_11,d58bd1fc-bcc9-11ea-94cc-0242ac110002,std_1593738564281_11,4Raq-Rz4o
tch_20200702-191603_7,d36ee56e-bcc9-11ea-840b-0242ac110002,std_1593738560738_7,83o8-tvV6
tch_20200702-191603_12,d63fb91e-bcc9-11ea-94cc-0242ac110002,std_1593738565475_12,YMNq-f2U7
tch_20200702-191603_13,d96e63ac-bcc9-11ea-94cc-0242ac110002,std_1593738570815_13,n2pG-codv
tch_20200702-191603_8,daa07b3f-bcc9-11ea-94cc-0242ac110002,std_1593738572834_8,KQ4k-so7V
tch_20200702-191603_17,d94d6e2a-bcc9-11ea-840b-0242ac110002,std_1593738570263_17,tKpe-KMm2
tch_20200702-191603_9,de06d788-bcc9-11ea-840b-0242ac110002,std_1593738578506_9,KY2q-VdZ6
tch_20200702-191603_18,dcdd7260-bcc9-11ea-94cc-0242ac110002,std_1593738576262_18,3NTi-jBN3
tch_20200702-191603_14,df70c759-bcc9-11ea-840b-0242ac110002,std_1593738580874_14,CoRg-dPwM
tch_20200702-191603_4,dd6e1968-bcc9-11ea-94cc-0242ac110002,std_1593738577497_4,s6e7-6WJ9
tch_20200702-191603_10,e0d25350-bcc9-11ea-94cc-0242ac110002,std_1593738583207_10,89z4-ig3T
tch_20200702-191603_5,df319c01-bcc9-11ea-94cc-0242ac110002,std_1593738580475_5,42VE-d3np
tch_20200702-191603_6,dfb4128f-bcc9-11ea-94cc-0242ac110002,std_1593738581321_6,eTra-4UAs
tch_20200702-191603_19,e0751867-bcc9-11ea-840b-0242ac110002,std_1593738582261_19,8bYk-Lgnm
tch_20200702-191603_20,e40173a2-bcc9-11ea-840b-0242ac110002,std_1593738588263_20,rxr2-C6mv
tch_20200702-191603_15,e25d3943-bcc9-11ea-94cc-0242ac110002,std_1593738585804_15,4wtZ-7t2N
tch_20200702-191603_16,e375fca7-bcc9-11ea-840b-0242ac110002,std_1593738587651_16,7q9s-PEhU
tch_20200702-191603_11,e50bb7d4-bcc9-11ea-94cc-0242ac110002,std_1593738590292_11,4Raq-Rz4o
tch_20200702-191603_7,e54d5408-bcc9-11ea-840b-0242ac110002,std_1593738590722_7,83o8-tvV6
tch_20200702-191603_12,e68fe631-bcc9-11ea-840b-0242ac110002,std_1593738592845_12,YMNq-f2U7
tch_20200702-191603_13,ea37dfd6-bcc9-11ea-94cc-0242ac110002,std_1593738598978_13,n2pG-codv
tch_20200702-191603_21,e79b3b9f-bcc9-11ea-94cc-0242ac110002,std_1593738594262_21,9yBf-gZQr
tch_20200702-191603_9,eb7d7f87-bcc9-11ea-840b-0242ac110002,std_1593738601103_9,KY2q-VdZ6
tch_20200702-191603_8,eaa19deb-bcc9-11ea-840b-0242ac110002,std_1593738599684_8,KQ4k-so7V
tch_20200702-191603_14,ed2737c9-bcc9-11ea-94cc-0242ac110002,std_1593738603880_14,CoRg-dPwM
tch_20200702-191603_17,eb361598-bcc9-11ea-94cc-0242ac110002,std_1593738600631_17,tKpe-KMm2
tch_20200702-191603_18,ebcd261d-bcc9-11ea-94cc-0242ac110002,std_1593738601638_18,3NTi-jBN3
tch_20200702-191603_22,eb2ceea0-bcc9-11ea-94cc-0242ac110002,std_1593738600262_22,ekB7-Eh8M
tch_20200702-191603_10,eea28d15-bcc9-11ea-840b-0242ac110002,std_1593738606402_10,89z4-ig3T
tch_20200702-191603_23,eec3f732-bcc9-11ea-840b-0242ac110002,std_1593738606270_23,Dnz3-esyQ
tch_20200702-191603_24,f2678426-bcc9-11ea-94cc-0242ac110002,std_1593738612276_24,zm2y-Z2Yw
tch_20200702-191603_19,f223283a-bcc9-11ea-840b-0242ac110002,std_1593738612297_19,8bYk-Lgnm
tch_20200702-191603_15,f30c7677-bcc9-11ea-840b-0242ac110002,std_1593738613739_15,4wtZ-7t2N
tch_20200702-191603_20,f2dc1791-bcc9-11ea-94cc-0242ac110002,std_1593738613499_20,rxr2-C6mv
tch_20200702-191603_16,f59bd45d-bcc9-11ea-840b-0242ac110002,std_1593738618091_16,7q9s-PEhU
tch_20200702-191603_25,f5e9f452-bcc9-11ea-94cc-0242ac110002,std_1593738618283_25,p96j-Pom6
tch_20200702-191603_11,f623efae-bcc9-11ea-94cc-0242ac110002,std_1593738618932_11,4Raq-Rz4o
tch_20200702-191603_12,f6eac2bd-bcc9-11ea-840b-0242ac110002,std_1593738620291_12,YMNq-f2U7
tch_20200702-191603_13,f91d813c-bcc9-11ea-840b-0242ac110002,std_1593738623958_13,n2pG-codv
tch_20200702-191603_26,f97f503b-bcc9-11ea-94cc-0242ac110002,std_1593738624288_26,mies-UzUt
tch_20200702-191603_14,fb69baa9-bcc9-11ea-840b-0242ac110002,std_1593738627846_14,CoRg-dPwM
tch_20200702-191603_21,fa00b4ab-bcc9-11ea-840b-0242ac110002,std_1593738625467_21,9yBf-gZQr
tch_20200702-191603_27,fd10db1d-bcc9-11ea-840b-0242ac110002,std_1593738630294_27,89F2-Ps4w
tch_20200702-191603_17,fbf50a9c-bcc9-11ea-840b-0242ac110002,std_1593738628756_17,tKpe-KMm2
tch_20200702-191603_18,fc572832-bcc9-11ea-94cc-0242ac110002,std_1593738629396_18,3NTi-jBN3
tch_20200702-191603_22,fd52c5cd-bcc9-11ea-840b-0242ac110002,std_1593738631054_22,ekB7-Eh8M
tch_20200702-191603_23,ffa62bdd-bcc9-11ea-840b-0242ac110002,std_1593738634941_23,Dnz3-esyQ
tch_20200702-191603_24,0310321d-bcca-11ea-840b-0242ac110002,std_1593738640675_24,zm2y-Z2Yw
tch_20200702-191603_28,00aa06fc-bcca-11ea-94cc-0242ac110002,std_1593738636301_28,ZA4V-2rpk
tch_20200702-191603_19,03a14e47-bcca-11ea-840b-0242ac110002,std_1593738641595_19,8bYk-Lgnm
tch_20200702-191603_15,03f8e3f3-bcca-11ea-840b-0242ac110002,std_1593738642202_15,4wtZ-7t2N
tch_20200702-191603_29,0438faf3-bcca-11ea-840b-0242ac110002,std_1593738642310_29,uT3C-6GHr
tch_20200702-191603_20,0436623d-bcca-11ea-94cc-0242ac110002,std_1593738642575_20,rxr2-C6mv
tch_20200702-191603_16,064719e3-bcca-11ea-840b-0242ac110002,std_1593738646012_16,7q9s-PEhU
