extuserid,classcode
tch_20201211-135828_1,r4K9-243A
tch_20201211-135828_2,VRmd-93JY
tch_20201211-135828_3,B8Ui-yZid
tch_20201211-135828_4,zLR7-jUr8
tch_20201211-135828_5,H6jf-rCR9
tch_20201211-135828_6,7D8v-fJws
tch_20201211-135828_7,dqvy-9n69
tch_20201211-135828_8,4h8Z-m9cw
tch_20201211-135828_9,7Unk-YMvJ
tch_20201211-135828_10,qdwy-4ChQ
tch_20201211-135828_11,QxXi-EC4a
tch_20201211-135828_12,38kM-9Yez
tch_20201211-135828_13,H8g7-8ChC
tch_20201211-135828_14,f3P6-rqnc
tch_20201211-135828_15,4eW7-3aT3
tch_20201211-135828_16,HQg2-uRr3
tch_20201211-135828_17,MhZU-zVs6
tch_20201211-135828_18,2ZND-3brx
tch_20201211-135828_19,3PCt-p8D9
tch_20201211-135828_20,orD9-3t7N
tch_20201211-135828_21,kdq7-AoUY
tch_20201211-135828_22,fFvp-9h7D
tch_20201211-135828_23,EGCm-gtGM
tch_20201211-135828_24,79tB-QZkm
tch_20201211-135828_25,vnAw-xhjy
tch_20201211-135828_26,kC89-baN6
tch_20201211-135828_27,8789-8N4c
tch_20201211-135828_28,Nuq2-Bo7k
tch_20201211-135828_29,w6Zk-626L
tch_20201211-135828_30,d3QH-rvxn
tch_20201211-135828_31,FJ4c-7Wd8
tch_20201211-135828_32,2ri6-nmo4
tch_20201211-135828_33,PB2r-4e42
tch_20201211-135828_34,spoF-a2mb
tch_20201211-135828_35,QFpN-Au7x
tch_20201211-135828_36,FMGt-kX6u
tch_20201211-135828_37,28zU-4H8n
tch_20201211-135828_38,h9yN-xU6P
tch_20201211-135828_39,3QPx-s3w3
tch_20201211-135828_40,EXV2-HVM7
tch_20201211-135828_41,9znP-62e3
tch_20201211-135828_42,q427-ozTu
tch_20201211-135828_43,c9NF-u7K4
tch_20201211-135828_44,v9Kg-LAaw
tch_20201211-135828_45,fvk4-u6Zz
tch_20201211-135828_46,CeQ8-s8XA
tch_20201211-135828_47,v7fg-Pf9D
tch_20201211-135828_48,tuzs-2nDa
tch_20201211-135828_49,ibf8-w2NY
tch_20201211-135828_50,ZU82-diAj
tch_20201211-135828_51,aR8Y-zv9T
tch_20201211-135828_52,74vc-JV3h
tch_20201211-135828_53,42Wk-bXdJ
tch_20201211-135828_54,Y7rB-7T72
tch_20201211-135828_55,NVro-CGoh
tch_20201211-135828_56,xwdh-DsEF
tch_20201211-135828_57,agD8-68rg
tch_20201211-135828_58,6EdU-sHa3
tch_20201211-135828_59,Hh8h-ENE8
tch_20201211-135828_60,sRjP-Vmof
tch_20201211-135828_61,zU6K-ktR4
tch_20201211-135828_62,CpWh-7uq2
tch_20201211-135828_63,7uwk-sa4a
tch_20201211-135828_64,b78V-W9iT
tch_20201211-135828_65,WF3y-2VTW
tch_20201211-135828_66,TWfp-2dmi
tch_20201211-135828_67,c967-8TWa
tch_20201211-135828_68,73jL-biqW
tch_20201211-135828_69,PcHe-fmDF
tch_20201211-135828_70,7W7d-iB7E
tch_20201211-135828_71,Cg6V-NXU9
tch_20201211-135828_72,ZpPu-Ufxk
tch_20201211-135828_73,7a9P-snav
tch_20201211-135828_74,rtcp-V8Ji
tch_20201211-135828_75,3xEd-cue7
tch_20201211-135828_76,4684-987E
tch_20201211-135828_77,34b7-cgeX
tch_20201211-135828_78,2f74-g62W
tch_20201211-135828_79,XPtL-9sGy
tch_20201211-135828_80,gcaR-bALn
tch_20201211-135828_81,YdUs-bxXU
tch_20201211-135828_82,jcRz-mFk3
tch_20201211-135828_83,ah37-A9Wo
tch_20201211-135828_84,Z3XF-iV4s
tch_20201211-135828_85,xoLA-qf7K
tch_20201211-135828_86,jVit-nZJy
tch_20201211-135828_87,Qy9i-sA6X
tch_20201211-135828_88,8ofj-s9HM
tch_20201211-135828_89,pfWU-iXaH
tch_20201211-135828_90,6Do2-crXV
tch_20201211-135828_91,7st4-7yEm
tch_20201211-135828_92,bo7h-faGf
tch_20201211-135828_93,a2V3-QX9z
tch_20201211-135828_94,ZEdJ-29i9
tch_20201211-135828_95,MWiB-4eM9
tch_20201211-135828_96,6Qbh-XPXk
tch_20201211-135828_97,73TZ-jeLQ
tch_20201211-135828_98,3mhG-tgCz
tch_20201211-135828_99,8VRv-Qcx6
tch_20201211-135828_100,zyiF-9EvX
tch_20201211-145727_1,74j3-cgiL
tch_20201211-145727_2,sE4z-4BV3
tch_20201211-145727_3,fFag-zaAW
tch_20201211-145727_4,CVLu-EWaT
tch_20201211-145727_5,fwZg-7CuC
tch_20201211-145727_6,r4ki-UG3H
tch_20201211-145727_7,n82v-dG3r
tch_20201211-145727_8,8kb2-FdZ9
tch_20201211-145727_9,XYqe-kZQA
tch_20201211-145727_10,g8cf-p8kN
tch_20201211-145727_11,j8b8-Hdqw
tch_20201211-145727_12,843m-Q8zJ
tch_20201211-145727_13,ahpA-8E7r
tch_20201211-145727_14,uTvL-qNQJ
tch_20201211-145727_15,4PR2-HMB7
tch_20201211-145727_16,pos7-3cyi
tch_20201211-145727_17,H427-9uZ9
tch_20201211-145727_18,cEhC-7zTX
tch_20201211-145727_19,x7PL-8Mdn
tch_20201211-145727_20,2rsW-s638
tch_20201211-145727_21,cfCj-hjWv
tch_20201211-145727_22,aR7W-oLuq
tch_20201211-145727_23,uJR7-QrX8
tch_20201211-145727_24,63NR-bR2v
tch_20201211-145727_25,TWgH-fYst
tch_20201211-145727_26,784n-VWUM
tch_20201211-145727_27,4LZN-2Wy6
tch_20201211-145727_28,y7XZ-9Qvi
tch_20201211-145727_29,T7KH-9eZ3
tch_20201211-145727_30,Y8RT-yD6b
tch_20201211-145727_31,6vtF-mz8Z
tch_20201211-145727_32,C386-J23s
tch_20201211-145727_33,k8bk-dChM
tch_20201211-145727_34,x2q2-GkCL
tch_20201211-145727_35,qonp-TVvD
tch_20201211-145727_36,jFtG-i6fF
tch_20201211-145727_37,xqMq-843W
tch_20201211-145727_38,Z2Qv-aZ4u
tch_20201211-145727_39,gR2x-WYMp
tch_20201211-145727_40,pHfg-9etB
tch_20201211-145727_41,xsZ2-c84q
tch_20201211-145727_42,gG48-zt98
tch_20201211-145727_43,hX4z-Y2Kq
tch_20201211-145727_44,adsC-htvj
tch_20201211-145727_45,V3mA-3hQy
tch_20201211-145727_46,FZYr-87fw
tch_20201211-145727_47,TFJ6-HUNd
tch_20201211-145727_48,4wz3-4xAL
tch_20201211-145727_49,c6E7-3JiW
tch_20201211-145727_50,vf2s-K4NQ
tch_20201211-145727_51,c6y4-6w8u
tch_20201211-145727_52,Dp7g-j4fv
tch_20201211-145727_53,ErGE-DicM
tch_20201211-145727_54,egcU-cv86
tch_20201211-145727_55,4XYc-r9An
tch_20201211-145727_56,vJ2X-jZz2
tch_20201211-145727_57,Gcu9-B4Lt
tch_20201211-145727_58,xWem-F4Ni
tch_20201211-145727_59,YDM3-YLD3
tch_20201211-145727_60,oQXF-3QyL
tch_20201211-145727_61,876n-2eRJ
tch_20201211-145727_62,VhNZ-4vCq
tch_20201211-145727_63,4u6W-T6Pz
tch_20201211-145727_64,9yd6-GTa4
tch_20201211-145727_65,g6hD-pmaJ
tch_20201211-145727_66,n647-mvKb
tch_20201211-145727_67,yGm4-XZ8a
tch_20201211-145727_68,fL6G-7Ui2
tch_20201211-145727_69,CHs3-FnC9
tch_20201211-145727_70,D9Co-NZf9
tch_20201211-145727_71,p4YZ-2Z2U
tch_20201211-145727_72,X4ju-oJ4k
tch_20201211-145727_73,z4HM-rx6P
tch_20201211-145727_74,Rzg4-J4nq
tch_20201211-145727_75,bBwC-68B3
tch_20201211-145727_76,Cgqs-ZvhC
tch_20201211-145727_77,d9t4-Y948
tch_20201211-145727_78,Y74L-C6yk
tch_20201211-145727_79,GNuW-wJ8M
tch_20201211-145727_80,9qQM-giZB
tch_20201211-145727_81,jCkV-3t83
tch_20201211-145727_82,4csH-E4HD
tch_20201211-145727_83,N2jB-A7Rm
tch_20201211-145727_84,78Hh-eFNc
tch_20201211-145727_85,H7B9-3s6d
tch_20201211-145727_86,4T2V-yXB3
tch_20201211-145727_87,bhEj-Zv6c
tch_20201211-145727_88,qQWz-ujw9
tch_20201211-145727_89,27E6-vdJG
tch_20201211-145727_90,6C2T-8ciz
tch_20201211-145727_91,2kc3-umPE
tch_20201211-145727_92,xrbm-7VT9
tch_20201211-145727_93,Jrf6-78Wm
tch_20201211-145727_94,2hqs-obhJ
tch_20201211-145727_95,Ld2q-6K48
tch_20201211-145727_96,ak64-Eo9o
tch_20201211-145727_97,8TAB-C9ov
tch_20201211-145727_98,BH9T-nzcw
tch_20201211-145727_99,WnwP-7mYm
tch_20201211-145727_100,u4VF-yb24
tch_20201211-161436_1,Gm2d-3VtC
tch_20201211-161436_2,F4ZD-CJFp
tch_20201211-161436_3,Boj3-cWe2
tch_20201211-161436_4,hJP2-bWMQ
tch_20201211-161436_5,VCdm-Ej67
tch_20201211-161436_6,8yK8-Z6pw
tch_20201211-161436_7,6c46-Zgz3
tch_20201211-161436_8,pBFP-E824
tch_20201211-161436_9,AT2W-9d9G
tch_20201211-161436_10,VW7h-BTcs
tch_20201211-161436_11,6uqr-3A6x
tch_20201211-161436_12,kuEh-YCfU
