ece4c3794c0647b8a13494fa6b8d4e76,238c9941-876f-4309-a81e-22244af54cfb,df2U-TJC6,std_T842-jkW7_1707905504158_2,T842-jkW7,L1
tch_20200519-152222_1,38f83815-f807-4e09-8873-19b8224a8633,h3v7-838G,std_reDy-pZxK_1707905504981_1,reDy-pZxK,L1
tch_20200519-152222_2,6f7d3cce-0b90-4771-bf9d-76828e145832,34wy-423v,std_T842-jkW7_1707905508594_2,T842-jkW7,L1
tch_20200519-152222_3,5c7714e7-3eb7-445d-86ce-905b75e7fde8,7BJM-KvLC,std_reDy-pZxK_1707905509512_1,reDy-pZxK,L1
tch_20200519-152222_4,c902288d-d10d-41f3-b6cd-aa185b7be6ff,4TAT-Mf6T,std_T842-jkW7_1707905513135_2,T842-jkW7,L1
tch_20200519-152222_5,dca4a38f-0656-460b-bb70-146f72014cd2,7t4D-y282,std_reDy-pZxK_1707905513914_1,reDy-pZxK,L1
tch_20200519-152222_6,c95abfd1-36eb-4b59-b466-562c0fba5e82,Do4h-C2Ra,std_T842-jkW7_1707905517631_2,T842-jkW7,L1
tch_20200519-152222_7,3f11b40a-43dc-4c3f-a279-7317d2c17aa3,nP6Z-Cmbq,std_reDy-pZxK_1707905518116_1,reDy-pZxK,L1
tch_20200519-152222_8,58151101-2171-4153-905e-fa101f87f8bc,UrF3-gDBt,std_T842-jkW7_1707905522117_2,T842-jkW7,L1
tch_20200519-152222_10,1e84d4e0-54b7-4121-97cf-9773a21feec5,RAw4-7oZz,std_reDy-pZxK_1707905522454_1,reDy-pZxK,L1
tch_20200519-152222_9,9375b519-4c5a-4cb4-a005-ea68434dfa48,7x4x-NGr9,std_T842-jkW7_1707905526628_2,T842-jkW7,L1
tch_20200519-152222_11,2c2963a4-15c6-497c-acd8-d93401a4334a,N7NB-E4t7,std_reDy-pZxK_1707905527016_1,reDy-pZxK,L1
tch_20200519-152222_13,821ec1c3-73ce-4070-b47b-648530109c06,k47F-K3va,std_reDy-pZxK_1707905531143_1,reDy-pZxK,L1
tch_20200519-152222_12,8cf1cc20-2f2e-47c5-bda7-c19763494814,goXE-p92V,std_T842-jkW7_1707905531078_2,T842-jkW7,L1
tch_20200519-152222_14,107d40d3-af13-4017-9cd8-5df9d8884d37,MhEt-F7fe,std_reDy-pZxK_1707905535615_1,reDy-pZxK,L1
tch_20200519-152222_15,8c03d5c3-916c-452c-8306-2fbfc03d01f2,tihz-7taE,std_T842-jkW7_1707905535647_2,T842-jkW7,L1
tch_20200519-152222_16,f34ca1a6-8c13-48f2-9f15-9dc1c5012b63,ZRkR-Y7Qe,std_YR48-2sKc_1707905536407_3,YR48-2sKc,L1
tch_20200519-152222_17,ed6ae83c-d9c2-47f7-81bb-9ee386984987,Dao8-4tK7,std_reDy-pZxK_1707905539875_1,reDy-pZxK,L1
tch_20200519-152222_18,207497a6-681b-4f8e-bd52-e0e3ababc1a4,rsWB-yvJh,std_YR48-2sKc_1707905540643_3,YR48-2sKc,L1
tch_20200519-152222_20,db580e56-8dc0-41c6-acdf-28885979266d,DyXe-reto,std_T842-jkW7_1707905540250_2,T842-jkW7,L1
tch_20200519-152222_19,cc8eee2e-4e4c-4ffd-8275-432cd84cde2f,4TUh-6aLP,std_reDy-pZxK_1707905544088_1,reDy-pZxK,L1
tch_20200519-152222_21,73a8cc4d-c0f7-40a0-8f1b-d62bc62307ed,2VYN-WcCa,std_T842-jkW7_1707905544854_2,T842-jkW7,L1
tch_20200519-152222_22,1fa42df1-4e67-454c-b29c-2705d864f07c,4tGi-EFoV,std_YR48-2sKc_1707905544822_3,YR48-2sKc,L1
tch_20200519-152222_23,d1eecc58-92a4-4f44-bc5f-59a7b965c91d,Ar2W-7T93,std_reDy-pZxK_1707905548249_1,reDy-pZxK,L1
tch_20200519-152222_24,5d4a8a4d-2f33-4789-89e5-070e407979ad,WBdq-h9Nb,std_T842-jkW7_1707905549281_2,T842-jkW7,L1
tch_20200519-152222_25,038437cc-d4fe-4b63-9026-7842e18de361,gi9T-Zdbi,std_YR48-2sKc_1707905549353_3,YR48-2sKc,L1
tch_20200519-152222_26,0317456a-8b2b-49d0-823c-eb9f5c810343,X6V2-nM3u,std_reDy-pZxK_1707905552699_1,reDy-pZxK,L1
tch_20200519-152222_27,fb4e5139-7e90-4809-88ac-f46ccb21b734,6rcb-mg4f,std_YR48-2sKc_1707905553929_3,YR48-2sKc,L1
tch_20200519-152222_28,1965a032-b6ca-44e1-9036-d651f3c98399,3G7K-4v9T,std_Ek4h-R8Dz_1707905554207_4,Ek4h-R8Dz,L1
tch_20200519-152222_29,9d703427-34bf-474f-979c-d3ef3dac2ec9,4e8F-GpEb,std_T842-jkW7_1707905553857_2,T842-jkW7,L1
