category,noOfAssignmentsInClass,Count of 20LOs Assignment,Count of 30LOs Assignment,Count of 50LOs Assignment,noOfStudentsInClass
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L1,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L2,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L3,10,7,2,1,50
L4,15,8,3,4,50
L4,15,8,3,4,50
L4,15,8,3,4,50
L4,15,8,3,4,50
L4,15,8,3,4,50
L5,30,18,6,6,50
L5,30,18,6,6,50
L5,30,18,6,6,50
L5,30,18,6,6,50
L5,30,18,6,6,50
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
L6,10,7,2,1,100
M1,10,6,2,2,50
M1,10,6,2,2,50
M1,10,6,2,2,50
M1,10,6,2,2,50
M1,10,6,2,2,50
M2,10,6,2,2,50
M2,10,6,2,2,50
M2,10,6,2,2,50
M2,10,6,2,2,50
M2,10,6,2,2,50
M3,15,8,3,4,100
M3,15,8,3,4,100
M3,15,8,3,4,100
M3,15,8,3,4,100
M3,15,8,3,4,100
M4,30,16,6,8,50
M4,30,16,6,8,50
M4,30,16,6,8,50
M4,30,16,6,8,50
M4,30,16,6,8,50
H1,10,6,2,2,100
H1,10,6,2,2,100
H1,10,6,2,2,100
H1,10,6,2,2,100
H1,10,6,2,2,100
H2,15,8,3,4,50
H2,15,8,3,4,50
H2,15,8,3,4,50
H2,15,8,3,4,50
H2,15,8,3,4,50
H3,15,8,3,4,100
H3,15,8,3,4,100
H3,15,8,3,4,100
H3,15,8,3,4,100
H3,15,8,3,4,100
H4,30,16,6,8,100
H4,30,16,6,8,100
H4,30,16,6,8,100
H4,30,16,6,8,100
H4,30,16,6,8,100
,,,,,
