class Code,category
Tc2M-PKwi,StdCat2_M
72DP-awLr,StdCat2_M
mWnG-FvmQ,StdCat2_M
o64W-4Fj6,StdCat2_H1
rgvp-g9Ps,StdCat2_M
Yg3B-C9hw,StdCat2_H1
qmKv-R7U9,StdCat2_H1
6evm-869H,StdCat2_H2
4BmD-X7GT,StdCat2_H1
ipkp-rYiy,StdCat2_H2
24tL-ym4k,StdCat2_H2
Ti93-R8H2,StdCat2_H2
smzY-w3AY,StdCat3_M
9vWi-3tFn,StdCat3_M
sQCH-DqUc,StdCat3_M
EtdU-eH7d,StdCat3_H1
g6ym-K96r,StdCat3_M
R8iG-q9zw,StdCat3_H1
76je-6xpc,StdCat3_M
HCwb-r7w6,StdCat3_H1
8RE7-87mg,StdCat3_H2
4nTf-t7y6,StdCat3_M
49ky-84n7,StdCat3_M
tpwR-u3J8,StdCat3_H1
g97W-v3oQ,StdCat3_H2
RmUu-HJvp,StdCat3_M
p3Z9-636G,StdCat3_H1
Z9Ab-kD4R,StdCat3_M
aEwi-owsh,StdCat3_H2
DwJ9-Eroq,StdCat3_H1
Dv9U-Yg3R,StdCat3_M
KFCf-Dh62,StdCat3_H2
37j4-jiWf,StdCat3_H1
3QxQ-td4u,StdCat3_H1
oNwf-ELZJ,StdCat4_M
xJtE-LtWr,StdCat3_H2
NqEM-R3bP,StdCat3_H1
L89P-MCi3,StdCat4_M
28CU-D32q,StdCat3_H2
QFpu-Fq32,StdCat4_M
BGmo-pK6U,StdCat3_H1
9VA2-wR8e,StdCat4_H1
XGu9-n6sp,StdCat4_M
V86e-3f7e,StdCat3_H2
QXmU-8628,StdCat4_H1
yr46-vx68,StdCat4_M
b9W3-CerK,StdCat4_H1
zk9Q-7gMP,StdCat4_H2
9t3i-39Hw,StdCat3_H2
qZy4-gmsb,StdCat4_M
7Cve-CdRT,StdCat4_M
8m4A-6nHB,StdCat4_H1
ZQG8-kuc4,StdCat4_H2
hZe3-VxNP,StdCat3_H2
2s6P-pnui,StdCat4_M
MohB-PU3e,StdCat4_H1
aKGa-DKvK,StdCat4_M
BLUz-G8Nz,StdCat4_H2
26Qb-CGrF,StdCat3_H2
h84X-Vo2U,StdCat4_H1
N2C3-6hg7,StdCat4_M
m9x4-i8xm,StdCat4_H2
6ca4-AGtD,StdCat4_H1
k7dn-Deus,StdCat4_M
ikKN-LRk3,StdCat4_M
tE73-9269,StdCat4_H1
A8yT-k9G9,StdCat5_M
NrgU-JU97,StdCat4_H2
XmUd-GQEj,StdCat4_H1
tHdL-Vphi,StdCat5_M
nAzi-3jPT,StdCat4_H2
kLW8-j68w,StdCat5_M
2VJq-2jae,StdCat4_H1
dEW7-3jC7,StdCat5_H1
Psq6-vNk9,StdCat5_M
VtvB-4RKz,StdCat4_H1
2uGr-A7WY,StdCat5_H1
m7uM-2pW4,StdCat4_H2
JnQN-B47b,StdCat5_M
wnon-EcDJ,StdCat4_H1
vsw3-7K9T,StdCat5_H1
pGm4-87Zh,StdCat4_H2
P4w6-9u6N,StdCat5_H2
2m9d-iQ7i,StdCat5_M
mLcU-Mk9i,StdCat5_M
9w9j-7n7Q,StdCat5_H1
FugP-2dzp,StdCat5_H2
xVKb-tem4,StdCat5_M
H7bZ-Je7J,StdCat4_H2
3e7a-XnEo,StdCat5_H1
4W76-LxU6,StdCat5_M
HDfk-zQ97,StdCat5_H2
YGAP-g34s,StdCat4_H2
jhbL-iBL7,StdCat5_H1
u9oT-M6tJ,StdCat5_M
tRn7-K829,StdCat5_H2
t73Q-MHYe,StdCat5_H1
Wzio-9nL7,StdCat5_M
76mL-gd8s,StdCat4_H2
jpYw-3p6p,StdCat5_H1
2PKR-qAWV,StdCat5_M
t36f-7zit,StdCat5_M
2G4J-73W8,StdCat4_H2
9qCV-J24X,StdCat5_H2
yNvZ-F4b3,StdCat5_H1
wJ3A-C9xV,StdCat5_H2
TMU2-jGm4,StdCat5_M
a28E-c4Ba,StdCat5_H1
2x7u-sNfM,StdCat5_M
t3QP-VhVr,StdCat5_H1
38T9-z8A9,StdCat5_M
6P62-xjYb,StdCat5_H2
6i28-b7TE,StdCat5_H1
bxkK-RhTg,StdCat5_M
6q48-tXPe,StdCat5_H2
DrQq-BXhQ,StdCat5_H1
7d8C-dayc,StdCat5_M
L6r2-QPyp,StdCat5_M
Kosg-7wqY,StdCat5_H1
8eso-28hU,StdCat5_H2
Qr3q-z4rN,StdCat5_M
ntJ8-4yFJ,StdCat5_H1
YNYn-JqJ6,StdCat5_H2
8K8a-9tA2,StdCat5_H1
PQmx-u4YF,StdCat5_H2
9nY8-R64i,StdCat5_H1
2KAz-iuck,StdCat5_H2
W9xo-cr9d,StdCat5_H1
JZ3X-iLRx,StdCat5_H1
F3PZ-kKv6,StdCat5_H2
ghp9-azjr,StdCat5_H1
Z89r-XHZW,StdCat5_H2
34bZ-wr8C,StdCat5_H2
Y3W2-gU7i,StdCat5_H2
X3AN-D7d7,StdCat5_H2
62v9-gUty,StdCat5_H2
D946-4BYN,StdCat5_H2
wZ34-N2ou,StdCat2_M
uv7T-fX9X,StdCat2_M
N768-vRnU,StdCat2_M
6mqa-3g79,StdCat2_H1
ePw9-j4yL,StdCat2_M
d8ib-GjqU,StdCat2_H1
3xVG-oDLM,StdCat2_H1
8C32-92ME,StdCat2_H2
c3dA-3W3w,StdCat2_H1
FQJ8-gP83,StdCat2_H2
92vk-6fCJ,StdCat2_H2
bWfx-3jDU,StdCat2_H2
3cKN-3CT9,StdCat3_M
Td9h-x942,StdCat3_M
E4yC-LnMq,StdCat3_M
UfZC-wVMR,StdCat3_H1
3X8w-7Eeb,StdCat3_M
beGD-HKVX,StdCat3_H1
6PpY-s7GP,StdCat3_M
y6xU-B97i,StdCat3_H1
g9a9-ktW8,StdCat3_H2
A9ga-y69j,StdCat3_M
GrVY-4YF2,StdCat3_M
Jm69-CB72,StdCat3_H1
rMC8-RL8a,StdCat3_H2
rEdV-NFyq,StdCat3_M
p2Me-jn9b,StdCat3_H1
nLrq-DLkc,StdCat3_M
4wFA-CFub,StdCat3_H2
2CjC-6Jad,StdCat3_H1
WN4u-9NgN,StdCat3_M
H6ET-a9jz,StdCat3_H2
pNHc-6tuz,StdCat3_H1
7Q4X-4bG3,StdCat3_H1
jP64-jF6K,StdCat4_M
sWnf-yM9y,StdCat3_H2
Hg63-67wY,StdCat3_H1
iCVN-butP,StdCat4_M
ZdcJ-D6a3,StdCat3_H2
af78-X6WX,StdCat4_M
28dC-fmWa,StdCat3_H1
Lk8G-eCZn,StdCat4_H1
Zgd4-6CUu,StdCat4_M
gXMx-t8kX,StdCat4_H1
uZ8R-iy4W,StdCat4_M
e96b-Z34Q,StdCat3_H2
R7zp-Kz8K,StdCat4_H1
Xi7G-N6Hm,StdCat4_H2
K3F6-i4Dz,StdCat4_M
9Q8D-UY9f,StdCat3_H2
WLDC-3mGB,StdCat4_M
roBV-FfFu,StdCat4_H1
G2KJ-6tyu,StdCat4_H2
m96r-d9TG,StdCat4_M
gJy9-L3EZ,StdCat4_H1
Kvr4-3uvK,StdCat3_H2
6sxF-H3fT,StdCat4_M
46Tz-p4ZE,StdCat4_H2
KCVo-4NcA,StdCat4_H1
4d8i-7GJn,StdCat3_H2
gwtE-X86N,StdCat4_M
2qB2-G6QY,StdCat4_H2
VJHm-w9Zb,StdCat4_H1
pVHP-4DLm,StdCat4_M
69z8-crWV,StdCat4_H1
9Bw7-Lnji,StdCat4_M
oJ6X-8wo3,StdCat5_M
mbmU-BZ47,StdCat4_H2
jqi8-3V9f,StdCat4_H1
abiZ-K7TK,StdCat5_M
GkZ7-Tzxe,StdCat4_H2
tm9g-VX3p,StdCat5_M
crWV-bhHd,StdCat4_H1
6MYi-fg6q,StdCat5_H1
R9LZ-2FRH,StdCat5_M
8Y83-RCER,StdCat4_H1
a6Fi-WvcU,StdCat4_H2
f8X6-8m3B,StdCat5_H1
pyDF-8CcM,StdCat5_M
X8Zm-7CzM,StdCat4_H1
8W8a-4ur3,StdCat4_H2
B82b-odBR,StdCat5_H1
V4d3-Tw9R,StdCat5_H2
8Be2-KC4R,StdCat5_M
Kwhw-h64t,StdCat5_M
6eTw-7u26,StdCat5_H1
Eb7V-2ij7,StdCat5_H2
867H-E9t2,StdCat4_H2
q93z-76M6,StdCat5_M
siBm-84Un,StdCat5_H1
r6y3-MP7z,StdCat5_M
T62X-C726,StdCat4_H2
N48a-oPmN,StdCat5_H2
2Qn2-63dp,StdCat5_H1
qx34-8hXu,StdCat5_M
8E6b-sx8p,StdCat5_H2
TfLV-3yTg,StdCat5_M
K3J8-NZV3,StdCat5_H1
8vKj-rP63,StdCat4_H2
HR8M-7Gn8,StdCat5_H1
7ZG6-jeqV,StdCat5_M
v4ym-3dia,StdCat4_H2
hm39-hmwf,StdCat5_M
74vM-2rG9,StdCat5_H2
zoWV-j7A7,StdCat5_H1
M7h2-fa4i,StdCat5_H2
ty4u-U8fa,StdCat5_M
q24R-9F4N,StdCat5_H1
8pf9-XN4d,StdCat5_M
fquZ-tL7Q,StdCat5_H1
8J6u-Ng7M,StdCat5_H2
4qJ6-MPiR,StdCat5_M
EhMX-6xF4,StdCat5_M
9MC3-W9e4,StdCat5_H1
B4fD-FkYb,StdCat5_H2
xqHw-3km6,StdCat5_H1
vA3G-juW8,StdCat5_M
