category,classType,noOfStudentsInClass
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L3,normal,50
L3,normal,50
L3,normal,50
L3,normal,50
L3,normal,50
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
M1,normal,50
M1,normal,50
M1,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M3,normal,75
M3,normal,75
M3,normal,75
M3,normal,75
M3,normal,75
M3,normal,75
M4,normal,60
M4,normal,60
M4,normal,60
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
H1,normal,75
H1,normal,75
H2,normal,75
H3,normal,100
L1,normal,50
L1,normal,50
L1,normal,50
