studentextuserid,groupid,tchextuserid
std_1592912809816_11,a5fa146f-bd56-47e9-8a5f-6ec86a1de75c,tch_20200623-165526_11
std_1592912841840_12,2ca69887-6418-4cb5-85ac-0402660eed23,tch_20200623-165526_12
std_1592912858693_13,5f9aa3f3-2224-4024-a21a-9ea8a1562d2f,tch_20200623-165526_13
std_1592912889981_14,e707e462-9282-4026-b029-609f50313264,tch_20200623-165526_14
std_1592912912652_15,cf3484ea-e4a0-450b-aa2e-cf31df1c194e,tch_20200623-165526_15
std_1592912947942_16,bce34c3f-2b1a-46bd-a3cf-2af9030cb07e,tch_20200623-165526_16
std_1592912971223_18,2d9ed67a-dc27-4967-8887-18fda7b62399,tch_20200623-165526_18
std_1592913006319_17,ed76facf-00e8-4746-97e3-e5c3e11e5078,tch_20200623-165526_17
std_1592913024410_19,256d31ea-fdcb-46c4-a316-64cec20f4bd1,tch_20200623-165526_19
std_1592913057068_20,b268c0e0-d713-4b1e-be78-f46ecaeab6c2,tch_20200623-165526_20
