category,noOfAssignmentsInClass-1,noOfLOsInAssignment-1,noOfAssignmentsInClass-2,noOfLOsInAssignment-2,noOfAssignmentsInClass-3,noOfLOsInAssignment-3,noOfStudentsInClass
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B8PE,10,20,0,0,0,0,50
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B10PE,15,30,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
3B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,100
2B15PE,30,50,0,0,0,0,300
2B15PE,30,50,0,0,0,0,300
2B15PE,30,50,0,0,0,0,300
2B15PE,30,50,0,0,0,0,300
2B15PE,30,50,0,0,0,0,300
2B15PE,50,200,0,0,0,0,300
2B15PE,50,200,0,0,0,0,300
2B15PE,50,200,0,0,0,0,300
2B15PE,50,400,0,0,0,0,300
2B15PE,50,400,0,0,0,0,300
