teacher,classtitle,classcode
perf_prod_teacher_114315_300,perf_class_114315_300,3UbY-KiCb
perf_prod_teacher_114315_302,perf_class_114315_302,6gFa-A49B
perf_prod_teacher_114315_303,perf_class_114315_303,e8e6-VG78
perf_prod_teacher_114315_304,perf_class_114315_304,DdeH-gB3H
perf_prod_teacher_114315_305,perf_class_114315_305,7cKf-6Q7g
perf_prod_teacher_114315_306,perf_class_114315_306,e6Vd-3fg2
perf_prod_teacher_114315_307,perf_class_114315_307,K7jc-GfcD
perf_prod_teacher_114315_308,perf_class_114315_308,MdN3-e48f
perf_prod_teacher_114315_309,perf_class_114315_309,HT32-QU6U
perf_prod_teacher_114315_311,perf_class_114315_311,gjiC-Kjf4
perf_prod_teacher_114315_310,perf_class_114315_310,b9fG-ac6j
perf_prod_teacher_114315_312,perf_class_114315_312,6f3Q-46U7
perf_prod_teacher_114315_313,perf_class_114315_313,7aNb-7iec
perf_prod_teacher_114315_314,perf_class_114315_314,UbZj-N2Ef
perf_prod_teacher_114315_315,perf_class_114315_315,RgLa-G43e
perf_prod_teacher_114315_317,perf_class_114315_317,2B6c-2U43
perf_prod_teacher_114315_316,perf_class_114315_316,8bUV-HeHN
perf_prod_teacher_114315_318,perf_class_114315_318,edGP-NE98
perf_prod_teacher_114315_319,perf_class_114315_319,62dY-7ge8
perf_prod_teacher_114315_320,perf_class_114315_320,LA73-4gQV
perf_prod_teacher_114315_321,perf_class_114315_321,YfE9-CDd4
perf_prod_teacher_114315_322,perf_class_114315_322,BjdV-967G
perf_prod_teacher_114315_324,perf_class_114315_324,49Tb-h9G9
perf_prod_teacher_114315_323,perf_class_114315_323,iaCj-6iV8
perf_prod_teacher_114315_326,perf_class_114315_326,aQf2-3iWQ
perf_prod_teacher_114315_325,perf_class_114315_325,LAQE-gNPe
perf_prod_teacher_114315_327,perf_class_114315_327,bFNe-7ePa
perf_prod_teacher_114315_328,perf_class_114315_328,e2dJ-4Gj6
perf_prod_teacher_114315_329,perf_class_114315_329,7eVX-3j32
perf_prod_teacher_114315_330,perf_class_114315_330,jRjg-2T6a
perf_prod_teacher_114315_331,perf_class_114315_331,4Yj2-J8JP
perf_prod_teacher_114315_332,perf_class_114315_332,jXj3-8MTg
perf_prod_teacher_114315_333,perf_class_114315_333,dRCg-PAM8
perf_prod_teacher_114315_334,perf_class_114315_334,9bgj-CALf
perf_prod_teacher_114315_336,perf_class_114315_336,6Ki6-E24f
perf_prod_teacher_114315_335,perf_class_114315_335,3628-GcCB
perf_prod_teacher_114315_337,perf_class_114315_337,XY4c-9Fhf
perf_prod_teacher_114315_338,perf_class_114315_338,Gbgb-3eXA
perf_prod_teacher_114315_339,perf_class_114315_339,4fiJ-gbdQ
perf_prod_teacher_114315_340,perf_class_114315_340,7dZK-6AYP
perf_prod_teacher_114315_341,perf_class_114315_341,6Rce-U4dh
perf_prod_teacher_114315_342,perf_class_114315_342,aCR8-De43
perf_prod_teacher_114315_343,perf_class_114315_343,9aM3-f6Hi
perf_prod_teacher_114315_344,perf_class_114315_344,fbLh-eDZ8
perf_prod_teacher_114315_345,perf_class_114315_345,9479-848f
perf_prod_teacher_114315_347,perf_class_114315_347,fEa2-3Udh
perf_prod_teacher_114315_346,perf_class_114315_346,7jdE-f3B2
perf_prod_teacher_114315_349,perf_class_114315_349,A3FU-c26g
perf_prod_teacher_114315_348,perf_class_114315_348,3Efh-jG3i
perf_prod_teacher_114315_351,perf_class_114315_351,QgiQ-7bh6
perf_prod_teacher_114315_350,perf_class_114315_350,2L7g-TQWf
perf_prod_teacher_114315_352,perf_class_114315_352,Gc3a-dNaZ
perf_prod_teacher_114315_354,perf_class_114315_354,eK8Z-6Pjd
perf_prod_teacher_114315_353,perf_class_114315_353,edah-6ic7
perf_prod_teacher_114315_355,perf_class_114315_355,92Uh-b3U7
perf_prod_teacher_114315_356,perf_class_114315_356,iLdf-D9dV
perf_prod_teacher_114315_357,perf_class_114315_357,cDaR-bj8U
perf_prod_teacher_114315_359,perf_class_114315_359,8WRe-6iJh
perf_prod_teacher_114315_358,perf_class_114315_358,8dYb-hjTN
perf_prod_teacher_114315_360,perf_class_114315_360,72ej-L932
perf_prod_teacher_114315_361,perf_class_114315_361,dgaM-HA7h
perf_prod_teacher_114315_362,perf_class_114315_362,jV7i-69hD
perf_prod_teacher_114315_363,perf_class_114315_363,cVJi-7iR9
perf_prod_teacher_114315_364,perf_class_114315_364,b6d7-RjgU
perf_prod_teacher_114315_365,perf_class_114315_365,defE-Tgj7
perf_prod_teacher_114315_366,perf_class_114315_366,KC6M-6cGe
perf_prod_teacher_114315_367,perf_class_114315_367,Qe8M-cidA
perf_prod_teacher_114315_369,perf_class_114315_369,46eg-3DAd
perf_prod_teacher_114315_368,perf_class_114315_368,FNZR-aYae
perf_prod_teacher_114315_370,perf_class_114315_370,3fNA-gdeB
perf_prod_teacher_114315_371,perf_class_114315_371,YgD9-e3DT
perf_prod_teacher_114315_372,perf_class_114315_372,hfd4-hgdh
perf_prod_teacher_114315_373,perf_class_114315_373,Jabd-c8dg
perf_prod_teacher_114315_374,perf_class_114315_374,TeTa-946E
perf_prod_teacher_114315_375,perf_class_114315_375,2eRi-Qc6g
perf_prod_teacher_114315_376,perf_class_114315_376,8ehE-9XAK
perf_prod_teacher_114315_377,perf_class_114315_377,h624-egC4
perf_prod_teacher_114315_378,perf_class_114315_378,JBQd-a49d
perf_prod_teacher_114315_379,perf_class_114315_379,hbMP-697a
perf_prod_teacher_114315_380,perf_class_114315_380,Rc2K-gEc6
perf_prod_teacher_114315_381,perf_class_114315_381,FQ3D-9haT
perf_prod_teacher_114315_382,perf_class_114315_382,TCEF-DjDd
perf_prod_teacher_114315_383,perf_class_114315_383,b6E6-YJLM
perf_prod_teacher_114315_384,perf_class_114315_384,28KD-c8jc
perf_prod_teacher_114315_385,perf_class_114315_385,3Qdh-G2aF
perf_prod_teacher_114315_386,perf_class_114315_386,A9K4-6Xc8
perf_prod_teacher_114315_387,perf_class_114315_387,a3Jj-6ifc
perf_prod_teacher_114315_388,perf_class_114315_388,Eh6d-4aZa
perf_prod_teacher_114315_389,perf_class_114315_389,98Z9-edR2
perf_prod_teacher_114315_390,perf_class_114315_390,BKNG-d8F4
perf_prod_teacher_114315_391,perf_class_114315_391,24ga-Hf67
perf_prod_teacher_114315_393,perf_class_114315_393,Tci3-jN9L
perf_prod_teacher_114315_394,perf_class_114315_394,8bT8-7L9J
perf_prod_teacher_114315_392,perf_class_114315_392,egB9-g3HT
perf_prod_teacher_114315_395,perf_class_114315_395,7hg2-7YaF
perf_prod_teacher_114315_396,perf_class_114315_396,dR7H-abUf
perf_prod_teacher_114315_397,perf_class_114315_397,FW6a-W236
perf_prod_teacher_114315_399,perf_class_114315_399,d9W6-L4hA
perf_prod_teacher_114315_398,perf_class_114315_398,6bjh-9G4e
perf_prod_teacher_114315_401,perf_class_114315_401,Laha-eU3J
perf_prod_teacher_114315_400,perf_class_114315_400,Vfch-ghg3
perf_prod_teacher_114315_402,perf_class_114315_402,3j7h-7ZVe
perf_prod_teacher_114315_404,perf_class_114315_404,GadJ-9fbU
perf_prod_teacher_114315_403,perf_class_114315_403,h6Yh-8bJL
perf_prod_teacher_114315_405,perf_class_114315_405,hgX7-C9a6
perf_prod_teacher_114315_406,perf_class_114315_406,QiUB-bj3Y
perf_prod_teacher_114315_407,perf_class_114315_407,4H7d-cgR8
perf_prod_teacher_114315_410,perf_class_114315_410,gjdc-Pa6g
perf_prod_teacher_114315_408,perf_class_114315_408,Q4i3-jG72
perf_prod_teacher_114315_409,perf_class_114315_409,c2hi-4Ve6
perf_prod_teacher_114315_411,perf_class_114315_411,HQJ2-4NH2
perf_prod_teacher_114315_413,perf_class_114315_413,2Thc-aM3e
perf_prod_teacher_114315_412,perf_class_114315_412,4je4-cVUh
perf_prod_teacher_114315_415,perf_class_114315_415,6Wa3-bj42
perf_prod_teacher_114315_414,perf_class_114315_414,g4Ki-2ejP
perf_prod_teacher_114315_416,perf_class_114315_416,aeh8-UK4d
perf_prod_teacher_114315_417,perf_class_114315_417,d8Zj-43G7
perf_prod_teacher_114315_418,perf_class_114315_418,XQ4j-fedg
perf_prod_teacher_114315_419,perf_class_114315_419,ieah-6494
perf_prod_teacher_114315_420,perf_class_114315_420,939C-jgfj
perf_prod_teacher_114315_421,perf_class_114315_421,HZEN-27c6
