teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5,,,,,
tch_20200508-125647_1,class_20200508-125647_1,CUr9-G2R4,46a95d0d-29ef-4593-8548-dbe8c5bb8d97,750b7665-cee4-423e-9db4-721c2e0debc4,75217ad3-3a7d-41b2-ad50-a3a9848fdd04,77d6c6a0-6a66-45b8-84ab-2f8b438c181c,4eeed40b-4411-4439-a49f-80e3687b93d2,,,,,
tch_20200508-125647_2,class_20200508-125647_2,eNLn-AF4x,f2a936c6-3ae3-4d2b-87d8-e75c1cc528b8,b26aea7b-d9b9-4bf5-a29f-6a34eb6cf8d7,073d7eb3-cc1e-4203-88bb-661b239bb496,7acb78b4-28b3-4ced-8fe8-57cf8e8e6fe2,eab35dc5-8844-49f3-b25b-a2f5191b73f7,,,,,
tch_20200508-125647_3,class_20200508-125647_3,9DBs-27uq,d6521b2c-37b8-4fc7-b9dd-25492192808d,d0413e08-2c63-433e-89d0-91cb7516115b,620bd508-d726-4962-b9a5-7f1c82e47f59,05a2b8a4-bbd4-4b81-8b10-a2eb212fa6c5,b3e374df-8bb8-40a2-837f-4644919a080d,,,,,
tch_20200508-125647_5,class_20200508-125647_5,4We6-GahR,aaf90c0d-2e3a-4852-9feb-0d7ea03573b8,d4cc3f82-0736-4f4f-a071-6a0857766517,5fdaa7ce-47e6-49a1-a1fa-ce4e87d5c21b,cb78e8c8-764d-4b2e-9781-1f51ddfb22d6,29e5b39d-a161-486f-aa1e-ec8f3e0b32e7,,,,,
tch_20200508-125647_4,class_20200508-125647_4,AB3g-NDzm,8b9ae475-e359-4ab4-ab51-2a06d76f87e8,3aac0c1b-1dc3-40e3-8835-f42803751c4a,e8bdd989-7cfa-4d87-8ea4-4e0d09e230bc,7bc60c24-0bf4-47bc-8ef0-885abe826c19,4f487bb6-95d5-49c1-86d8-e6221acbd1c6,,,,,
tch_20200508-125647_6,class_20200508-125647_6,kisc-3t79,65bf2132-9291-4606-94ae-deeac7a493b5,6d1886ee-aecd-499f-bf88-65d85f8de3bb,dea1f31f-2353-4cb8-9daf-840d53db8792,ece46c2a-9a32-47af-9cd3-48eb5240912e,9c2d632a-b5ed-42b5-8631-2296fc937f8d,,,,,
tch_20200508-125647_7,class_20200508-125647_7,Q2sK-RYMQ,dd0bff85-13f0-474d-a705-426fb371e0a6,073217ca-dc5e-4f29-bf2c-6880433160d8,f6d97034-ac51-4c0f-9b93-801c40eba523,f7244aca-091a-4646-87dd-f963d21ed26a,f3e5f1b3-c0c8-4603-b687-e7f32007f04e,,,,,
tch_20200508-125647_8,class_20200508-125647_8,46YV-MV4z,42aa0a33-a9cd-41b3-b0af-7f705d0f288b,cf8b8835-df92-4810-8c1a-8ca941352821,98ab3f75-e45c-458e-9a8e-cb1a019d038f,33078a00-a4d8-4815-aa2a-8f93c4a67c70,a12d9a6c-8208-43a8-949c-3dd57a723d08,,,,,
tch_20200508-125647_9,class_20200508-125647_9,68cT-zcHy,99efb448-69dc-4a52-8740-596723ea5782,b6ac4584-f01a-444b-953d-3baa392ba498,ae656f05-bf4f-405d-9de4-01d00b7618fe,3f9a4757-b123-4cca-9281-5642c909739f,c107c26f-60e5-48c0-a252-3ac747558455,,,,,
tch_20200508-125647_10,class_20200508-125647_10,Cvgj-X8q4,72149dad-e82c-4273-8233-1e27426c3c2b,75681ee1-aa33-4a51-9a1b-cc4b92d34740,84016c8e-f83f-4335-9e6d-b8c2fedfce6d,5b46847b-0b84-483f-9012-340c9046745e,241b94ea-ca76-49e0-8697-eede33cd8a42,,,,,
