timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1692204710160,668,Get all the User Spaces,200,OK,Performance Test Data Setup 1-1,text,true,,1173,250,1,1,668,0,338
1692204710896,349,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-1,text,true,,855,308,2,2,349,0,0
1692204711246,314,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-1,text,true,,854,307,2,2,314,0,0
1692204711141,577,Get all the User Spaces,200,OK,Performance Test Data Setup 1-2,text,true,,1173,250,2,2,577,0,278
1692204711719,304,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-2,text,true,,855,308,2,2,304,0,0
1692204712023,312,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-2,text,true,,854,307,3,3,312,0,0
1692204711562,885,Get classes of an user,200,OK,Performance Test Data Setup 1-1,text,true,,29646,367,3,3,320,0,0
1692204712137,587,Get all the User Spaces,200,OK,Performance Test Data Setup 1-3,text,true,,1173,250,3,3,587,0,282
1692204712454,568,Get classes of an user,200,OK,Performance Test Data Setup 1-1,text,true,,473,366,3,3,568,0,280
1692204712726,347,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-3,text,true,,855,308,3,3,347,0,0
1692204712337,865,Get classes of an user,200,OK,Performance Test Data Setup 1-2,text,true,,29646,367,4,4,310,0,0
1692204713075,318,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-3,text,true,,854,307,4,4,318,0,0
1692204713137,589,Get all the User Spaces,200,OK,Performance Test Data Setup 1-4,text,true,,1173,250,4,4,589,0,282
1692204713205,556,Get classes of an user,200,OK,Performance Test Data Setup 1-2,text,true,,473,366,4,4,556,0,274
1692204713023,886,Get details for a specific class,200,OK,Performance Test Data Setup 1-1,text,true,,30061,308,4,4,325,0,0
1692204713727,298,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-4,text,true,,855,308,4,4,298,0,0
1692204713394,894,Get classes of an user,200,OK,Performance Test Data Setup 1-3,text,true,,29646,367,5,5,332,0,0
1692204714026,322,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-4,text,true,,854,307,5,5,322,0,0
1692204713762,864,Get details for a specific class,200,OK,Performance Test Data Setup 1-2,text,true,,30061,308,5,5,305,0,0
1692204714137,589,Get all the User Spaces,200,OK,Performance Test Data Setup 1-5,text,true,,1173,250,5,5,589,0,278
1692204714291,565,Get classes of an user,200,OK,Performance Test Data Setup 1-3,text,true,,473,366,5,5,565,0,281
1692204714727,296,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-5,text,true,,855,308,5,5,296,0,0
1692204714349,879,Get classes of an user,200,OK,Performance Test Data Setup 1-4,text,true,,29646,367,6,6,321,0,0
1692204715024,308,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-5,text,true,,854,307,6,6,308,0,0
1692204714857,872,Get details for a specific class,200,OK,Performance Test Data Setup 1-3,text,true,,30061,308,6,6,315,0,0
1692204715138,604,Get all the User Spaces,200,OK,Performance Test Data Setup 1-6,text,true,,1172,250,6,6,604,0,285
1692204715231,576,Get classes of an user,200,OK,Performance Test Data Setup 1-4,text,true,,473,366,6,6,576,0,286
1692204715744,304,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-6,text,true,,855,308,6,6,303,0,0
1692204715334,856,Get classes of an user,200,OK,Performance Test Data Setup 1-5,text,true,,29646,367,7,7,302,0,0
1692204715769,553,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,774,834,7,7,553,0,273
1692204716049,310,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-6,text,true,,854,307,7,7,310,0,0
1692204716323,283,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,777,837,7,7,283,0,0
1692204715808,890,Get details for a specific class,200,OK,Performance Test Data Setup 1-4,text,true,,30061,308,7,7,315,0,0
1692204716137,580,Get all the User Spaces,200,OK,Performance Test Data Setup 1-7,text,true,,1173,250,7,7,579,0,274
1692204716192,547,Get classes of an user,200,OK,Performance Test Data Setup 1-5,text,true,,473,366,7,7,547,0,273
1692204716607,279,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,775,835,7,7,279,0,0
1692204716336,571,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,774,834,7,7,571,0,282
1692204716718,304,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-7,text,true,,855,308,7,7,304,0,0
1692204716887,280,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,775,835,8,8,280,0,0
1692204716908,291,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,777,837,8,8,291,0,0
1692204716360,895,Get classes of an user,200,OK,Performance Test Data Setup 1-6,text,true,,29646,367,8,8,323,0,0
1692204717023,303,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-7,text,true,,854,307,8,8,303,0,0
1692204717168,282,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,774,834,8,8,282,0,0
1692204717201,290,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,775,835,8,8,290,0,0
1692204716740,851,Get details for a specific class,200,OK,Performance Test Data Setup 1-5,text,true,,30061,308,8,8,309,0,0
1692204717138,580,Get all the User Spaces,200,OK,Performance Test Data Setup 1-8,text,true,,1173,250,8,8,579,0,278
1692204717450,279,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,777,837,8,8,279,0,0
1692204717491,287,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,775,835,8,8,287,0,0
1692204717259,577,Get classes of an user,200,OK,Performance Test Data Setup 1-6,text,true,,472,366,8,8,577,0,286
1692204717719,297,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-8,text,true,,855,308,8,8,297,0,0
1692204717730,289,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,775,835,8,8,289,0,0
1692204717779,288,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,774,834,8,8,288,0,0
1692204717327,850,Get classes of an user,200,OK,Performance Test Data Setup 1-7,text,true,,29646,367,9,9,305,0,0
1692204718017,300,Get an access token for an external user shared,200,OK,Performance Test Data Setup 1-8,text,true,,854,307,9,9,300,0,0
1692204718068,289,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,777,837,9,9,289,0,0
1692204718020,554,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,775,835,9,9,554,0,274
1692204718104,544,Add statements,200,OK,Performance Test Data Setup 1-3,text,true,,774,834,9,9,544,0,268
1692204718138,584,Get all the User Spaces,200,OK,Performance Test Data Setup 1-9,text,true,,1173,250,9,9,584,0,281
1692204718180,561,Get classes of an user,200,OK,Performance Test Data Setup 1-7,text,true,,473,366,9,9,561,0,278
1692204717837,921,Get details for a specific class,200,OK,Performance Test Data Setup 1-6,text,true,,30061,308,9,9,348,0,0
1692204718575,285,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,774,834,9,9,285,0,0
1692204718357,562,Add statements,200,OK,Performance Test Data Setup 1-2,text,true,,775,835,9,9,562,0,276
1692204718649,274,Add statements,200,OK,Performance Test Data Setup 1-3,text,true,,777,837,9,9,274,0,0
1692204718724,309,Get an access token for an external user institution,200,OK,Performance Test Data Setup 1-9,text,true,,855,308,9,9,309,0,0
1692204718861,282,Add statements,200,OK,Performance Test Data Setup 1-1,text,true,,777,837,9,9,282,0,0
