tchextid,classcode
tch_20200716-113153_1,gpBD-P7aC
tch_20200716-113153_2,aMxT-iPDo
tch_20200716-113153_3,247L-8r94
tch_20200716-113153_4,pFhJ-82KC
tch_20200716-113153_5,sy9o-UbyT
tch_20200716-113153_6,k976-hkr9
tch_20200716-113153_7,p64k-2Cxk
tch_20200716-113153_8,2gyP-x28C
tch_20200716-113153_9,G38M-kU2h
tch_20200716-113153_10,AnHL-7Mha
tch_20200716-113153_11,re4V-D9kj
tch_20200716-113153_12,ctzo-xQ7T
tch_20200716-113153_13,yXE7-qawr
tch_20200716-113153_14,xos6-c69w
tch_20200716-113153_15,cT7k-6Jo3
tch_20200716-113153_16,2inu-bAxn
tch_20200716-113153_17,p7Tb-Jfcj
tch_20200716-113153_18,7mrZ-9p2a
tch_20200716-113153_19,gL26-N42e
tch_20200716-113153_20,C4DN-7ZfB
tch_20200716-113153_21,hEeT-rVGW
tch_20200716-113153_22,7MdW-Rb7f
tch_20200716-113153_23,B7Pa-g3nG
tch_20200716-113153_24,dtzp-8Ckv
tch_20200716-113153_25,r2cy-DkzP
tch_20200716-113153_26,T3ei-KMTR
tch_20200716-113153_27,9Jb8-J7pv
tch_20200716-113153_28,43u9-eBt2
tch_20200716-113153_29,987C-D2XK
tch_20200716-113153_30,F6o7-KMf7
tch_20200716-113153_31,8Pnr-4x8P
tch_20200716-113153_32,zd3y-63Ma
tch_20200716-113153_33,2GV7-YeEk
tch_20200716-113153_34,Af8i-3qvg
tch_20200716-113153_35,8AWE-9oQq
