student,classcode
perf_prod_std_02461,QAQd-HDbK
perf_prod_std_02462,7Cfe-YTai
perf_prod_std_02463,RhiT-hKbA
perf_prod_std_02464,CJf3-fZgb
perf_prod_std_02465,GfQV-A6bi
perf_prod_std_02466,gj6F-6f6P
perf_prod_std_02467,YQcJ-24b8
perf_prod_std_02468,LBiM-4B7a
perf_prod_std_02469,ZhPg-fBiL
perf_prod_std_02470,9GL8-7Xj4
perf_prod_std_02471,WTQ9-ceE3
perf_prod_std_02472,2QFL-jFR4
perf_prod_std_02473,bPdW-HgUd
perf_prod_std_02474,Gf7L-Nbfh
perf_prod_std_02475,B3TK-Pgfe
perf_prod_std_02476,GbHd-FgEd
perf_prod_std_02477,JUgQ-8f8M
perf_prod_std_02478,ec82-Xbig
perf_prod_std_02479,474d-939b
perf_prod_std_02480,2G3G-4Tcg
perf_prod_std_02481,4Lif-JhEf
perf_prod_std_02482,d7Tc-Bebh
perf_prod_std_02483,fiJE-V4a3
perf_prod_std_02484,VPDA-Y7N3
perf_prod_std_02485,Z9aH-haX6
perf_prod_std_02486,Lbhg-VaNd
perf_prod_std_02487,28FG-XD9a
perf_prod_std_02488,T6ch-28aH
perf_prod_std_02489,7dEK-NYeW
perf_prod_std_02490,PiBj-Ae3d
perf_prod_std_02491,Njb4-aRg6
perf_prod_std_02492,AKba-J72L
perf_prod_std_02493,jfGN-C2H9
perf_prod_std_02494,7d29-2ga9
perf_prod_std_02495,gAeT-9BgT
perf_prod_std_02496,cDc9-Xh2i
perf_prod_std_02497,3i3f-A2Ji
perf_prod_std_02498,h6f4-9Ki6
perf_prod_std_02499,DiMK-2dJZ
perf_prod_std_02500,2dCb-Xj3K
perf_prod_std_02501,X72Y-3X3N
perf_prod_std_02502,UZ64-94ae
perf_prod_std_02503,NhfQ-j9hB
perf_prod_std_02504,jiPa-UZfJ
perf_prod_std_02505,4deh-WRc6
perf_prod_std_02506,P7bi-HJbH
perf_prod_std_02507,8G4e-dh8V
perf_prod_std_02508,f3Fi-QiR3
perf_prod_std_02509,bhiR-g83K
perf_prod_std_02510,Z8ML-fF73
perf_prod_std_02511,7hj3-VFBd
perf_prod_std_02512,jaEY-aTcH
perf_prod_std_02513,idXi-9jac
perf_prod_std_02514,PJjd-Uaeg
perf_prod_std_02515,dcah-jBN8
perf_prod_std_02516,cij6-FfKe
perf_prod_std_02517,6g68-gjC4
perf_prod_std_02518,VAEg-6X9Q
perf_prod_std_02519,TeEg-N4Cb
perf_prod_std_02520,TNWR-4aeR
perf_prod_std_02521,gceF-d32h
perf_prod_std_02522,7C3e-b67A
perf_prod_std_02523,8a4H-iMHN
perf_prod_std_02524,VZ7c-fAG8
perf_prod_std_02525,baD2-BbR8
perf_prod_std_02526,Vd72-dT92
perf_prod_std_02527,4Did-7YfB
perf_prod_std_02528,FcV7-3X7g
perf_prod_std_02529,L8H7-bhG6
perf_prod_std_02530,cWj7-di4K
perf_prod_std_02531,4N9b-Ng69
perf_prod_std_02532,7D6e-gZbF
perf_prod_std_02533,gbF8-VUf4
perf_prod_std_02534,98Q3-Hi3i
perf_prod_std_02535,64F4-iTHf
perf_prod_std_02536,ajGH-Mef8
perf_prod_std_02537,VBFH-BfLK
perf_prod_std_02538,ea4c-9aPC
perf_prod_std_02539,eYCb-hDf7
perf_prod_std_02540,bBEf-2AKV
perf_prod_std_02541,Pf2e-7chJ
perf_prod_std_02542,CcM9-jBcd
perf_prod_std_02543,i63f-H3ZQ
perf_prod_std_02544,YEd3-hU6g
perf_prod_std_02545,edEc-feH8
perf_prod_std_02546,ciQC-j9TG
perf_prod_std_02547,GWZd-gZ28
perf_prod_std_02548,6gAQ-Kfda
perf_prod_std_02549,hTgj-YMUd
perf_prod_std_02550,WFQF-bXaK
perf_prod_std_02551,YaWa-cYDh
perf_prod_std_02552,dcP8-7M7M
perf_prod_std_02553,27gX-E4Yd
