category,classType,noOfStudentsInClass
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
M1,normal,50
M1,normal,50
M1,normal,50
M1,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M4,normal,50
M4,normal,50
M4,normal,50
M4,normal,50
M4,normal,50
H2,normal,50
H3,normal,75
H4,normal,75
