category,classType,noOfStudentsInClass
H5,normal,150
H7,normal,150
H1,normal,75
H1,normal,75
H2,normal,75
H3,normal,100
H4,normal,100
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,normal,50
L1,context,50
L1,context,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,normal,50
L2,context,50
L3,normal,50
L3,normal,50
L3,normal,50
L3,normal,50
L3,context,50
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,normal,20
L7,context,20
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,normal,30
L8,context,30
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,normal,40
L9,context,40
M1,normal,50
M1,normal,50
M1,normal,50
M2,normal,50
M2,normal,50
M2,normal,50
M2,context,50
M3,normal,75
M3,normal,75
M3,normal,75
M3,normal,75
M3,normal,75
M3,context,75
M4,normal,60
M4,normal,60
M4,normal,60
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,normal,80
M5,context,80
