stdCat,classType,Category,noOfAssignmentsInClass,Count of 20LOs Assignment,Count of 30LOs Assignment,Count of 50LOs Assignment,noOfStudentsInClass,noOfLockRulesInClass,50LOsLockRuleCount,100LOsLockRuleCount,150LOsLockRuleCount,customGradingCount
StdCat2,normal,L,10,70,20,10,50,25,100,0,0,5
StdCat2,normal,M,10,60,20,20,75,25,20,80,0,5
StdCat2,normal,H1,10,60,20,20,100,25,68,20,12,5
StdCat2,normal,H2,10,60,20,20,150,25,68,20,12,5
StdCat3,normal,L,10,70,20,10,50,25,100,0,0,5
StdCat3,normal,M,10,60,20,20,75,25,20,80,0,5
StdCat3,normal,H1,10,60,20,20,100,25,68,20,12,5
StdCat3,normal,H2,10,60,20,20,150,25,68,20,12,5
StdCat4,normal,L,10,70,20,10,50,25,100,0,0,5
StdCat4,normal,M,10,60,20,20,75,25,20,80,0,5
StdCat4,normal,H1,10,60,20,20,100,25,68,20,12,5
StdCat4,normal,H2,10,60,20,20,150,25,68,20,12,5
StdCat5,normal,L,10,70,20,10,50,25,100,0,0,5
StdCat5,normal,M,10,60,20,20,75,25,20,80,0,5
StdCat5,normal,H1,10,60,20,20,100,25,68,20,12,5
StdCat5,normal,H2,10,60,20,20,150,25,68,20,12,5
