student,classcode
perf_prod_std_01711,7hj3-VFBd
perf_prod_std_01712,jaEY-aTcH
perf_prod_std_01713,idXi-9jac
perf_prod_std_01714,PJjd-Uaeg
perf_prod_std_01715,dcah-jBN8
perf_prod_std_01716,cij6-FfKe
perf_prod_std_01717,6g68-gjC4
perf_prod_std_01718,VAEg-6X9Q
perf_prod_std_01719,TeEg-N4Cb
perf_prod_std_01720,TNWR-4aeR
perf_prod_std_01721,gceF-d32h
perf_prod_std_01722,7C3e-b67A
perf_prod_std_01723,8a4H-iMHN
perf_prod_std_01724,VZ7c-fAG8
perf_prod_std_01725,baD2-BbR8
perf_prod_std_01726,Vd72-dT92
perf_prod_std_01727,4Did-7YfB
perf_prod_std_01728,FcV7-3X7g
perf_prod_std_01729,L8H7-bhG6
perf_prod_std_01730,cWj7-di4K
perf_prod_std_01731,4N9b-Ng69
perf_prod_std_01732,7D6e-gZbF
perf_prod_std_01733,gbF8-VUf4
perf_prod_std_01734,98Q3-Hi3i
perf_prod_std_01735,64F4-iTHf
perf_prod_std_01736,ajGH-Mef8
perf_prod_std_01737,VBFH-BfLK
perf_prod_std_01738,ea4c-9aPC
perf_prod_std_01739,eYCb-hDf7
perf_prod_std_01740,bBEf-2AKV
perf_prod_std_01741,Pf2e-7chJ
perf_prod_std_01742,CcM9-jBcd
perf_prod_std_01743,i63f-H3ZQ
perf_prod_std_01744,YEd3-hU6g
perf_prod_std_01745,edEc-feH8
perf_prod_std_01746,ciQC-j9TG
perf_prod_std_01747,GWZd-gZ28
perf_prod_std_01748,6gAQ-Kfda
perf_prod_std_01749,hTgj-YMUd
perf_prod_std_01750,WFQF-bXaK
perf_prod_std_01751,YaWa-cYDh
perf_prod_std_01752,dcP8-7M7M
perf_prod_std_01753,27gX-E4Yd
perf_prod_std_01754,Md9i-GYgB
perf_prod_std_01755,c8Ch-6WdR
perf_prod_std_01756,DRjL-7hae
perf_prod_std_01757,P6ZX-8Mih
perf_prod_std_01758,WC9X-be3X
perf_prod_std_01759,i4i6-Q6iE
perf_prod_std_01760,3JWf-Eg8X
perf_prod_std_01761,GLgi-8Ub8
perf_prod_std_01762,6Ai4-a4jM
perf_prod_std_01763,E6f7-3H3f
perf_prod_std_01764,VbfN-g29T
perf_prod_std_01765,fife-aNaE
perf_prod_std_01766,4hg8-if9V
perf_prod_std_01767,3fT3-KL9D
perf_prod_std_01768,UjhG-W2Q2
perf_prod_std_01769,dJ9i-d7WZ
perf_prod_std_01770,9aeE-9ZQd
perf_prod_std_01771,dhfg-Gfbe
perf_prod_std_01772,7jhE-L3c8
perf_prod_std_01773,4b6J-83bg
perf_prod_std_01774,4Kd7-edY6
perf_prod_std_01775,GjXN-TacP
perf_prod_std_01776,632b-92fU
perf_prod_std_01777,chgi-23cP
perf_prod_std_01778,Nj6j-iXC4
perf_prod_std_01779,bjQT-cgWe
perf_prod_std_01780,Ej4f-JK6T
perf_prod_std_01781,386j-eaUh
perf_prod_std_01782,gPg8-DbWE
perf_prod_std_01783,YZKT-d8c4
perf_prod_std_01784,3LH3-7hf8
perf_prod_std_01785,fD2g-Ac39
perf_prod_std_01786,KiKB-3Ecg
perf_prod_std_01787,4aRX-gBZ3
perf_prod_std_01788,CV98-49Nb
perf_prod_std_01789,9c26-3AQ6
perf_prod_std_01790,87eJ-Fgag
perf_prod_std_01791,G4jU-ifYd
perf_prod_std_01792,iMg2-7262
perf_prod_std_01793,D4d3-4g2X
perf_prod_std_01794,9CLQ-JQBc
perf_prod_std_01795,7bT4-PabQ
perf_prod_std_01796,ca3W-jcib
perf_prod_std_01797,j9cb-GcZi
perf_prod_std_01798,2iLE-7cDd
perf_prod_std_01799,92F2-7aCA
perf_prod_std_01800,7bBL-Thcd
perf_prod_std_01801,V6g6-iLbc
perf_prod_std_01802,e27c-e6Ve
perf_prod_std_01803,9dhf-68Y7
perf_prod_std_01804,J6e2-b29C
perf_prod_std_01805,hEh7-gi4L
perf_prod_std_01806,Q3e3-jeRf
perf_prod_std_01807,7623-f8N3
perf_prod_std_01808,a43P-DeDj
perf_prod_std_01809,NjLb-cAfh
perf_prod_std_01810,eQiH-6j93
perf_prod_std_01811,bM2c-iMgB
perf_prod_std_01812,dQTG-i97U
perf_prod_std_01813,PcV8-h3fW
perf_prod_std_01814,A3gG-jaXK
perf_prod_std_01815,EH2b-GiHF
perf_prod_std_01816,J2c3-4ANE
perf_prod_std_01817,PFeG-7cLb
perf_prod_std_01818,aKc6-9V2H
perf_prod_std_01819,fGg3-6H6h
perf_prod_std_01820,dM7W-T6Ja
perf_prod_std_01821,Qd28-V7gU
perf_prod_std_01822,6e3N-bHeA
perf_prod_std_01823,jX2Y-L2Pf
perf_prod_std_01824,QC7D-QV7g
perf_prod_std_01825,Teg7-K6Bg
perf_prod_std_01826,BbM3-WJbU
perf_prod_std_01827,2F3J-PdLi
perf_prod_std_01828,QYbh-ZcNd
perf_prod_std_01829,KFPa-HWLg
perf_prod_std_01830,72Da-N68g
perf_prod_std_01831,JdVR-gaBF
perf_prod_std_01832,4be3-7TR9
perf_prod_std_01833,hYP7-aBFY
perf_prod_std_01834,fU3d-eVcA
perf_prod_std_01835,d87j-9h4b
perf_prod_std_01836,6Df2-729U
perf_prod_std_01837,3R7D-4gB3
perf_prod_std_01838,hWf3-d3fH
perf_prod_std_01839,eEKd-H98c
perf_prod_std_01840,gbGH-XF3L
perf_prod_std_01841,4d8R-eHAe
perf_prod_std_01842,gW7g-MGac
perf_prod_std_01843,XRch-jH3i
perf_prod_std_01844,i6AE-HZ73
perf_prod_std_01845,hBa7-TCaj
perf_prod_std_01846,UHd4-E2Wi
perf_prod_std_01847,dFa9-K7N9
perf_prod_std_01848,fHdi-he92
perf_prod_std_01849,9cBA-fcVg
perf_prod_std_01850,2X8U-A83a
perf_prod_std_01851,iN9Q-gaPQ
perf_prod_std_01852,H7ag-bY96
perf_prod_std_01853,a8jM-236C
perf_prod_std_01854,igTN-6Nd8
perf_prod_std_01855,4EgP-ec9B
perf_prod_std_01856,2cUH-4J3D
perf_prod_std_01857,HgQU-hGDV
perf_prod_std_01858,gTc2-3Z82
perf_prod_std_01859,NZEW-f7iG
perf_prod_std_01860,K2d2-feKi
perf_prod_std_01861,jPeb-3c87
