tchextuserid,class Title,class Code,category
tch_20230830-172453_1,class_20230830-172453_1,M4TJ-f3oe,2B15PE
tch_20230830-172453_6,class_20230830-172453_6,3tU9-Jjr2,3B15PE
tch_20230830-172453_3,class_20230830-172453_3,P4jz-7HU8,2B15PE
tch_20230830-172453_2,class_20230830-172453_2,6fjp-2Htf,2B15PE
tch_20230830-172453_4,class_20230830-172453_4,mVuV-k9Wn,2B15PE
tch_20230830-172453_5,class_20230830-172453_5,YnBK-HDrW,2B15PE
tch_20230830-172453_9,class_20230830-172453_9,i7Zm-xk2K,3B15PE
tch_20230830-172453_8,class_20230830-172453_8,2soN-2d3P,3B15PE
tch_20230830-172453_7,class_20230830-172453_7,ZpKH-6qkT,3B15PE
tch_20230830-172453_10,class_20230830-172453_10,626h-83FJ,3B15PE
tch_20230830-172453_12,class_20230830-172453_12,7Uzw-4eWN,3B15PE
tch_20230830-172453_11,class_20230830-172453_11,qe8G-2ZJn,3B15PE
tch_20230830-172453_13,class_20230830-172453_13,c9pt-Br2r,3B15PE
tch_20230830-172453_15,class_20230830-172453_15,f746-UWsb,3B15PE
tch_20230830-172453_18,class_20230830-172453_18,h2FC-KgRt,2B15PE
tch_20230830-172453_14,class_20230830-172453_14,WL3Z-CaPu,3B15PE
tch_20230830-172453_16,class_20230830-172453_16,4ndM-6KeU,2B15PE
tch_20230830-172453_24,class_20230830-172453_24,uJ9G-Z6T2,2B15PE
tch_20230830-172453_19,class_20230830-172453_19,7Mgj-vi4q,2B15PE
tch_20230830-172453_17,class_20230830-172453_17,Fwuk-Z6dB,2B15PE
tch_20230830-172453_21,class_20230830-172453_21,6VJ8-czY2,2B15PE
tch_20230830-172453_20,class_20230830-172453_20,8rWx-EU7X,2B15PE
tch_20230830-172453_22,class_20230830-172453_22,h7Q8-E9Zq,2B15PE
tch_20230830-172453_26,class_20230830-172453_26,8Hm2-wrmR,2B15PE
tch_20230830-172453_23,class_20230830-172453_23,Z23v-u7b4,2B15PE
tch_20230830-172453_30,class_20230830-172453_30,n4WH-x7Ks,2B15PE
tch_20230830-172453_27,class_20230830-172453_27,9x7p-iPa9,2B15PE
tch_20230830-172453_25,class_20230830-172453_25,bxkT-LZoJ,2B15PE
tch_20230830-172453_28,class_20230830-172453_28,p6c6-R3sg,2B15PE
tch_20230830-172453_29,class_20230830-172453_29,3rNe-6cHM,2B15PE
tch_20230830-172453_32,class_20230830-172453_32,Zwoc-TBbe,3B10PE
tch_20230830-172453_31,class_20230830-172453_31,fP23-2UYo,3B10PE
tch_20230830-172453_34,class_20230830-172453_34,G9Qm-L7vw,3B10PE
tch_20230830-172453_33,class_20230830-172453_33,6NQ7-FiJq,3B10PE
tch_20230830-172453_35,class_20230830-172453_35,7WGe-BV3L,3B10PE
tch_20230830-172453_36,class_20230830-172453_36,NCs8-ja3y,3B10PE
tch_20230830-172453_37,class_20230830-172453_37,3n3b-4nM4,3B10PE
tch_20230830-172453_38,class_20230830-172453_38,qYE2-TaYT,3B10PE
tch_20230830-172453_39,class_20230830-172453_39,6nUB-373i,3B10PE
tch_20230830-172453_40,class_20230830-172453_40,M7cU-v6pA,3B10PE
tch_20230830-172453_42,class_20230830-172453_42,aBp2-avyX,3B8PE
tch_20230830-172453_41,class_20230830-172453_41,FnRT-ZvxU,3B8PE
tch_20230830-172453_43,class_20230830-172453_43,Hba2-7RF7,3B8PE
tch_20230830-172453_45,class_20230830-172453_45,wH87-hTWH,3B8PE
tch_20230830-172453_47,class_20230830-172453_47,Q7w6-s7QR,3B8PE
tch_20230830-172453_44,class_20230830-172453_44,hYqL-mGK2,3B8PE
tch_20230830-172453_49,class_20230830-172453_49,bgFC-ArL2,3B8PE
tch_20230830-172453_46,class_20230830-172453_46,pG2H-Wg29,3B8PE
tch_20230830-172453_48,class_20230830-172453_48,ZK8c-Unwi,3B8PE
tch_20230830-172453_50,class_20230830-172453_50,F68E-U6jv,3B8PE
tch_20230830-172453_51,class_20230830-172453_51,8TqH-P93c,3B8PE
tch_20230830-172453_53,class_20230830-172453_53,WaKU-q64d,3B8PE
tch_20230830-172453_52,class_20230830-172453_52,gfvi-Ws9V,3B8PE
tch_20230830-172453_57,class_20230830-172453_57,brG8-b4g4,3B8PE
tch_20230830-172453_54,class_20230830-172453_54,qxGi-3fa6,3B8PE
tch_20230830-172453_59,class_20230830-172453_59,8E6p-bkvm,3B8PE
tch_20230830-172453_60,class_20230830-172453_60,VLND-UE2F,3B8PE
tch_20230830-172453_56,class_20230830-172453_56,8rZ7-Mtrx,3B8PE
tch_20230830-172453_55,class_20230830-172453_55,Lc3H-tHck,3B8PE
tch_20230830-172453_58,class_20230830-172453_58,92Mo-PsQ7,3B8PE
tch_20230830-172453_61,class_20230830-172453_61,2qyw-KWdz,3B8PE
tch_20230830-172453_63,class_20230830-172453_63,BCVd-io7C,3B8PE
tch_20230830-172453_65,class_20230830-172453_65,PN4K-4Zxd,3B8PE
tch_20230830-172453_67,class_20230830-172453_67,T9tj-cCBZ,3B8PE
tch_20230830-172453_62,class_20230830-172453_62,JNFB-6ukY,3B8PE
tch_20230830-172453_68,class_20230830-172453_68,QZMs-UJEA,3B8PE
tch_20230830-172453_66,class_20230830-172453_66,eCv2-FQeE,3B8PE
tch_20230830-172453_64,class_20230830-172453_64,wdQw-Th6z,3B8PE
tch_20230830-172453_70,class_20230830-172453_70,g79z-uqkG,3B8PE
tch_20230830-172453_69,class_20230830-172453_69,D4T2-kqUh,3B8PE
tch_20230830-172453_71,class_20230830-172453_71,Rges-QEGA,3B8PE
tch_20230830-172453_75,class_20230830-172453_75,k6a4-2kNc,3B8PE
tch_20230830-172453_73,class_20230830-172453_73,8iY4-NaBT,3B8PE
tch_20230830-172453_77,class_20230830-172453_77,g3Ra-h4JD,3B8PE
tch_20230830-172453_74,class_20230830-172453_74,FC3q-ipB6,3B8PE
tch_20230830-172453_72,class_20230830-172453_72,e6zQ-3Vb4,3B8PE
tch_20230830-172453_76,class_20230830-172453_76,8c42-T8gY,3B8PE
tch_20230830-172453_81,class_20230830-172453_81,VZ3V-FUCu,3B8PE
tch_20230830-172453_79,class_20230830-172453_79,kua3-rKu9,3B8PE
tch_20230830-172453_78,class_20230830-172453_78,is28-sc8F,3B8PE
tch_20230830-172453_80,class_20230830-172453_80,Cfpt-Rr8P,3B8PE
tch_20230830-172453_82,class_20230830-172453_82,2t3p-7pwB,3B8PE
tch_20230830-172453_83,class_20230830-172453_83,obqE-6nbm,3B8PE
tch_20230830-172453_86,class_20230830-172453_86,LP2W-VdMj,3B8PE
tch_20230830-172453_84,class_20230830-172453_84,kTZD-fc96,3B8PE
tch_20230830-172453_85,class_20230830-172453_85,6yxv-dTK9,3B8PE
tch_20230830-172453_88,class_20230830-172453_88,RWM7-ye2i,3B8PE
tch_20230830-172453_87,class_20230830-172453_87,3P8W-DoK3,3B8PE
tch_20230830-172453_89,class_20230830-172453_89,3cGd-9E93,3B8PE
tch_20230830-172453_90,class_20230830-172453_90,Vt63-aP3K,3B8PE
tch_20230830-172453_91,class_20230830-172453_91,gEjV-Qk8q,3B8PE
tch_20230830-172453_93,class_20230830-172453_93,pm9Q-UT4P,3B8PE
tch_20230830-172453_92,class_20230830-172453_92,7b4m-X3gp,3B8PE
tch_20230830-172453_96,class_20230830-172453_96,4Yek-4oE3,3B8PE
tch_20230830-172453_95,class_20230830-172453_95,WXb3-QV36,3B8PE
tch_20230830-172453_94,class_20230830-172453_94,ekUw-Dx9R,3B8PE
tch_20230830-172453_97,class_20230830-172453_97,9jmx-3BTa,3B8PE
tch_20230830-172453_98,class_20230830-172453_98,pX8W-pWNa,3B8PE
tch_20230830-172453_99,class_20230830-172453_99,86i4-9Nuy,3B8PE
tch_20230830-172453_100,class_20230830-172453_100,9p9j-d46L,3B8PE
tch_20230830-172453_102,class_20230830-172453_102,tVm4-rvxR,2B15PE
tch_20230830-172453_101,class_20230830-172453_101,Rrga-iYwH,2B15PE
tch_20230830-172453_104,class_20230830-172453_104,DeiK-PsEB,2B15PE
tch_20230830-172453_105,class_20230830-172453_105,KwpY-GWo6,2B15PE
tch_20230830-172453_103,class_20230830-172453_103,9c4E-gr4b,2B15PE
tch_20230830-172453_106,class_20230830-172453_106,Q9C9-KUCA,3B15PE
tch_20230830-172453_108,class_20230830-172453_108,E36x-Eg7D,3B15PE
tch_20230830-172453_109,class_20230830-172453_109,z3eg-W7XY,3B15PE
tch_20230830-172453_107,class_20230830-172453_107,PzX4-24m6,3B15PE
tch_20230830-172453_112,class_20230830-172453_112,UA8o-3o7V,3B15PE
tch_20230830-172453_113,class_20230830-172453_113,Jiu4-t7d2,3B15PE
tch_20230830-172453_110,class_20230830-172453_110,vPf4-KR7a,3B15PE
tch_20230830-172453_111,class_20230830-172453_111,4YvW-r3nH,3B15PE
tch_20230830-172453_114,class_20230830-172453_114,t679-4d28,3B15PE
tch_20230830-172453_115,class_20230830-172453_115,BV7A-cCnQ,3B15PE
tch_20230830-172453_117,class_20230830-172453_117,Jhkv-jyga,2B15PE
tch_20230830-172453_116,class_20230830-172453_116,GLaQ-TE63,2B15PE
tch_20230830-172453_118,class_20230830-172453_118,uyc2-z6rD,2B15PE
tch_20230830-172453_119,class_20230830-172453_119,QFby-mw7Q,2B15PE
tch_20230830-172453_120,class_20230830-172453_120,e2sJ-h97z,2B15PE
tch_20230830-172453_122,class_20230830-172453_122,krYa-748R,2B15PE
tch_20230830-172453_125,class_20230830-172453_125,fwm8-wNmJ,2B15PE
tch_20230830-172453_121,class_20230830-172453_121,ti7m-2xAi,2B15PE
tch_20230830-172453_124,class_20230830-172453_124,N8aD-K2Zj,2B15PE
tch_20230830-172453_126,class_20230830-172453_126,TJ36-ah2R,2B15PE
tch_20230830-172453_123,class_20230830-172453_123,97T2-N8P3,2B15PE
tch_20230830-172453_128,class_20230830-172453_128,iE2E-fwY6,2B15PE
tch_20230830-172453_132,class_20230830-172453_132,8s49-bzH3,3B10PE
tch_20230830-172453_127,class_20230830-172453_127,9GAG-DKDw,2B15PE
tch_20230830-172453_131,class_20230830-172453_131,i634-gyob,3B10PE
tch_20230830-172453_129,class_20230830-172453_129,QfyH-t3MG,2B15PE
tch_20230830-172453_130,class_20230830-172453_130,zrQf-s4m8,2B15PE
tch_20230830-172453_133,class_20230830-172453_133,6vxP-8Axe,3B10PE
tch_20230830-172453_135,class_20230830-172453_135,36mk-PGJ3,3B10PE
tch_20230830-172453_138,class_20230830-172453_138,M9My-ko34,3B10PE
tch_20230830-172453_140,class_20230830-172453_140,kR3N-GUMY,3B10PE
tch_20230830-172453_136,class_20230830-172453_136,X8jD-Y269,3B10PE
tch_20230830-172453_134,class_20230830-172453_134,J62b-qvtN,3B10PE
tch_20230830-172453_137,class_20230830-172453_137,ax87-3F9G,3B10PE
tch_20230830-172453_139,class_20230830-172453_139,oiT2-t3j7,3B10PE
tch_20230830-172453_142,class_20230830-172453_142,pMQ2-nwx7,3B8PE
tch_20230830-172453_141,class_20230830-172453_141,jkE8-sNzG,3B8PE
tch_20230830-172453_144,class_20230830-172453_144,8w92-MNL8,3B8PE
tch_20230830-172453_148,class_20230830-172453_148,6ETt-2D8E,3B8PE
tch_20230830-172453_149,class_20230830-172453_149,69gR-7mBw,3B8PE
tch_20230830-172453_143,class_20230830-172453_143,J93H-wW48,3B8PE
tch_20230830-172453_146,class_20230830-172453_146,EB7b-64PK,3B8PE
tch_20230830-172453_147,class_20230830-172453_147,dcbk-PhQ6,3B8PE
tch_20230830-172453_145,class_20230830-172453_145,rxj2-mJQ6,3B8PE
tch_20230830-172453_151,class_20230830-172453_151,p2L8-u4mw,3B8PE
tch_20230830-172453_155,class_20230830-172453_155,mUyw-Mgrc,3B8PE
tch_20230830-172453_150,class_20230830-172453_150,tqUm-qF23,3B8PE
tch_20230830-172453_152,class_20230830-172453_152,6zEr-iWKN,3B8PE
tch_20230830-172453_154,class_20230830-172453_154,2a8Z-XK49,3B8PE
tch_20230830-172453_153,class_20230830-172453_153,Ha3A-kg64,3B8PE
tch_20230830-172453_157,class_20230830-172453_157,w4oa-RQmN,3B8PE
tch_20230830-172453_159,class_20230830-172453_159,4VWY-i24P,3B8PE
tch_20230830-172453_162,class_20230830-172453_162,TeEb-x839,3B8PE
tch_20230830-172453_156,class_20230830-172453_156,mjgc-3PJN,3B8PE
tch_20230830-172453_158,class_20230830-172453_158,E9n8-73sD,3B8PE
tch_20230830-172453_160,class_20230830-172453_160,Kx4g-zd2N,3B8PE
tch_20230830-172453_161,class_20230830-172453_161,NUA9-hX46,3B8PE
tch_20230830-172453_168,class_20230830-172453_168,NxK7-v6As,3B8PE
tch_20230830-172453_164,class_20230830-172453_164,pQxH-fBF9,3B8PE
tch_20230830-172453_166,class_20230830-172453_166,c43B-xk6W,3B8PE
tch_20230830-172453_165,class_20230830-172453_165,6xAc-a3u4,3B8PE
tch_20230830-172453_163,class_20230830-172453_163,7Kkr-4Uwx,3B8PE
tch_20230830-172453_167,class_20230830-172453_167,a4Y7-Ltnm,3B8PE
tch_20230830-172453_170,class_20230830-172453_170,u6kG-izXx,3B8PE
tch_20230830-172453_169,class_20230830-172453_169,he6U-u46W,3B8PE
tch_20230830-172453_174,class_20230830-172453_174,3vFt-2943,3B8PE
tch_20230830-172453_171,class_20230830-172453_171,GHYG-9GW4,3B8PE
tch_20230830-172453_173,class_20230830-172453_173,T6Ct-vQ9X,3B8PE
tch_20230830-172453_172,class_20230830-172453_172,9jrw-hyC4,3B8PE
tch_20230830-172453_175,class_20230830-172453_175,94C2-wTux,3B8PE
tch_20230830-172453_178,class_20230830-172453_178,X6nc-8orH,3B8PE
tch_20230830-172453_179,class_20230830-172453_179,TwdY-X3Wi,3B8PE
tch_20230830-172453_176,class_20230830-172453_176,NXaA-nr62,3B8PE
tch_20230830-172453_177,class_20230830-172453_177,tmwN-BV96,3B8PE
tch_20230830-172453_182,class_20230830-172453_182,gsCM-kUov,3B8PE
tch_20230830-172453_180,class_20230830-172453_180,fVq2-E9XB,3B8PE
tch_20230830-172453_181,class_20230830-172453_181,ckQh-BDv2,3B8PE
tch_20230830-172453_187,class_20230830-172453_187,92R3-niG7,3B8PE
tch_20230830-172453_183,class_20230830-172453_183,7A3x-qxov,3B8PE
tch_20230830-172453_186,class_20230830-172453_186,pMPb-7pdA,3B8PE
tch_20230830-172453_185,class_20230830-172453_185,y4aQ-t4CQ,3B8PE
tch_20230830-172453_184,class_20230830-172453_184,Hh6P-ydyu,3B8PE
tch_20230830-172453_188,class_20230830-172453_188,o74b-oA2k,3B8PE
tch_20230830-172453_192,class_20230830-172453_192,By4T-w346,3B8PE
tch_20230830-172453_189,class_20230830-172453_189,D2K6-8cpz,3B8PE
tch_20230830-172453_190,class_20230830-172453_190,EKgL-aZTp,3B8PE
tch_20230830-172453_193,class_20230830-172453_193,H7Dn-QYt2,3B8PE
