category,noOfAssignmentsInClass,noOfLOsInAssignment,noOfStudentsInClass
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
2B15PE,30,50,50
2B15PE,30,50,50
3B8PE,10,20,50
3B15PE,15,30,50
2B15PE,30,50,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B15PE,15,30,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B15PE,15,30,50
3B8PE,10,20,50
3B15PE,15,30,50
2B15PE,30,50,50
3B15PE,15,30,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
2B15PE,30,50,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
3B15PE,15,30,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
3B15PE,15,30,50
2B15PE,30,50,50
3B15PE,15,30,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B15PE,15,30,50
3B8PE,10,20,50
3B15PE,15,30,50
3B15PE,15,30,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B15PE,15,30,50
3B15PE,15,30,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
3B15PE,15,30,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
2B15PE,30,50,50
3B8PE,10,20,50
3B8PE,10,20,50
