teacher,classtitle,classcode
perf_prod_teacher_133749_240,perf_class_133749_240,D3Xf-GRfP
perf_prod_teacher_133749_242,perf_class_133749_242,Kg98-78Lh
perf_prod_teacher_133749_243,perf_class_133749_243,i4eR-ZghH
perf_prod_teacher_133749_244,perf_class_133749_244,AQhU-TWgB
perf_prod_teacher_133749_245,perf_class_133749_245,Dg9H-34bi
perf_prod_teacher_133749_246,perf_class_133749_246,iafh-A43W
perf_prod_teacher_133749_247,perf_class_133749_247,Wic9-e6d3
perf_prod_teacher_133749_248,perf_class_133749_248,Bd7Q-E4ca
perf_prod_teacher_133749_249,perf_class_133749_249,g9a2-4G2b
perf_prod_teacher_133749_250,perf_class_133749_250,3b3c-h8e8
perf_prod_teacher_133749_251,perf_class_133749_251,aeid-L8Ga
perf_prod_teacher_133749_252,perf_class_133749_252,F843-GbHR
perf_prod_teacher_133749_253,perf_class_133749_253,HhYh-if8g
perf_prod_teacher_133749_254,perf_class_133749_254,6Nj3-eJ72
perf_prod_teacher_133749_255,perf_class_133749_255,4LNc-ad7a
perf_prod_teacher_133749_256,perf_class_133749_256,2Xfg-Db7b
perf_prod_teacher_133749_259,perf_class_133749_259,cgAV-e739
perf_prod_teacher_133749_257,perf_class_133749_257,6KdN-8ig2
perf_prod_teacher_133749_258,perf_class_133749_258,Z3KW-jV2E
perf_prod_teacher_133749_260,perf_class_133749_260,8f9j-2427
perf_prod_teacher_133749_261,perf_class_133749_261,Yb3b-Ld68
perf_prod_teacher_133749_263,perf_class_133749_263,76eZ-4XBi
perf_prod_teacher_133749_262,perf_class_133749_262,9cjh-N4j2
perf_prod_teacher_133749_264,perf_class_133749_264,cH2T-VR2J
perf_prod_teacher_133749_265,perf_class_133749_265,cZPf-Ve3g
perf_prod_teacher_133749_266,perf_class_133749_266,8Rg9-6WQ3
perf_prod_teacher_133749_267,perf_class_133749_267,i6VL-Y8W6
perf_prod_teacher_133749_268,perf_class_133749_268,daMc-4geh
perf_prod_teacher_133749_269,perf_class_133749_269,Ke48-WhBc
perf_prod_teacher_133749_270,perf_class_133749_270,KfHg-2dT8
perf_prod_teacher_133749_271,perf_class_133749_271,EjHg-6hjQ
perf_prod_teacher_133749_272,perf_class_133749_272,Ddcg-fgah
perf_prod_teacher_133749_273,perf_class_133749_273,JZga-2NZV
perf_prod_teacher_133749_274,perf_class_133749_274,39VK-9ebh
perf_prod_teacher_133749_275,perf_class_133749_275,ei7e-i96h
perf_prod_teacher_133749_276,perf_class_133749_276,X3ZF-8ec3
perf_prod_teacher_133749_278,perf_class_133749_278,Q7Jc-43bg
perf_prod_teacher_133749_277,perf_class_133749_277,cjHa-Gadi
perf_prod_teacher_133749_279,perf_class_133749_279,3fdM-9hdZ
perf_prod_teacher_133749_280,perf_class_133749_280,X2L4-MJcf
perf_prod_teacher_133749_282,perf_class_133749_282,Yia4-W6RQ
perf_prod_teacher_133749_281,perf_class_133749_281,gTdY-dLbj
perf_prod_teacher_133749_283,perf_class_133749_283,fj89-b3dh
perf_prod_teacher_133749_284,perf_class_133749_284,P2Wj-3jdj
perf_prod_teacher_133749_286,perf_class_133749_286,7gE8-cjgR
perf_prod_teacher_133749_285,perf_class_133749_285,dD3f-MTgY
perf_prod_teacher_133749_287,perf_class_133749_287,d9c9-ej8g
perf_prod_teacher_133749_288,perf_class_133749_288,6dBQ-23EW
perf_prod_teacher_133749_289,perf_class_133749_289,j2jP-b6i8
perf_prod_teacher_133749_290,perf_class_133749_290,63HR-f3Gd
perf_prod_teacher_133749_291,perf_class_133749_291,g2Mf-4jBW
perf_prod_teacher_133749_292,perf_class_133749_292,M8Na-3gT8
perf_prod_teacher_133749_293,perf_class_133749_293,2ijX-i2cj
perf_prod_teacher_133749_294,perf_class_133749_294,7jbh-3a4i
perf_prod_teacher_133749_295,perf_class_133749_295,M3d9-aZ3Q
perf_prod_teacher_133749_296,perf_class_133749_296,V6a8-ed79
perf_prod_teacher_133749_297,perf_class_133749_297,6fQ9-KHXC
perf_prod_teacher_133749_300,perf_class_133749_300,c8Rj-Fd98
perf_prod_teacher_133749_298,perf_class_133749_298,D8W4-d9Re
perf_prod_teacher_133749_299,perf_class_133749_299,Ygbd-4ZAi
perf_prod_teacher_133749_301,perf_class_133749_301,aWVi-8h2f
perf_prod_teacher_133749_302,perf_class_133749_302,da8L-VJdZ
perf_prod_teacher_133749_304,perf_class_133749_304,Y2Xi-2f3H
perf_prod_teacher_133749_303,perf_class_133749_303,Pi9A-PWZR
perf_prod_teacher_133749_305,perf_class_133749_305,APbd-ETi3
perf_prod_teacher_133749_307,perf_class_133749_307,Fj2E-bDd3
perf_prod_teacher_133749_306,perf_class_133749_306,VXce-b9b2
perf_prod_teacher_133749_308,perf_class_133749_308,b768-AfeQ
perf_prod_teacher_133749_309,perf_class_133749_309,a6df-b6WA
perf_prod_teacher_133749_310,perf_class_133749_310,ah2c-6Khi
perf_prod_teacher_133749_311,perf_class_133749_311,Zbi3-g48Y
perf_prod_teacher_133749_312,perf_class_133749_312,Y48c-Nbce
perf_prod_teacher_133749_313,perf_class_133749_313,cgRN-aTVd
perf_prod_teacher_133749_316,perf_class_133749_316,XZBP-UAh8
perf_prod_teacher_133749_314,perf_class_133749_314,eTf8-e32U
perf_prod_teacher_133749_315,perf_class_133749_315,J3H7-K76N
perf_prod_teacher_133749_318,perf_class_133749_318,6b3A-eiVY
perf_prod_teacher_133749_317,perf_class_133749_317,g2ej-Nbde
perf_prod_teacher_133749_319,perf_class_133749_319,gj8d-67g4
perf_prod_teacher_133749_320,perf_class_133749_320,3BHe-fGcf
perf_prod_teacher_133749_321,perf_class_133749_321,LWNF-eg3W
perf_prod_teacher_133749_322,perf_class_133749_322,fcfN-i3M3
perf_prod_teacher_133749_323,perf_class_133749_323,FjbG-ZiGE
perf_prod_teacher_133749_325,perf_class_133749_325,gJiK-B9Bc
perf_prod_teacher_133749_324,perf_class_133749_324,B8e9-C3gK
perf_prod_teacher_133749_326,perf_class_133749_326,bjag-TgFX
perf_prod_teacher_133749_328,perf_class_133749_328,iQfV-784C
perf_prod_teacher_133749_327,perf_class_133749_327,8Kf3-8bE7
perf_prod_teacher_133749_330,perf_class_133749_330,de8h-c3Y3
perf_prod_teacher_133749_329,perf_class_133749_329,2e7K-98cF
perf_prod_teacher_133749_331,perf_class_133749_331,b7bW-c8QA
perf_prod_teacher_133749_332,perf_class_133749_332,gPdg-4a4X
perf_prod_teacher_133749_334,perf_class_133749_334,9e3N-3Vc4
perf_prod_teacher_133749_333,perf_class_133749_333,6JYM-gadQ
perf_prod_teacher_133749_335,perf_class_133749_335,ZfJj-J76j
perf_prod_teacher_133749_336,perf_class_133749_336,h3ic-TH7c
perf_prod_teacher_133749_337,perf_class_133749_337,U86B-YeD2
