extuserid,groupid,tchextuserid
std_1692375729028_1,164d7438-f318-4c81-9994-efd561232e45,tch_20230818-214917_1
std_1692375733025_2,586b073a-0c47-421d-ad4e-8859cacad6e8,tch_20230818-214917_2
std_1692375760355_3,21d1c4a7-3f23-423a-a991-627e57d83487,tch_20230818-214917_3
std_1692375874608_1,03427217-7a3f-4d0b-a5c7-24f71e5c0586,tch_20230818-214917_1
std_1692375777798_4,74544055-fd55-4327-ab72-2c6e0d14e3af,tch_20230818-214917_4
std_1692375881145_2,4072a190-bf99-4de6-87a7-e37c383a3ecd,tch_20230818-214917_2
std_1692375894629_3,fb95bd55-776d-4f78-b9ae-49dc5c612380,tch_20230818-214917_3
std_1692376010659_1,4f4d9ce2-277e-4271-9853-b4f67eeb8a81,tch_20230818-214917_1
std_1692375794987_5,8efcd3b5-b41a-4a22-9b26-71dec67d9542,tch_20230818-214917_5
std_1692375912986_4,b82aaa97-4c1c-4b90-8445-614a74196fb1,tch_20230818-214917_4
std_1692376014675_2,eccd7129-a9d5-4c1e-91ae-eafa5b53ed57,tch_20230818-214917_2
std_1692375818067_6,715493c1-5ceb-4dbd-a9b5-b4937ceebdfa,tch_20230818-214917_6
std_1692376039409_3,dff3ac30-204e-4256-ae0d-436a52202c74,tch_20230818-214917_3
std_1692375939338_5,a6661e68-4832-4fc1-8476-e7bb1f061b01,tch_20230818-214917_5
std_1692376142884_1,39a0ebf0-4712-4bb9-8dd0-251ee41a7144,tch_20230818-214917_1
std_1692376049010_4,bcbf4ac0-5052-44d9-93a6-55ea0fb0a19c,tch_20230818-214917_4
std_1692376153379_2,483b940e-a84c-4278-a0f4-7e960d85a1e8,tch_20230818-214917_2
std_1692375946990_6,1ded6ffe-5bc3-427a-a141-8cfaba65fdc7,tch_20230818-214917_6
std_1692376169660_3,2ba453cd-9929-4043-808d-35e01490b4eb,tch_20230818-214917_3
std_1692376074204_5,d12baf2f-ae88-4950-8087-17130ecde679,tch_20230818-214917_5
std_1692376185386_4,48071e6e-4138-419c-a17b-f45f76b25ac2,tch_20230818-214917_4
std_1692375850079_7,117a1b4b-2f88-4194-a352-c368bfd05e23,tch_20230818-214917_7
std_1692376085953_6,14e254bc-db16-45db-8a68-97ae592119ed,tch_20230818-214917_6
std_1692375870884_8,34599060-fbcf-4b8d-914d-437378227164,tch_20230818-214917_8
std_1692376205006_5,c4257818-2ff3-4cf7-9713-3a9460f5f434,tch_20230818-214917_5
std_1692375992620_7,587ff3ba-4dbd-4177-b932-ec81d578b485,tch_20230818-214917_7
std_1692375891995_9,2cfddf8c-d4c5-48ed-9a75-68708d8bde90,tch_20230818-214917_9
std_1692376003222_8,19179054-ca78-42bb-a58d-903096b72d7e,tch_20230818-214917_8
std_1692376214737_6,140ae510-839d-471b-a8f0-9de52fff8420,tch_20230818-214917_6
std_1692375903648_10,7726d7ed-360d-44ed-bc8f-0da307467976,tch_20230818-214917_10
std_1692375940768_12,c95b2cc5-d8b3-45a8-b38c-d6cfb898e84b,tch_20230818-214917_12
std_1692376134550_7,d72ee75b-7714-473f-be82-6c3823dd3d62,tch_20230818-214917_7
std_1692376140637_8,b827a48d-c92f-4b52-8afe-3e82ad9d109c,tch_20230818-214917_8
std_1692376026527_9,dd84e9a0-0971-4b5a-b336-e8e8473289c1,tch_20230818-214917_9
std_1692376040347_10,b8fe6d7d-f14b-4c80-9844-2fff2c439a9f,tch_20230818-214917_10
std_1692375926927_11,19362c1d-be03-4d78-8fe6-0b60b0b86054,tch_20230818-214917_11
std_1692376073935_12,04843e80-b6a6-4b9e-ab48-4a6f0934a6c9,tch_20230818-214917_12
std_1692376268914_7,d84d875b-42d4-4ea4-9707-f99ee4d01fc8,tch_20230818-214917_7
std_1692376273512_8,cc17a54a-b000-4a40-aea2-03de1358babf,tch_20230818-214917_8
std_1692376166169_9,eb5b861a-69cf-488d-bd3b-90445766c7c3,tch_20230818-214917_9
std_1692376176755_10,be023ec7-8ea0-4331-80e0-66afe144ba93,tch_20230818-214917_10
std_1692375963050_13,b477d828-b387-4aef-b521-b779f48983fe,tch_20230818-214917_13
std_1692376064677_11,5c9e9bee-2bd6-43dd-b2a6-a4d577dade05,tch_20230818-214917_11
std_1692375981102_14,a550b9e1-ae75-4faf-a28e-5d4a8e8f6f96,tch_20230818-214917_14
std_1692376200520_12,c2f815b5-41f7-447e-9001-99f6c69a4f41,tch_20230818-214917_12
std_1692376302413_9,63fa0252-8102-486b-b09e-ef20a1feb8f2,tch_20230818-214917_9
std_1692376314147_10,b3c9d220-975c-4d3d-986c-1850ce00c8a2,tch_20230818-214917_10
std_1692376105747_13,462676cd-f02b-45b1-b4e2-6486e940fb71,tch_20230818-214917_13
std_1692376119333_14,1f62c8c2-ca38-49cc-af63-f2524831b84a,tch_20230818-214917_14
std_1692376206051_11,7ac9842c-f3bb-498e-97ac-5ceb165538dc,tch_20230818-214917_11
std_1692376331843_12,697852e7-c032-4318-97a9-6c3db6578c74,tch_20230818-214917_12
std_1692376013219_15,57d7d1ef-3fbf-4c65-9c84-0bfb0eb6521c,tch_20230818-214917_15
std_1692376018466_16,e14c9687-cd38-423f-ac95-f1233359cf63,tch_20230818-214917_16
std_1692376247909_13,fbf91d6e-53bc-462f-99b9-888126c0dfae,tch_20230818-214917_13
std_1692376253524_14,b9ac2f09-e802-4aba-b134-800eda80b0e9,tch_20230818-214917_14
std_1692376350408_11,d7eeae28-730f-4da4-ab01-4aa2c930b8f0,tch_20230818-214917_11
std_1692376147321_15,cc781452-03e3-4f44-bff6-71637f47d306,tch_20230818-214917_15
std_1692376039127_17,d39e4064-3a1c-495f-8087-6e7b87263e87,tch_20230818-214917_17
std_1692376157064_16,57120f19-66ff-4a44-8a0d-5a8d29a93403,tch_20230818-214917_16
std_1692376380667_13,4ec66595-dff8-45f9-bcf3-98fe410f01a0,tch_20230818-214917_13
std_1692376384118_14,954f486e-46ea-4371-8734-748e57ac5eae,tch_20230818-214917_14
std_1692376067054_18,ef304d60-9d71-4bcb-ba52-669993b26134,tch_20230818-214917_18
std_1692376281346_15,c8774483-4729-4068-9737-d3cf709c0288,tch_20230818-214917_15
std_1692376185751_17,ef96dca0-66e5-4627-b9ac-667d41f48c59,tch_20230818-214917_17
std_1692376292423_16,f2dff945-db54-43f5-8853-973e3397f00f,tch_20230818-214917_16
std_1692376197923_18,e34f0136-2545-4b97-8797-caeeb752d76b,tch_20230818-214917_18
std_1692376095852_19,9814e605-17d3-4b06-956b-cdfcbf9e55d2,tch_20230818-214917_19
std_1692376420229_15,1221d00b-a91d-4909-a781-8560f2c50108,tch_20230818-214917_15
std_1692376324117_17,087ae331-320f-4b84-8202-26802f6f2311,tch_20230818-214917_17
std_1692376112566_20,da96c50e-b710-4cd8-b523-4c972cfdad85,tch_20230818-214917_20
std_1692376427594_16,d13acf34-6013-4b32-8f40-101084f62242,tch_20230818-214917_16
std_1692376117284_21,32fbdfee-dffd-4592-bdf9-b23a8dc89431,tch_20230818-214917_21
std_1692376333055_18,f591b244-b297-4f09-9791-958c83857672,tch_20230818-214917_18
std_1692376234200_19,41ba6f30-0ec8-40c3-ac98-bdb4ba52f28a,tch_20230818-214917_19
std_1692376459323_17,7a146c02-5d6a-4e79-b773-d1268bec66de,tch_20230818-214917_17
