extuserid,groupid,tchextuserid
std_1619442148524_1_1,7dc6672f-0f9d-410b-86c4-9f93dc651001,tch_20210426-124219_1_1
std_1619442185845_2_1,0e4e106a-c2e4-466f-8a5e-c74bdf20cbea,tch_20210426-124219_2_1
std_1619441830852_2_1,e1aa66f2-56b8-4fa1-a6ec-9859c99b114b,tch_20210426-124219_2_1
std_1619441787553_1_1,0a15f591-36c4-4c47-be6f-735f98c91256,tch_20210426-124219_1_1
std_1619441474054_2_1,03b5044f-5a7e-4e0d-9712-8e56f673d9b8,tch_20210426-124219_2_1
std_1619441439420_1_1,c447eb88-869b-4b99-813d-9ef64cca2399,tch_20210426-124219_1_1
std_1619441093482_1_1,91763eb5-898b-4d46-b916-7b1e766dd4ff,tch_20210426-124219_1_1
std_1619441125165_2_1,2adc65a3-4a6e-4990-88cf-0544b495fd50,tch_20210426-124219_2_1
std_1619444091923_1_2,b59c0bec-dd2f-43e6-9bcf-b8a142b65fef,tch_20210426-124219_1_2
std_1619444113620_2_2,a576e49a-c553-4808-9973-88a255503fd2,tch_20210426-124219_2_2
std_1619443744279_1_2,e72fa6a6-31ac-47d9-8346-beb8b9c6a7f8,tch_20210426-124219_1_2
std_1619443757559_2_2,acc6bb48-2559-41b0-96bc-292eb7ec2f5d,tch_20210426-124219_2_2
std_1619443384335_1_2,bafb917a-d1d4-4398-bb19-fcd709a4f06c,tch_20210426-124219_1_2
std_1619443417919_2_2,93dca2c0-5d6d-4cfa-bf2f-4761045c73c2,tch_20210426-124219_2_2
std_1619443029706_1_2,063f45cb-0215-47be-8b58-52bd735f5c54,tch_20210426-124219_1_2
std_1619443056976_2_2,e80dcf62-e6f4-4b28-abdd-7696ccf3d8f9,tch_20210426-124219_2_2
