tchextid,stduserid,stdextid,classcode
tch_20200706-163028_1,756328fc-c118-11ea-887e-0242ac110002,std_1594212136958_1,b3P7-93H8
tch_20200706-163028_2,7a14ca82-c118-11ea-acee-0242ac110002,std_1594212144962_2,9U74-G6vh
tch_20200706-163028_3,7ed6e62a-c118-11ea-acee-0242ac110002,std_1594212152965_3,JKB2-iFmz
tch_20200706-163028_1,83ab2a96-c118-11ea-af23-0242ac110002,std_1594212161401_1,b3P7-93H8
tch_20200706-163028_4,83ad9b8e-c118-11ea-887e-0242ac110002,std_1594212160974_4,7C9T-J3X8
tch_20200706-163028_5,885f3cc8-c118-11ea-887e-0242ac110002,std_1594212168978_5,927k-V8v8
tch_20200706-163028_2,8ada2788-c118-11ea-887e-0242ac110002,std_1594212173383_2,9U74-G6vh
tch_20200706-163028_6,8d232d98-c118-11ea-af23-0242ac110002,std_1594212176986_6,7fHg-6Bc3
tch_20200706-163028_4,924fcb17-c118-11ea-af23-0242ac110002,std_1594212185965_4,7C9T-J3X8
tch_20200706-163028_7,91ea2b90-c118-11ea-af23-0242ac110002,std_1594212184994_7,T4G7-QhVC
tch_20200706-163028_3,912888fa-c118-11ea-887e-0242ac110002,std_1594212184065_3,JKB2-iFmz
tch_20200706-163028_1,922f7181-c118-11ea-af23-0242ac110002,std_1594212185697_1,b3P7-93H8
tch_20200706-163028_8,96b065a3-c118-11ea-acee-0242ac110002,std_1594212193000_8,242V-B7K4
tch_20200706-163028_5,99cb132e-c118-11ea-af23-0242ac110002,std_1594212198512_5,927k-V8v8
tch_20200706-163028_9,9b7d3036-c118-11ea-887e-0242ac110002,std_1594212201007_9,2K4f-8n6Y
tch_20200706-163028_2,9b468f56-c118-11ea-887e-0242ac110002,std_1594212201014_2,9U74-G6vh
tch_20200706-163028_6,9e7ab86d-c118-11ea-af23-0242ac110002,std_1594212206387_6,7fHg-6Bc3
tch_20200706-163028_10,a03b06a4-c118-11ea-af23-0242ac110002,std_1594212209014_10,M7n2-F8iA
tch_20200706-163028_7,a1362f69-c118-11ea-af23-0242ac110002,std_1594212210963_7,T4G7-QhVC
tch_20200706-163028_4,a1212071-c118-11ea-af23-0242ac110002,std_1594212210769_4,7C9T-J3X8
tch_20200706-163028_3,a33d22dd-c118-11ea-af23-0242ac110002,std_1594212214380_3,JKB2-iFmz
tch_20200706-163028_1,a3d28481-c118-11ea-acee-0242ac110002,std_1594212215306_1,b3P7-93H8
tch_20200706-163028_8,a70574f2-c118-11ea-887e-0242ac110002,std_1594212220710_8,242V-B7K4
tch_20200706-163028_11,a504004b-c118-11ea-acee-0242ac110002,std_1594212217022_11,te9A-RmZo
tch_20200706-163028_12,a9c69140-c118-11ea-acee-0242ac110002,std_1594212225029_12,ANjd-RtM7
tch_20200706-163028_5,a8501e0c-c118-11ea-887e-0242ac110002,std_1594212222872_5,927k-V8v8
tch_20200706-163028_2,ac59beea-c118-11ea-887e-0242ac110002,std_1594212229654_2,9U74-G6vh
tch_20200706-163028_9,ac56b20d-c118-11ea-af23-0242ac110002,std_1594212229642_9,2K4f-8n6Y
tch_20200706-163028_6,ad92185b-c118-11ea-af23-0242ac110002,std_1594212231713_6,7fHg-6Bc3
tch_20200706-163028_10,afbac503-c118-11ea-af23-0242ac110002,std_1594212235324_10,M7n2-F8iA
tch_20200706-163028_13,ae8ec821-c118-11ea-887e-0242ac110002,std_1594212233041_13,h3uX-g7E7
tch_20200706-163028_7,b090ffd5-c118-11ea-887e-0242ac110002,std_1594212236732_7,T4G7-QhVC
tch_20200706-163028_3,b208ac58-c118-11ea-acee-0242ac110002,std_1594212239214_3,JKB2-iFmz
tch_20200706-163028_4,b0e78469-c118-11ea-af23-0242ac110002,std_1594212237300_4,7C9T-J3X8
tch_20200706-163028_14,b356891f-c118-11ea-887e-0242ac110002,std_1594212241050_14,ik3T-xsbA
tch_20200706-163028_8,b4a55060-c118-11ea-af23-0242ac110002,std_1594212243576_8,242V-B7K4
tch_20200706-163028_12,b7345f4b-c118-11ea-af23-0242ac110002,std_1594212247872_12,ANjd-RtM7
tch_20200706-163028_5,b79d0c52-c118-11ea-acee-0242ac110002,std_1594212248563_5,927k-V8v8
tch_20200706-163028_11,b6ec0c0f-c118-11ea-af23-0242ac110002,std_1594212247391_11,te9A-RmZo
tch_20200706-163028_15,b8183029-c118-11ea-acee-0242ac110002,std_1594212249057_15,co3d-32eM
tch_20200706-163028_10,be7f225b-c118-11ea-acee-0242ac110002,std_1594212260090_10,M7n2-F8iA
tch_20200706-163028_16,bce2afa9-c118-11ea-acee-0242ac110002,std_1594212257064_16,g8i2-9xea
tch_20200706-163028_9,bd46a1a0-c118-11ea-af23-0242ac110002,std_1594212258057_9,2K4f-8n6Y
tch_20200706-163028_6,bdea5c6e-c118-11ea-af23-0242ac110002,std_1594212259125_6,7fHg-6Bc3
tch_20200706-163028_13,beadd325-c118-11ea-887e-0242ac110002,std_1594212260414_13,h3uX-g7E7
tch_20200706-163028_7,c008a7c9-c118-11ea-acee-0242ac110002,std_1594212262677_7,T4G7-QhVC
tch_20200706-163028_17,c1a6ef09-c118-11ea-acee-0242ac110002,std_1594212265073_17,K2b7-Nr9Z
tch_20200706-163028_14,c4130d04-c118-11ea-af23-0242ac110002,std_1594212269443_14,ik3T-xsbA
tch_20200706-163028_8,c538ef2e-c118-11ea-887e-0242ac110002,std_1594212271334_8,242V-B7K4
tch_20200706-163028_11,c6addc10-c118-11ea-acee-0242ac110002,std_1594212273830_11,te9A-RmZo
tch_20200706-163028_18,c669f581-c118-11ea-887e-0242ac110002,std_1594212273079_18,8h9m-aGCa
tch_20200706-163028_15,c8e2e485-c118-11ea-af23-0242ac110002,std_1594212277541_15,co3d-32eM
tch_20200706-163028_12,c53bfc82-c118-11ea-887e-0242ac110002,std_1594212271335_12,ANjd-RtM7
tch_20200706-163028_19,cb32eef8-c118-11ea-887e-0242ac110002,std_1594212281088_19,LMRx-zaL4
tch_20200706-163028_16,ccd02494-c118-11ea-acee-0242ac110002,std_1594212284119_16,g8i2-9xea
tch_20200706-163028_10,ccb10351-c118-11ea-887e-0242ac110002,std_1594212283920_10,M7n2-F8iA
tch_20200706-163028_9,ce07b9a9-c118-11ea-af23-0242ac110002,std_1594212286151_9,2K4f-8n6Y
tch_20200706-163028_20,cffb7366-c118-11ea-af23-0242ac110002,std_1594212289097_20,JT9D-6Q4N
tch_20200706-163028_13,ce87e62a-c118-11ea-acee-0242ac110002,std_1594212287007_13,h3uX-g7E7
tch_20200706-163028_14,d256538a-c118-11ea-af23-0242ac110002,std_1594212293429_14,ik3T-xsbA
tch_20200706-163028_17,d1669c06-c118-11ea-887e-0242ac110002,std_1594212291836_17,K2b7-Nr9Z
tch_20200706-163028_18,d4cd46a1-c118-11ea-887e-0242ac110002,std_1594212297550_18,8h9m-aGCa
tch_20200706-163028_21,d4c49410-c118-11ea-acee-0242ac110002,std_1594212297107_21,9xc8-Bzhw
tch_20200706-163028_11,d496f4a0-c118-11ea-af23-0242ac110002,std_1594212297162_11,te9A-RmZo
tch_20200706-163028_15,d66c29b4-c118-11ea-acee-0242ac110002,std_1594212300243_15,co3d-32eM
tch_20200706-163028_12,d6dbb4eb-c118-11ea-acee-0242ac110002,std_1594212300988_12,ANjd-RtM7
tch_20200706-163028_19,da530087-c118-11ea-af23-0242ac110002,std_1594212306794_19,LMRx-zaL4
tch_20200706-163028_22,d986fe3e-c118-11ea-af23-0242ac110002,std_1594212305113_22,t6h2-RxNo
tch_20200706-163028_16,db8abdbb-c118-11ea-acee-0242ac110002,std_1594212308841_16,g8i2-9xea
tch_20200706-163028_23,de45983f-c118-11ea-af23-0242ac110002,std_1594212313120_23,eLws-jzE2
tch_20200706-163028_14,e15632c6-c118-11ea-887e-0242ac110002,std_1594212318547_14,ik3T-xsbA
tch_20200706-163028_13,dfecb823-c118-11ea-887e-0242ac110002,std_1594212316204_13,h3uX-g7E7
tch_20200706-163028_20,dfa093c0-c118-11ea-acee-0242ac110002,std_1594212315665_20,JT9D-6Q4N
tch_20200706-163028_17,e3592f4e-c118-11ea-acee-0242ac110002,std_1594212321920_17,K2b7-Nr9Z
tch_20200706-163028_21,e456a18a-c118-11ea-af23-0242ac110002,std_1594212323618_21,9xc8-Bzhw
tch_20200706-163028_18,e3ec9553-c118-11ea-af23-0242ac110002,std_1594212322920_18,8h9m-aGCa
tch_20200706-163028_24,e30d58b1-c118-11ea-acee-0242ac110002,std_1594212321128_24,Z6nq-zqyt
tch_20200706-163028_15,e59a1e01-c118-11ea-887e-0242ac110002,std_1594212325710_15,co3d-32eM
tch_20200706-163028_25,e7d40924-c118-11ea-887e-0242ac110002,std_1594212329133_25,Xyb3-w9b4
tch_20200706-163028_19,e9f8bdb1-c118-11ea-887e-0242ac110002,std_1594212333050_19,LMRx-zaL4
tch_20200706-163028_22,ea8ee35b-c118-11ea-af23-0242ac110002,std_1594212334029_22,t6h2-RxNo
tch_20200706-163028_16,eacfbcb3-c118-11ea-887e-0242ac110002,std_1594212334466_16,g8i2-9xea
tch_20200706-163028_26,ec990b03-c118-11ea-acee-0242ac110002,std_1594212337140_26,Li49-86dn
tch_20200706-163028_23,ed6d4b6f-c118-11ea-887e-0242ac110002,std_1594212338838_23,eLws-jzE2
tch_20200706-163028_27,f160f32c-c118-11ea-af23-0242ac110002,std_1594212345147_27,fDf3-9243
tch_20200706-163028_17,f2b6e639-c118-11ea-af23-0242ac110002,std_1594212347738_17,K2b7-Nr9Z
tch_20200706-163028_20,f254a222-c118-11ea-887e-0242ac110002,std_1594212347073_20,JT9D-6Q4N
tch_20200706-163028_21,f411e2a2-c118-11ea-acee-0242ac110002,std_1594212350002_21,9xc8-Bzhw
tch_20200706-163028_24,f5201e51-c118-11ea-887e-0242ac110002,std_1594212351757_24,Z6nq-zqyt
tch_20200706-163028_18,f41a4747-c118-11ea-acee-0242ac110002,std_1594212350041_18,8h9m-aGCa
tch_20200706-163028_28,f627a358-c118-11ea-af23-0242ac110002,std_1594212353153_28,bNYg-7eWf
tch_20200706-163028_19,f847c413-c118-11ea-acee-0242ac110002,std_1594212357045_19,LMRx-zaL4
