tchextid,classcode
tch_20200706-163028_1,b3P7-93H8
tch_20200706-163028_2,9U74-G6vh
tch_20200706-163028_3,JKB2-iFmz
tch_20200706-163028_4,7C9T-J3X8
tch_20200706-163028_5,927k-V8v8
tch_20200706-163028_6,7fHg-6Bc3
tch_20200706-163028_7,T4G7-QhVC
tch_20200706-163028_8,242V-B7K4
tch_20200706-163028_9,2K4f-8n6Y
tch_20200706-163028_10,M7n2-F8iA
tch_20200706-163028_11,te9A-RmZo
tch_20200706-163028_12,ANjd-RtM7
tch_20200706-163028_13,h3uX-g7E7
tch_20200706-163028_14,ik3T-xsbA
tch_20200706-163028_15,co3d-32eM
tch_20200706-163028_16,g8i2-9xea
tch_20200706-163028_17,K2b7-Nr9Z
tch_20200706-163028_18,8h9m-aGCa
tch_20200706-163028_19,LMRx-zaL4
tch_20200706-163028_20,JT9D-6Q4N
tch_20200706-163028_21,9xc8-Bzhw
tch_20200706-163028_22,t6h2-RxNo
tch_20200706-163028_23,eLws-jzE2
tch_20200706-163028_24,Z6nq-zqyt
tch_20200706-163028_25,Xyb3-w9b4
tch_20200706-163028_26,Li49-86dn
tch_20200706-163028_27,fDf3-9243
tch_20200706-163028_28,bNYg-7eWf
tch_20200706-163028_29,Q9EZ-UfE2
tch_20200706-163028_30,ZEBA-MKpN
tch_20200706-163028_31,iyC9-R2R6
tch_20200706-163028_32,mqCa-bpiB
tch_20200706-163028_33,uFc3-bJnY
tch_20200706-163028_34,6K67-iLNY
tch_20200706-163028_35,Lhuo-4Zjx
tch_20200706-163028_36,WKtM-7Mu9
tch_20200706-163028_37,4h6c-jLt8
tch_20200706-163028_38,XG46-syp6
tch_20200706-163028_39,36Uq-3G7M
tch_20200706-163028_40,3cL9-rYn8
tch_20200706-163028_41,6cza-TUbC
tch_20200706-163028_42,WyeM-GQ6v
tch_20200706-163028_43,Tvm6-xEtn
tch_20200706-163028_44,67BR-L49Q
tch_20200706-163028_45,HWp4-97FC
tch_20200706-163028_46,CPgb-H32W
tch_20200706-163028_47,HswN-Ea34
tch_20200706-163028_48,wKTy-wP9e
tch_20200706-163028_49,28NH-vXKN
tch_20200706-163028_50,eR9c-2fT9
tch_20200706-163028_51,mKUf-8rV3
tch_20200706-163028_52,yZuG-9ucC
tch_20200706-163028_53,B7j9-dHhc
tch_20200706-163028_54,9k7W-Ukg9
tch_20200706-163028_55,2iRD-nk3f
tch_20200706-163028_56,i2fo-KuzZ
tch_20200706-163028_57,Qyg7-i862
tch_20200706-163028_58,Uy3P-QDFR
tch_20200706-163028_59,8mU2-fw72
tch_20200706-163028_60,6W78-wLRk
tch_20200706-163028_61,9a3N-HnN7
tch_20200706-163028_62,6mwG-r6c9
tch_20200706-163028_63,b6t4-M3kc
tch_20200706-163028_64,kmPB-6YP2
tch_20200706-163028_65,RwFC-pmnp
tch_20200706-163028_66,FUR2-Jz86
tch_20200706-163028_67,yUL8-W636
tch_20200706-163028_68,r6de-TYA2
tch_20200706-163028_69,vLoE-yqhd
tch_20200706-163028_70,E6YQ-9uqB
tch_20200706-163028_71,L8E2-yoiT
tch_20200706-163028_72,29V7-BFg7
tch_20200706-163028_73,Xv8w-f28u
tch_20200706-163028_74,Baqw-u3D6
tch_20200706-163028_75,zEiC-8n79
tch_20200706-163028_76,ZvP8-34H9
tch_20200706-163028_77,9baX-Upk9
tch_20200706-163028_78,Zt2P-2b4n
tch_20200706-163028_79,adm8-nm3s
tch_20200706-163028_80,XCho-t983
tch_20200706-163028_81,L9qM-dETF
tch_20200706-163028_82,QPT3-w2wt
tch_20200706-163028_83,FRTd-A28x
tch_20200706-163028_84,xwW6-7Gmn
tch_20200706-163028_85,KbEz-f9uk
tch_20200706-163028_86,Y7Lo-mZfk
tch_20200706-163028_87,ECp6-nq6E
tch_20200706-163028_88,oJYK-97GB
tch_20200706-163028_89,xGUY-c896
tch_20200706-163028_90,V7bV-3HQw
tch_20200706-163028_91,AuY3-tCpB
tch_20200706-163028_92,6hdZ-KoqP
tch_20200706-163028_93,fY9H-w4R4
tch_20200706-163028_94,tCeb-uz2W
tch_20200706-163028_95,848K-Z2Pf
tch_20200706-163028_96,dc34-m6KB
tch_20200706-163028_97,7Kx7-mK4g
tch_20200706-163028_98,e842-Tg36
tch_20200706-163028_99,v8L3-edng
tch_20200706-163028_100,EQBo-3vrs
tch_20200706-220859_1,MHQY-psLP
tch_20200706-220859_2,JGy3-W4Yp
tch_20200706-220859_3,cLWU-QFY7
tch_20200706-220859_4,vBdE-9ExQ
tch_20200706-220859_5,FWDe-RWbF
tch_20200706-220859_6,98K8-Y3F6
tch_20200706-220859_7,DUYd-kv8X
tch_20200706-220859_8,r9z3-BanD
tch_20200706-220859_9,HaY6-ye94
tch_20200706-220859_10,pmXv-D6ZN
tch_20200706-220859_11,U4Fd-9t9F
tch_20200706-220859_12,Us2t-Y8yR
tch_20200706-220859_13,c9rs-Fh2t
tch_20200706-220859_14,6r68-bZTY
tch_20200706-220859_15,PRBx-Z8jA
tch_20200706-220859_16,Z4Qy-36qu
tch_20200706-220859_17,AF24-UaJE
tch_20200706-220859_18,ZAq2-7qWP
tch_20200706-220859_19,36Dh-Vch3
tch_20200706-220859_20,JF8U-YGF2
tch_20200706-220859_21,8bj4-A7Ho
tch_20200706-220859_22,PE6E-v4V6
tch_20200706-220859_23,p4Qf-nh67
tch_20200706-220859_24,7L2z-g8uK
tch_20200706-220859_25,YUB4-2yHV
tch_20200706-220859_26,Ur89-2Nec
tch_20200706-220859_27,3bNB-E826
tch_20200706-220859_28,gjFx-UJnk
tch_20200706-220859_29,d9yF-i4zZ
tch_20200706-220859_30,dhFy-VL2n
tch_20200706-220859_31,mfyZ-vM7u
tch_20200706-220859_32,f3q7-3D86
tch_20200706-220859_33,uroU-p2P9
tch_20200706-220859_34,FT7U-46Ya
tch_20200706-220859_35,yicW-7LC9
tch_20200706-220859_36,Lo83-Bn6f
tch_20200706-220859_37,nGtN-2iZ4
tch_20200706-220859_38,AXsy-JCnU
tch_20200706-220859_39,ofnd-fc39
tch_20200706-220859_40,3F4N-z4w7
tch_20200706-220859_41,8rT4-YMfu
tch_20200706-220859_42,C62r-6GzJ
tch_20200706-220859_43,9u79-Xsb6
tch_20200706-220859_44,4Ce3-PkKD
tch_20200706-220859_45,m9tP-w8kY
tch_20200706-220859_46,EhxL-RmfD
tch_20200706-220859_47,BRkG-TQm6
tch_20200706-220859_48,q42Z-CTeT
tch_20200706-220859_49,t7k7-Km87
tch_20200706-220859_50,kbuC-Gi2q
tch_20200706-220859_51,Q7Hp-7ZqH
tch_20200706-220859_52,xkZR-Cw2q
tch_20200706-220859_53,Y4AC-989d
tch_20200706-220859_54,DVwG-9jZu
tch_20200706-220859_55,A3dQ-6HEU
tch_20200706-220859_56,8aF8-9UG9
tch_20200706-220859_57,d3Qk-FuKc
tch_20200706-220859_58,Cj74-7Y9g
tch_20200706-220859_59,i7qt-2rtv
tch_20200706-220859_60,3Rw9-T4Yr
tch_20200706-220859_61,4FL6-k9xf
tch_20200706-220859_62,Ff8b-8mEp
tch_20200706-220859_63,EGMY-VL47
tch_20200706-220859_64,xYms-gv2s
tch_20200706-220859_65,vyat-y89f
tch_20200706-220859_66,JVX4-h9kh
tch_20200706-220859_67,tn8z-9PB8
tch_20200706-220859_68,TAQ7-NQ2L
tch_20200706-220859_69,96ot-z29R
tch_20200706-220859_70,6D6h-mFhx
tch_20200706-220859_71,7k8Z-aqTH
tch_20200706-220859_72,WY9B-LYad
tch_20200706-220859_73,W4oA-d6V7
tch_20200706-220859_74,VC8s-opau
tch_20200706-220859_75,AhXA-k3Fs
tch_20200706-220859_76,W3N7-i3W3
tch_20200706-220859_77,zYu6-PtBL
tch_20200706-220859_78,jJja-zLHW
tch_20200706-220859_79,YAyH-X78U
tch_20200706-220859_80,UyAu-U4hv
tch_20200706-220859_81,a3XY-4JBk
tch_20200706-220859_82,zX83-Muzs
tch_20200706-220859_83,BY8T-7dW2
tch_20200706-220859_84,7qDB-4ReJ
tch_20200706-220859_85,3h89-ZrD2
tch_20200706-220859_86,2QgC-9NB2
tch_20200706-220859_87,EsN6-aX6D
tch_20200706-220859_88,a9sx-ZJUp
tch_20200706-220859_89,H4sQ-78s4
tch_20200706-220859_90,J394-2KVm
tch_20200706-220859_91,PDpG-zBa4
tch_20200706-220859_92,z4Gg-BW7E
tch_20200706-220859_93,276a-39NB
tch_20200706-220859_94,TczR-qkah
tch_20200706-220859_95,iXLu-UVt8
tch_20200706-220859_96,rCHX-nLP8
tch_20200706-220859_97,mEqK-69QD
tch_20200706-220859_98,zaj6-37Y7
tch_20200706-220859_99,d98L-4hA2
tch_20200706-220859_100,praJ-P8rJ
tch_20200707-190049_1,NV7g-4phi
tch_20200707-190049_2,H8ax-WrX4
tch_20200707-190049_3,TFY9-G4Pf
tch_20200707-190049_4,rh82-uhWi
tch_20200707-190049_5,rNZ9-N4Z9
tch_20200707-190049_6,sh8w-Mk7o
tch_20200707-190049_7,BR72-vrtz
tch_20200707-190049_8,NT7b-g86R
tch_20200707-190049_9,32B3-U3wy
tch_20200707-190049_10,w67w-p2sx
tch_20200707-190049_11,Nd4t-aAD9
tch_20200707-190049_12,tTZ6-7NJj
tch_20200707-190049_13,knWc-38Hk
tch_20200707-190049_14,ZHab-Bj43
tch_20200707-190049_15,7V3d-V62h
tch_20200707-190049_16,76Cf-6fUY
tch_20200707-190049_17,3WZa-p7kY
tch_20200707-190049_18,JroH-7Ywr
tch_20200707-190049_19,gre2-vCk4
tch_20200707-190049_20,7Ly6-U9mP
tch_20200707-190049_21,uTc2-qUrU
tch_20200707-190049_22,f673-qUKq
tch_20200707-190049_23,pV94-bXT3
tch_20200707-190049_24,UWFb-w6d2
tch_20200707-190049_25,EsD8-r7o4
tch_20200707-190049_26,LTAw-xgsY
tch_20200707-190049_27,DmZj-tTwY
tch_20200707-190049_28,uqA8-zRZ2
tch_20200707-190049_29,AGTL-DwJz
tch_20200707-190049_30,eAWG-fvkJ
tch_20200707-190049_31,twkh-4uTc
tch_20200707-190049_32,jP3k-WFz2
tch_20200707-190049_33,a2zr-4Lzv
tch_20200707-190049_34,H2Z6-hR9y
tch_20200707-190049_35,7HJQ-jA2V
tch_20200707-190049_36,Nr4B-mABC
tch_20200707-190049_37,U7Vt-Gr2i
tch_20200707-190049_38,Mw4v-d9D6
tch_20200707-190049_39,dLZo-X7N6
tch_20200707-190049_40,3Ti8-oRWF
tch_20200707-190049_41,4Lyb-QVoG
tch_20200707-190049_42,fg6a-BFfq
tch_20200707-190049_43,3nX6-87FH
tch_20200707-190049_44,c9en-N3d3
tch_20200707-190049_45,3Q2y-2TUs
tch_20200707-190049_46,3Jf3-CZq3
tch_20200707-190049_47,zP48-9XDw
tch_20200707-190049_48,ykQG-nL4n
tch_20200707-190049_49,Rjtv-3mA7
tch_20200707-190049_50,UcC2-Uj4z
tch_20200707-190049_51,e3PX-C7hs
tch_20200707-190049_52,MQ9g-W4VP
tch_20200707-190049_53,8463-a8Ev
tch_20200707-190049_54,eXAe-wuF4
tch_20200707-190049_55,R7Ky-grir
tch_20200707-190049_56,26Tx-6JW3
tch_20200707-190049_57,vTK4-A3rY
tch_20200707-190049_58,3swu-giKb
tch_20200707-190049_59,v4iB-39wQ
tch_20200707-190049_60,4pz6-PD2p
tch_20200707-190049_61,hTg6-9XfN
tch_20200707-190049_62,PWzX-EPpK
tch_20200707-190049_63,d2ua-Bad7
tch_20200707-190049_64,8Y9P-62H6
tch_20200707-190049_65,Czhz-CFnK
tch_20200707-190049_66,V3KQ-7EFo
tch_20200707-190049_67,CWhs-9B2D
tch_20200707-190049_68,xACm-Wifo
tch_20200707-190049_69,axbh-WL4U
tch_20200707-190049_70,MrCE-6hta
tch_20200707-190049_71,yLFw-FXzP
tch_20200707-190049_72,DWJt-4xE4
tch_20200707-190049_73,487i-JT79
tch_20200707-190049_74,va4w-W648
tch_20200707-190049_75,xKjx-87wo
tch_20200707-190049_76,9e8F-VE9G
tch_20200707-190049_77,oecJ-7JxF
tch_20200707-190049_78,MDW7-FWAU
tch_20200707-190049_79,Nm2v-3F7y
tch_20200707-190049_80,bNBz-nJq3
tch_20200707-190049_81,jF4x-DtK6
tch_20200707-190049_82,UPkm-Egno
tch_20200707-190049_83,fT79-Qusm
tch_20200707-190049_84,Nj4R-L4fE
tch_20200707-190049_85,8fZ8-W6Bz
tch_20200707-190049_86,J4DQ-3M6i
tch_20200707-190049_87,Eteh-rUKB
tch_20200707-190049_88,6ZaK-GbyJ
tch_20200707-190049_89,t2x7-8s72
tch_20200707-190049_90,4F9a-WMjC
tch_20200707-190049_91,f9n3-C7GN
tch_20200707-190049_92,ogMm-49YC
tch_20200707-190049_93,Ee76-nGcb
tch_20200707-190049_94,ViKV-4R98
tch_20200707-190049_95,K4Lj-N7i8
tch_20200707-190049_96,8Mxm-CnVe
tch_20200707-190049_97,jUY9-ahR3
tch_20200707-190049_98,C9fM-X7Am
tch_20200707-190049_99,2JH4-36fN
tch_20200707-190049_100,xu2i-xTar
tch_20200707-163005_1,Xdmg-N9uV
tch_20200707-163005_2,uvM8-nUWf
tch_20200707-163005_3,6X3v-zd3b
tch_20200707-163005_4,gPi7-4RU7
tch_20200707-163005_5,AviZ-jUHG
tch_20200707-163005_6,97Hm-MXLT
tch_20200707-163005_7,K8qc-UF3W
tch_20200707-163005_8,py9o-3Y7B
