stdextid,grpid,tchextid
std_1594034205853_1,94c13617-8108-44ef-af15-3c38a3cf79a1,tch_20200706-163028_1
std_1594034243998_2,161d5cbb-787e-4ae3-b739-f75f92ac7cc7,tch_20200706-163028_2
std_1594034077966_1,513191c9-dbb0-4331-ac35-834c65b5f534,tch_20200706-163028_1
std_1594034271290_3,978bde2e-a195-4dad-a4a0-2da52357b9bc,tch_20200706-163028_3
std_1594034109186_2,7bb87ff2-6c06-473d-8e79-85a44a8d24c4,tch_20200706-163028_2
std_1594033933907_1,ff689556-905a-4410-999a-f93a3cb122d6,tch_20200706-163028_1
std_1594034294019_4,d31ac65c-a8bd-421e-b06c-921f77a70a09,tch_20200706-163028_4
std_1594034137343_3,6e5ebfbd-b132-42df-a37e-7029710f8733,tch_20200706-163028_3
std_1594033979943_2,7288d738-b948-49e1-a131-60aa0e4145a8,tch_20200706-163028_2
std_1594034318604_5,75380434-43df-47d0-bdcb-9c81cb6d0096,tch_20200706-163028_5
std_1594033796698_1,1fbb0b57-ee85-49a7-a637-afdff5af2670,tch_20200706-163028_1
std_1594034155141_4,2dca9d77-641f-4197-91b4-44db3367122e,tch_20200706-163028_4
std_1594034342686_6,bdae439c-d667-4b65-bb0d-15053366e664,tch_20200706-163028_6
std_1594034002617_3,f5c4643a-3b54-43ac-8185-e8f25e42e9e7,tch_20200706-163028_3
std_1594033843625_2,b7bd6d31-a949-4e1c-8b45-b39c6c721631,tch_20200706-163028_2
std_1594034193810_5,0784b394-958f-4116-977d-3e196b936c80,tch_20200706-163028_5
std_1594033862640_3,e143fb8c-ad74-40c6-9d75-80fd6d697c36,tch_20200706-163028_3
std_1594034211611_6,7be87a7a-8e27-4269-9f10-77bd166e64c2,tch_20200706-163028_6
std_1594034016108_4,281de4e4-6585-47bf-910a-8cda825429bd,tch_20200706-163028_4
std_1594034384775_7,148cdf17-1795-43f9-aa21-f3d0bb8c3a05,tch_20200706-163028_7
std_1594034059913_5,0e3e87f2-42ff-4981-9e1e-98e8323952b5,tch_20200706-163028_5
std_1594034403595_8,ee2acaca-6e1c-499b-862c-38832e0c7269,tch_20200706-163028_8
std_1594034077834_6,4f435efc-59ee-41ad-9464-bbe06219b166,tch_20200706-163028_6
std_1594034261283_7,2aaed6a3-9f5f-421a-8b4f-6c68a5c43921,tch_20200706-163028_7
std_1594033874290_4,d3d092b1-f9f8-487d-add8-9a3928526a9e,tch_20200706-163028_4
std_1594034433658_9,72746a62-73db-462d-9860-02204dc9c74a,tch_20200706-163028_9
std_1594033931261_5,35e5bd90-bfc8-4053-b45c-94b2ebaa4136,tch_20200706-163028_5
std_1594033945378_6,5356b4b5-f6e8-468e-8b22-704c9c1998e0,tch_20200706-163028_6
std_1594034127317_7,ff36ae38-dca8-407e-8abd-ba0025d46f49,tch_20200706-163028_7
std_1594034265508_8,6b7eaca5-e5c8-4469-b0ac-35ff8f25c7c8,tch_20200706-163028_8
std_1594034304832_9,969b3204-fef5-4bdf-959d-8a8cbc9e2fa7,tch_20200706-163028_9
std_1594034474895_10,80898100-2ec8-461c-8f68-f2123b0baebe,tch_20200706-163028_10
std_1594034491804_11,3ad11215-8ebf-46dc-ac7e-3de2446ea1d6,tch_20200706-163028_11
std_1594033993578_7,5d2e35bb-9184-414d-ae2d-ae4a827b620b,tch_20200706-163028_7
std_1594034128078_8,11e61618-8b42-4c36-86c5-9316560c6e55,tch_20200706-163028_8
std_1594034166615_9,7f562748-0d44-4d2c-945f-dee2a6de5722,tch_20200706-163028_9
std_1594034340851_10,791518a5-4072-4f0a-8e62-61bcc4f4681c,tch_20200706-163028_10
std_1594034353720_11,7720698b-f581-4090-b6d6-50f805ef403b,tch_20200706-163028_11
std_1594034001366_8,25c59eef-813a-4c31-a9a0-b75eb836977b,tch_20200706-163028_8
std_1594034536120_12,0bbcf499-0848-4c32-9381-87317f8c6bba,tch_20200706-163028_12
std_1594034041224_9,b61132d3-3465-4cb5-8662-f83cb54b418e,tch_20200706-163028_9
std_1594034211817_10,89a6324f-6e2f-468e-8d45-ea68ead34140,tch_20200706-163028_10
std_1594034558342_13,22bd9722-f39a-484d-aa6a-0ff94e32f226,tch_20200706-163028_13
std_1594034215204_11,2a1dead6-4a5d-4693-b7aa-728cbc0a3d97,tch_20200706-163028_11
std_1594034399688_12,e92c00f5-7e9b-4131-b984-e6b96d8c661f,tch_20200706-163028_12
std_1594034591981_14,07fc649e-27ca-4519-bdfd-688b4e12f786,tch_20200706-163028_14
std_1594034082031_10,bbe59838-4368-4ddd-8374-a60692ee97ce,tch_20200706-163028_10
std_1594034420638_13,24f3877f-521f-4537-8dd3-54c0e89b4f80,tch_20200706-163028_13
std_1594034086786_11,add9c72a-2754-4e26-bd24-dacd90ae568e,tch_20200706-163028_11
std_1594034611817_15,14a371cf-4b54-401c-8df0-dedfc3a97c3c,tch_20200706-163028_15
std_1594034265508_12,3e2537dc-7958-43ee-a897-2c9218943015,tch_20200706-163028_12
std_1594034464151_14,6ffde139-d84c-411d-9db3-42d867b178df,tch_20200706-163028_14
std_1594034289129_13,2807eb2c-8d61-4035-a003-46b7e1edbf7c,tch_20200706-163028_13
std_1594034474302_15,563aef2f-6e6d-403d-a2cb-c4c6f371f0b7,tch_20200706-163028_15
std_1594034131185_12,83c2bc32-db84-4ea8-87f5-b0940eaf5161,tch_20200706-163028_12
std_1594034325702_14,5fa8a8c8-9a08-40af-8d21-955c22fac71e,tch_20200706-163028_14
std_1594034668184_16,22303fb6-0bb4-4524-bf9b-8100fddb780c,tch_20200706-163028_16
std_1594034149977_13,a895ca9e-eeec-40bd-9b76-a7152f2eb7f3,tch_20200706-163028_13
std_1594034339367_15,ab9e85d4-bf65-4d22-8375-f4790a1bd760,tch_20200706-163028_15
std_1594034184895_14,d67fb031-0cff-45e8-851d-77444362f73c,tch_20200706-163028_14
std_1594034519715_16,5a29b7fe-8a0d-4da5-bc4d-a7570338f0ab,tch_20200706-163028_16
std_1594034711539_19,446e7f9a-3dfb-457f-8c87-23eba25d1086,tch_20200706-163028_19
std_1594034702772_17,3b682479-ecdf-4e01-9afa-1ffed3d92792,tch_20200706-163028_17
std_1594034718963_18,4e5b260a-3486-4e6e-90f0-98001598bab4,tch_20200706-163028_18
std_1594034206437_15,8a5a6a71-243e-431d-b09e-931f3b269bb6,tch_20200706-163028_15
std_1594034391270_16,4dfaef1c-be98-444a-b4b1-b43d95533244,tch_20200706-163028_16
std_1594034575784_19,c570c24e-fdcf-41f5-a1bd-53d9efbe4ef9,tch_20200706-163028_19
std_1594034567584_17,0d105cec-13fa-4a06-87c7-b8b72fa297b0,tch_20200706-163028_17
std_1594034585044_18,f0b420ac-3c34-4f45-9f2f-93ca21e065f7,tch_20200706-163028_18
std_1594034777179_20,f51d4093-3da3-4861-9507-b737d7e34ffd,tch_20200706-163028_20
std_1594034252534_16,2e9a4675-8153-4933-a001-79ec0bfa2feb,tch_20200706-163028_16
std_1594034448536_19,6528dd73-ffc5-4736-9c07-9292b64ea7bf,tch_20200706-163028_19
std_1594034432623_17,14ca58ac-0029-47a9-982c-7cda2507fe57,tch_20200706-163028_17
std_1594034456645_18,ba1c842d-e31f-4fec-93b4-5e27cd43d11e,tch_20200706-163028_18
std_1594034643688_20,ce69863f-d0a4-4467-a726-a0da471492ff,tch_20200706-163028_20
std_1594034303033_17,b8f86a4d-c78e-494c-be2e-1e0229070252,tch_20200706-163028_17
std_1594034317008_19,fb7b0865-514f-459a-a61b-533fbf21e548,tch_20200706-163028_19
std_1594034819961_21,b02c289a-482b-4b02-a86c-d7c94ac375d0,tch_20200706-163028_21
std_1594034318628_18,cb2f3d25-e255-4496-897a-ea97eaec5258,tch_20200706-163028_18
std_1594034837170_22,6a7ceddb-37d4-414e-b86c-0ea54981e56b,tch_20200706-163028_22
std_1594034852211_23,289a86b4-518b-4e8c-a3f6-66faba20c043,tch_20200706-163028_23
std_1594034512751_20,6a96f0ed-20d1-451b-9d48-1e87c3bd8311,tch_20200706-163028_20
std_1594034687698_21,369dd6ec-195c-406c-ae1e-0aad1a59e0e6,tch_20200706-163028_21
std_1594034702450_22,481a3a13-0c9c-4917-a249-328da320bb4c,tch_20200706-163028_22
std_1594034377640_20,33c30778-3ebc-49b5-b3fd-ede01d2c40a7,tch_20200706-163028_20
std_1594034721253_23,bad9423e-244b-4295-b866-27369fc79fb7,tch_20200706-163028_23
std_1594034903485_25,708c12c7-a749-4e40-9a0c-2694c0e2b32b,tch_20200706-163028_25
std_1594034549924_21,61ac481a-1e7d-46ff-974d-44b5b1182493,tch_20200706-163028_21
std_1594034573409_22,488f0b60-1afb-4d06-a517-4f590d5089a3,tch_20200706-163028_22
std_1594034906015_24,afbb2cb9-53fe-40a1-82ff-d8da99931479,tch_20200706-163028_24
std_1594034592147_23,01a554c4-3da5-4e90-8c72-fc6470b76437,tch_20200706-163028_23
std_1594034772549_25,ad7153bf-d6f1-4387-9fb2-15bb62f7ff68,tch_20200706-163028_25
std_1594034443400_22,462a4ce2-e9c5-4b61-bb13-991440e0f71f,tch_20200706-163028_22
std_1594034774161_24,4e046a99-3bd8-43aa-835c-e97c24d57b6c,tch_20200706-163028_24
std_1594034426840_21,c7df2c63-c8b5-44d2-9f17-b33df1ee0300,tch_20200706-163028_21
std_1594034455593_23,d5223b3f-488c-4b9b-b87d-8bdab98d75fa,tch_20200706-163028_23
std_1594034972868_26,c5550f27-201c-4cab-b605-588c989ed28a,tch_20200706-163028_26
std_1594034966335_27,a133b447-3bd8-4854-98fb-8aa319346402,tch_20200706-163028_27
std_1594034644354_25,b451406f-09c7-46fe-8389-b5e2092318cc,tch_20200706-163028_25
std_1594034634111_24,2fe3e478-9979-4f4c-9bba-81efdf1793fa,tch_20200706-163028_24
std_1594034513212_25,efd73af5-797c-4f0c-a700-cb7984118e3a,tch_20200706-163028_25
std_1594034837244_27,3432f963-475b-4fe3-9e66-bd7f0c0ea09a,tch_20200706-163028_27
std_1594034836544_26,bfe88323-92bb-4531-bb8e-41384e1104f3,tch_20200706-163028_26
std_1594034498373_24,90c7a027-6e0d-40aa-953c-4cdf7944963b,tch_20200706-163028_24
std_1594035039211_28,a76f6868-8914-403f-a02f-166a97748ffd,tch_20200706-163028_28
std_1594034695397_26,2cb5a9ae-f6fc-4b35-a8d6-e0ce84e59853,tch_20200706-163028_26
std_1594035052870_29,45e64f76-d4cb-4932-b400-9eb2cbe8db45,tch_20200706-163028_29
std_1594034707704_27,9f093b4f-109d-4969-b3d6-2b6f798423d9,tch_20200706-163028_27
std_1594035051085_30,8820d27e-42ee-414f-bb5e-d799af1d7aaf,tch_20200706-163028_30
std_1594034905784_28,2192dda3-c7c7-4726-b4f9-613f447e563a,tch_20200706-163028_28
std_1594035074080_31,02457710-aedb-46f2-adf0-b9257a9210a8,tch_20200706-163028_31
std_1594034560566_26,b05fb9aa-8db9-44c6-ab13-f6491c1edb11,tch_20200706-163028_26
std_1594034582800_27,03ae8aac-384a-4cf1-9f65-589bcbdeac11,tch_20200706-163028_27
std_1594034919679_29,e91ee8db-157b-4663-900d-6e96532cd2cc,tch_20200706-163028_29
std_1594034912869_30,a0842e0d-711d-4d87-b170-ae3e7ff8b18f,tch_20200706-163028_30
std_1594034766108_28,e666ec6f-684c-4d80-8a47-33d53bf32b41,tch_20200706-163028_28
std_1594034945663_31,b1f103f7-1f63-4faa-bae4-6805b9901af2,tch_20200706-163028_31
std_1594034792495_29,7705aae2-bca3-49a4-a4b5-e00932d8cd42,tch_20200706-163028_29
std_1594035130090_32,64721577-6759-4206-ba3c-b88f87199423,tch_20200706-163028_32
std_1594034779711_30,8c42a2e6-6d30-4606-9aa8-27e06fb59e63,tch_20200706-163028_30
std_1594034628009_28,f631d728-7922-4113-8134-89610d4410f8,tch_20200706-163028_28
std_1594034815462_31,2710ef9d-8fd7-4bd5-8ab3-8d29cef605e5,tch_20200706-163028_31
std_1594035158356_33,913c3222-3491-4dc4-bc65-75b416d42f41,tch_20200706-163028_33
std_1594034653092_29,47759711-9437-4aec-ad8b-568c255482e9,tch_20200706-163028_29
std_1594034995283_32,83b0da12-3876-4cf1-bcb3-edf9858c7a7d,tch_20200706-163028_32
std_1594034651168_30,c60f3244-b9c9-4d47-8828-ccfb5b6a993b,tch_20200706-163028_30
std_1594034684456_31,de5a0ad4-ca72-4f82-8044-0f9c0e7e8f53,tch_20200706-163028_31
std_1594035022376_33,e84db458-1c48-4564-bf0a-8510d9d3b5d7,tch_20200706-163028_33
std_1594034862246_32,dde94752-5fb9-40cb-8926-8776362b2131,tch_20200706-163028_32
std_1594035214954_34,68a94fca-1368-48e1-bb9f-1a1eb0270b90,tch_20200706-163028_34
std_1594035229273_35,b03aeb9c-99b6-4fa8-a1b3-3ef317de800c,tch_20200706-163028_35
std_1594034882968_33,3b600815-922c-49ac-b403-528fcf3766c0,tch_20200706-163028_33
std_1594034732166_32,8cce005b-bacb-4234-a46d-6572f47d5707,tch_20200706-163028_32
std_1594035081779_34,2a504717-bdef-45b3-b184-3452074a1a5a,tch_20200706-163028_34
std_1594035084468_35,eb04879b-e67a-4818-9347-bc4d4b11cb90,tch_20200706-163028_35
std_1594035265293_36,80970c4b-0692-4709-bb86-b9f5aea1f9c6,tch_20200706-163028_36
std_1594034759456_33,7af44c17-0829-47ea-b170-9201eb577f14,tch_20200706-163028_33
std_1594034949159_34,9634fbeb-8344-432e-9cd9-e2b001fa43a7,tch_20200706-163028_34
std_1594035279121_37,ad052df5-5fa0-48d7-8762-cc269e221d38,tch_20200706-163028_37
std_1594035129303_36,12d5213c-2c3d-4677-93e3-e6f710e06cca,tch_20200706-163028_36
std_1594034951452_35,154e0d47-0f17-46e2-a206-abd5a818c99a,tch_20200706-163028_35
std_1594035313077_38,6fe3d88a-77c5-4c96-b2d5-594485856fe7,tch_20200706-163028_38
std_1594034807883_34,0afdc099-e3e2-4134-b7fd-8f70fe6c06d8,tch_20200706-163028_34
std_1594035145453_37,0f40441c-b95b-4676-8054-9dac8929dd1d,tch_20200706-163028_37
std_1594034823761_35,21921440-9ade-458a-8474-30050dee577d,tch_20200706-163028_35
std_1594034985961_36,bc58cd24-de8e-40bf-b28b-9878589c9c57,tch_20200706-163028_36
std_1594035175545_38,be86ac30-0163-4bf8-a18d-31d0b976076e,tch_20200706-163028_38
std_1594035011556_37,2cda8af5-a06d-4904-9b95-29d89d6becd7,tch_20200706-163028_37
std_1594035379043_39,41a2e333-0143-49c4-8902-f7f32867d6ff,tch_20200706-163028_39
std_1594035377651_40,83ec9fea-3b3c-4414-b2d0-bc8490d6969a,tch_20200706-163028_40
std_1594034849194_36,9c94d118-623a-4354-b40f-62e52dd07f0d,tch_20200706-163028_36
std_1594035042958_38,56f656a2-abbd-4ed6-b607-0541e8cf11c6,tch_20200706-163028_38
std_1594034878288_37,e01dc1ba-5b7e-4f0b-aa1f-0fb8057d358b,tch_20200706-163028_37
std_1594035401657_41,2f78f915-ff3c-4f76-ad84-e98bd93391f7,tch_20200706-163028_41
std_1594035242677_39,ff121faa-6c0c-4d8e-9769-4ef94f7cf3e7,tch_20200706-163028_39
std_1594035243885_40,6bc5d33d-8100-4097-9018-4b1f70350beb,tch_20200706-163028_40
std_1594034908093_38,4f45bc98-1fd9-438c-8445-d24a0edd6312,tch_20200706-163028_38
std_1594035266745_41,3d0915f2-493c-4e8b-ab67-6f9d7539832e,tch_20200706-163028_41
std_1594035439236_42,573bebf1-2c63-4416-b319-cae4861c8565,tch_20200706-163028_42
std_1594035106164_39,dacaec4f-f35c-41c2-8002-5cfbc906fc5f,tch_20200706-163028_39
std_1594035117790_40,126b52dd-96f9-4cc5-8b42-7a048a97ea73,tch_20200706-163028_40
std_1594035135444_41,c766ba23-2c81-44f2-9d63-7772a15b877f,tch_20200706-163028_41
std_1594035304344_42,780d97e3-62fa-44ca-85e3-41197c16a26a,tch_20200706-163028_42
std_1594034964399_39,99388a45-f275-46f8-bb63-68a99bb8c4bd,tch_20200706-163028_39
std_1594034988603_40,df2623ca-bb17-43d3-bcf7-e7ecb7d76ee7,tch_20200706-163028_40
std_1594035485747_43,0798cbad-e25e-4766-ae01-a3c4c1c14510,tch_20200706-163028_43
std_1594035509612_44,2cfdbbae-380c-4c90-9680-a3b9c4e05e5f,tch_20200706-163028_44
std_1594035007165_41,3d672f51-eff7-48cd-b84a-43bcc145f7fe,tch_20200706-163028_41
std_1594035175930_42,085d5044-78e2-42eb-b931-8a7de11fb940,tch_20200706-163028_42
std_1594035354071_43,c2d706c5-3641-4076-9eea-944906c77820,tch_20200706-163028_43
std_1594035369875_44,c31bd18a-a6ac-4635-8357-46d61fa2aa48,tch_20200706-163028_44
std_1594035553908_45,3c670e2e-6e0d-48c6-9711-83d1417cbb3a,tch_20200706-163028_45
std_1594035038291_42,af095fb8-1bb4-475f-b6c9-4df0ca19ec00,tch_20200706-163028_42
std_1594035553448_46,cef011ef-ef2c-4ff9-816b-9b835199acfa,tch_20200706-163028_46
std_1594035216069_43,6293b904-36f8-4f05-8cd3-42d853792cdb,tch_20200706-163028_43
std_1594035579041_47,f87a8907-9f59-4ff7-ad26-853a4872e895,tch_20200706-163028_47
std_1594035239294_44,36b47818-4769-4e34-bcf7-eb9b452a2e39,tch_20200706-163028_44
std_1594035414921_45,72f0adc8-6999-44eb-9fef-c0e7f6c9b7ae,tch_20200706-163028_45
std_1594035420813_46,d34fc99a-098b-40f9-9169-85a5670079a2,tch_20200706-163028_46
std_1594035069879_43,4de49e76-adca-4f20-a720-a2e991246e38,tch_20200706-163028_43
std_1594035603149_48,5039a2b0-768c-415d-b9ee-3dd918500c6c,tch_20200706-163028_48
std_1594035449474_47,b7c7914f-167c-488c-b3a8-78e3c99e0481,tch_20200706-163028_47
std_1594035093546_44,164d113e-65d8-4665-9d66-91119337251e,tch_20200706-163028_44
std_1594035277811_45,c5f32232-3afb-4d31-981d-f0bbc2f68080,tch_20200706-163028_45
std_1594035287998_46,c1dcd801-9ae0-41eb-a870-2004b8af5872,tch_20200706-163028_46
std_1594035639232_49,48b6f3e0-5ced-4e31-8bd9-ac85d773f1f8,tch_20200706-163028_49
std_1594035474348_48,f0503242-d21f-4b4e-8291-5219f5332264,tch_20200706-163028_48
std_1594035316715_47,c57bf633-eee0-4509-95df-68d23b6b0613,tch_20200706-163028_47
std_1594035140557_45,b3c4bca1-fbec-4114-80c7-2b591d102fb6,tch_20200706-163028_45
std_1594035149128_46,90010bda-5601-4ffe-9794-dbb800017ca2,tch_20200706-163028_46
std_1594035503027_49,20570266-b25b-4246-acfa-816e232e79c9,tch_20200706-163028_49
std_1594035342295_48,aa647f1d-c6ce-42d7-8491-f18bfadb0337,tch_20200706-163028_48
std_1594035692758_50,6256ce1d-75f5-4205-95e4-3e55102ca307,tch_20200706-163028_50
std_1594035190729_47,3470735a-bfb7-4596-8f86-13d4f62070b9,tch_20200706-163028_47
std_1594035693371_51,79c923b9-afce-4d0e-9fbc-bdb5d1f12dbc,tch_20200706-163028_51
std_1594035372898_49,118feac9-d0f8-485a-850c-668357b87418,tch_20200706-163028_49
std_1594035212143_48,7312b377-9c59-496d-a15b-403b1f0cbf14,tch_20200706-163028_48
std_1594035561475_50,31da3e25-c3c3-4b31-b616-1d24d26e7372,tch_20200706-163028_50
std_1594035563762_51,cc37b138-66cc-432e-8374-99ace32aaddb,tch_20200706-163028_51
std_1594035233644_49,54a53f3c-c60d-4517-8c01-149b92145971,tch_20200706-163028_49
std_1594035753063_52,ade549f6-6f44-42d8-b953-e89e43bed3cc,tch_20200706-163028_52
std_1594035417014_50,4b438e08-5fb0-4668-9b78-94f6466507d9,tch_20200706-163028_50
std_1594035426687_51,7c60729d-4982-494c-bac5-cb87675434aa,tch_20200706-163028_51
std_1594035780439_53,7bcc11cc-bdb0-48f2-af26-ddb5972f5e10,tch_20200706-163028_53
std_1594035626844_52,ca574087-d9e9-44ae-a1aa-a1271a186b16,tch_20200706-163028_52
std_1594035805372_54,4661f795-cb56-4040-ae62-c2253b24c116,tch_20200706-163028_54
std_1594035290314_50,fc481a5c-7a21-4f94-807a-c18853275f63,tch_20200706-163028_50
std_1594035298254_51,762b9254-e3b3-4a8f-83d6-63858b657058,tch_20200706-163028_51
std_1594035643763_53,36366a89-641f-4544-be48-ff772df5fb7b,tch_20200706-163028_53
std_1594035492217_52,e68e9707-37d3-4d53-9723-98feb590a6cb,tch_20200706-163028_52
std_1594035667664_54,d2c53b42-f2f1-4c89-87ad-8e5248ad378b,tch_20200706-163028_54
std_1594035841197_55,48373ccd-701b-495b-8e5d-d48def7a17a8,tch_20200706-163028_55
std_1594035852343_56,41f551f0-e4af-4a36-a5ee-81013664e1e7,tch_20200706-163028_56
std_1594035510891_53,d40cad27-74b9-4311-9c63-a0b9dd7912ee,tch_20200706-163028_53
std_1594035357182_52,ba88db0b-ff64-4753-bb3f-c7979f8f077b,tch_20200706-163028_52
std_1594035876141_57,183d5fa8-00cb-449a-a9f0-932d215c96b0,tch_20200706-163028_57
std_1594035539680_54,da71242d-3fc5-4d75-96aa-2a6246032050,tch_20200706-163028_54
std_1594035707253_55,86ed60bc-e3be-4b2a-a0ec-36e54088a481,tch_20200706-163028_55
std_1594035717378_56,71c35fd0-819a-4804-874c-a724d15d8a06,tch_20200706-163028_56
std_1594035374616_53,1a6cd456-ec96-4f74-aeab-373de4a30f5d,tch_20200706-163028_53
std_1594035740836_57,1b3a2613-c5f8-477e-a7c2-d8c77fff508a,tch_20200706-163028_57
std_1594035407445_54,9c91f9f1-0448-41a8-b39f-962ba61adeef,tch_20200706-163028_54
std_1594035918365_58,b01dd411-c28b-4221-b4b6-1e97b4597d99,tch_20200706-163028_58
std_1594035579243_55,0eb2d24e-b662-49b3-b390-b44994edab64,tch_20200706-163028_55
std_1594035582548_56,6fe42879-6326-4e0a-908f-8e2787e3362b,tch_20200706-163028_56
std_1594035943361_59,6c06806f-54f3-49c8-bf69-f02f5cbdcf16,tch_20200706-163028_59
std_1594035614456_57,d3f17dbf-4e4d-4815-adb9-7a482c34173c,tch_20200706-163028_57
std_1594035445815_55,12b8b108-5bcd-413a-b4db-0b235c29a6f1,tch_20200706-163028_55
std_1594035781646_58,b32357f8-2d92-4fb9-a07e-2eb4c17a2bca,tch_20200706-163028_58
std_1594035455709_56,7597dfa7-36cc-498c-9e47-ee2dddabd3db,tch_20200706-163028_56
std_1594035974469_60,d0054202-ca8d-49e9-8734-65203aa6ffe8,tch_20200706-163028_60
std_1594035804445_59,d1f9821d-7a2d-42e1-b97d-ca15dded51e9,tch_20200706-163028_59
std_1594035480991_57,a171d491-a55c-4d5d-b9c3-cba78fe22e54,tch_20200706-163028_57
std_1594035643915_58,c1ecbd09-c440-4f2e-827e-1fd481a7f3a9,tch_20200706-163028_58
