extuserid,classcode
tch_20200813-110438_1,P63F-GRs9
tch_20200813-110438_2,7AiR-Cu6b
tch_20200813-110438_3,poiG-sEX6
tch_20200813-110438_4,Mgvm-24bf
tch_20200813-110438_5,Rin7-6F2k
tch_20200813-110438_6,8d86-m8oM
tch_20200813-110438_7,Hvwg-Aju4
tch_20200813-110438_8,3scQ-wD7h
tch_20200813-110438_9,MniV-BxVa
tch_20200813-110438_10,J4Ti-cg6g
tch_20200813-110438_11,6V4G-Kf68
tch_20200813-110438_12,wjms-G8b9
tch_20200813-110438_13,aQ7i-UY2t
tch_20200813-110438_14,a97M-i2XA
tch_20200813-110438_15,By7i-ZLP2
tch_20200813-110438_16,kqif-7cCq
tch_20200813-110438_17,mQ6Q-V8cv
tch_20200813-110438_18,8c4h-w4yu
tch_20200813-110438_19,N2VJ-T4sX
tch_20200813-110438_20,tf3k-8EUm
tch_20200813-110438_21,9vxT-8TDC
tch_20200813-110438_22,7i7s-29wf
tch_20200813-110438_23,Q2QX-aE8B
tch_20200813-110438_24,yiw4-ARHa
tch_20200813-110438_25,rAdz-9u9Z
tch_20200813-110438_26,h8iM-96Wx
tch_20200813-110438_27,8sA7-W2ya
tch_20200813-110438_28,jPf3-Uur2
tch_20200813-110438_29,y7NQ-Zorj
tch_20200813-110438_30,JH7x-tv2e
tch_20200813-110438_31,uKZF-836V
tch_20200813-110438_32,bgwu-f6F9
tch_20200813-110438_33,GTgG-nNyw
tch_20200813-110438_34,A674-anUB
tch_20200813-110438_35,aW3f-H72t
tch_20200813-110438_36,Tm6F-38v7
tch_20200813-110438_37,ef3P-kg4P
tch_20200813-110438_38,4eKF-8Ax3
tch_20200813-110438_39,rHT9-vB3k
tch_20200813-110438_40,u79j-ofXT
tch_20200813-110438_41,D9Ax-9QAN
tch_20200813-110438_42,x68K-4Di2
tch_20200813-110438_43,49Zf-VPL6
tch_20200813-110438_44,t4pK-Rc43
tch_20200813-110438_45,WeYR-49fw
tch_20200813-110438_46,z48c-3tcT
tch_20200813-110438_47,njbh-q4iF
tch_20200813-110438_48,LX3t-q6tw
tch_20200813-110438_49,ie7o-896u
tch_20200813-110438_50,rBeH-8xH8
tch_20200813-110438_51,t6tk-XBu7
tch_20200813-110438_52,ujG2-L9be
tch_20200813-110438_53,RezA-m2w6
tch_20200813-110438_54,mcCv-kjTc
tch_20200813-110438_55,DsM3-ZqLW
tch_20200813-110438_56,83Ge-96QT
tch_20200813-110438_57,hTe8-zVB7
tch_20200813-110438_58,ahMK-YWEJ
tch_20200813-110438_59,Z9eA-V9f6
tch_20200813-110438_60,98Wb-yeCQ
tch_20200813-110438_61,M428-36Pu
tch_20200813-110438_62,ZEuG-2mKx
tch_20200813-110438_63,H8uv-Cya7
tch_20200813-110438_64,6jqT-wiW6
tch_20200813-110438_65,LfE7-Y2a3
tch_20200813-110438_66,eTAy-Z2t3
tch_20200813-110438_67,c9jY-42b4
tch_20200813-110438_68,xt3y-aDE6
tch_20200813-110438_69,f4kK-nFbf
tch_20200813-110438_70,jkan-e8ar
tch_20200813-110438_71,t8TV-Cb2s
tch_20200813-110438_72,zXVh-sDag
tch_20200813-110438_73,9jdQ-6LWu
tch_20200813-110438_74,4tN7-FztX
tch_20200813-110438_75,C4V2-DWyW
tch_20200813-110438_76,2vUt-HeNe
tch_20200813-110438_77,6bUX-J6W9
tch_20200813-110438_78,QU3k-2bXJ
tch_20200813-110438_79,8A9b-kdkj
tch_20200813-110438_80,rQHL-T4s2
tch_20200813-110438_81,8J94-RUq6
tch_20200813-110438_82,b74r-fLbZ
tch_20200813-110438_83,bmwb-42JF
tch_20200813-110438_84,uAKp-yEg4
tch_20200813-110438_85,rD4b-CqYa
tch_20200813-110438_86,3xzB-xjUD
tch_20200813-110438_87,VU97-wPy9
tch_20200813-110438_88,8o3w-3kia
tch_20200813-110438_89,hR7n-v7ob
