teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200512-175022_2,class_20200512-175022_2,9d6E-CDgh,8d438a68-1fd5-43c2-a102-fe12cdc4b3f5,24f7b436-5146-4bbc-b835-cfa729938694,593a2a26-82bf-44ea-81b2-70d53a63a3ee,13518167-c6e4-4553-8d7e-083966cc978a,f5223f13-c082-474e-a2c4-b8ff1d4fb776
tch_20200512-175022_1,class_20200512-175022_1,Qr6f-7mt2,abbcdd21-8d62-4106-8dd2-1ba963679069,e806f60d-ce10-45c3-a8da-a18e6872cef2,32b8ace7-84a8-4ada-bc4d-54934ee1e5c3,5244b404-1148-49fe-adea-03c75b412b70,a2bdeb9e-4b21-44f1-a652-3ffcf1660a5b
tch_20200512-175022_3,class_20200512-175022_3,r2E2-7dHm,5d0bb650-67ad-4014-a92f-162ccfcbadbe,27a7ea8c-0601-4649-a7b3-b7bd2f75ae57,3630a478-bb2b-4fd9-ba11-d0c3409f7ecc,53b80e4f-b899-4f3e-94c3-50bd2567b072,9c1dfc0b-8f60-4ca3-8319-bf16e0cab6ca
tch_20200512-175022_4,class_20200512-175022_4,eydA-Ktpb,0f172e3a-3d88-4e27-89b0-d89f47903f8f,379364a3-d638-4b36-9ee4-48be47540ca8,4d145e5a-2a8a-4371-9a1f-a1bf7e4a99df,bc5388dd-12c6-469a-ad54-f0cfc7a39248,a13cbb13-6e6b-4a58-998f-cb1d6c83f1e2
tch_20200512-175022_6,class_20200512-175022_6,4D8v-9uBH,e0443d94-1e11-44b7-9c39-5d45ce259f10,6fcc0784-7db1-41a4-9323-b1320b648b7b,eefe26bf-25d1-4a17-a020-7121c97dc2e5,a879915d-5fe1-438f-8f6f-883da7058732,caef34c6-fc40-4461-9c66-304353eff2a9
tch_20200512-175022_5,class_20200512-175022_5,Evz3-P3W9,2f1543f5-4893-4bdb-931f-19d39c9e8552,c4ad2c70-7fc2-4624-a0eb-f0d3a46aad90,9e4c6e85-03a5-4c07-bceb-39309338a6a5,86b48e68-320f-468f-9c13-9b3e1363ae1a,213638aa-fd0b-43ae-90c4-24b17571a2d2
tch_20200512-175022_8,class_20200512-175022_8,oitU-x8D6,a712dfd9-4c03-4192-b115-77a17ed7e714,de616212-21e3-4458-b427-f06253e429b9,56da529b-5a42-49b4-a796-2ace83cdf9a0,e2dbe714-5130-4e98-8672-f21cc4130b9e,04b30014-b6f4-400e-ab34-ce8397efbe02
tch_20200512-175022_7,class_20200512-175022_7,Ko2J-p6xq,d630496b-b784-4639-9241-c057a28cd3b1,d31d543f-bd84-478e-97a5-d243ea629f8c,122ef107-489f-43e5-b24a-e4c94c1013d9,17f529ff-3b6b-41bc-b3d7-3bde00f2087d,6147a3c6-2571-484f-8d5d-38fa6891370c
tch_20200512-175022_9,class_20200512-175022_9,nX4w-Z68D,6b9de092-87d1-455b-83b7-f48c67420628,666e0e99-9e81-4bee-8251-848800955c54,fc4f475c-2f8a-4620-a955-67fad41d3832,9cf0770f-6025-47d4-815f-19b78b8e6f00,e18f330e-b748-4f6b-975e-80ffa6dcc8c5
tch_20200512-175022_10,class_20200512-175022_10,24Vi-x6Wk,89c53b34-dca6-4c8c-8fea-b383d1d6dfb2,cb136965-5fd3-454c-af38-d2e0038a888d,bcccf180-82d4-4df3-ba02-8b81de8d206f,b661e676-5fef-4263-84a3-c13e7479ca1f,28b87ea2-f65c-497e-ba07-663dbf0b1672
tch_20200512-175022_11,class_20200512-175022_11,76ip-eVuT,d3f19f08-7177-418d-95e3-fed1e1b4d8dd,2e64b7e3-2a9b-4898-ad01-993c8c497621,6f562e0d-a049-425d-a297-64587501fac3,83b95947-cd58-406c-acd7-ecc4b0f354b8,f54fee4d-41ef-435a-8b0e-5d526f2b7cb9
tch_20200512-175022_13,class_20200512-175022_13,EA79-C86T,d846dd38-ca73-4a80-9369-d53850e731c8,47f33129-b317-4396-b848-abc8c66740b6,212fe083-4cff-4d92-8231-095911d18fa0,fc89acf5-d365-4286-8b13-984088f8d33e,f0f12e2c-ba6a-4486-a1f5-bbef85afe2a4
tch_20200512-175022_12,class_20200512-175022_12,3sVT-JkHJ,e2b9f365-f4b3-4d6b-8d17-b8cd0f26f0fa,4d0d9bdd-fda0-4a97-ba7f-e182c3dc9d46,d1ea2f90-e281-429c-aba0-743bcd713de3,f80bbca2-fb07-4aa2-8e40-2976d39a8771,20f59eb1-6a27-4c8d-8716-994a1b2258b2
