studentextuserid,classcode
std_1589433721826_1,f3qn-Mq29
std_1589433723880_2,zKzp-F43U
std_1589433725836_3,32n3-u9jt
std_1589433727852_4,keKn-9AdJ
std_1589433730707_5,64jD-8PW7
std_1589433731851_6,gU9D-Zr7e
std_1589433733855_7,U9s4-7V23
std_1589433735859_8,737C-e426
std_1589433737864_9,eZgb-x2J8
std_1589433739869_10,6x74-Li2G
std_1589433745883_13,tk2Y-u7da
std_1589433749891_15,RpE9-8KzR
std_1589433751906_16,wGtf-V3mb
std_1589433753907_17,3yDg-Cwm6
std_1589433755907_18,3yVs-3c4E
std_1589433758306_19,98Uh-6PbF
std_1589433759917_20,ukiF-ta6s
std_1589433761937_21,K8WV-z63e
std_1589433763927_22,738c-82Le
std_1589433765933_23,6A2s-Fyk6
std_1589433767937_24,7m47-yrf9
std_1589433769942_25,drtL-6vX6
std_1589433771952_26,9dug-bRFh
std_1589433773955_27,UwRW-7NAb
std_1589433775962_28,9CHu-sxvp
std_1589433777968_29,Zdz4-t2kd
std_1589433779973_30,7AuM-kMmz
std_1589433781980_31,kn96-263B
std_1589433783984_32,txwZ-9NCt
std_1589433785990_33,BYRy-URsQ
std_1589433787998_34,a6BM-QGoa
std_1589433790003_35,6zC8-9E2D
std_1589433792010_36,Vj3B-W8vo
std_1589433794015_37,MQxi-zVLP
std_1589433796020_38,tznr-B6H6
std_1589433798025_39,vaks-8PuJ
std_1589433800030_40,Et92-Zqwm
std_1589433802035_41,Cxgv-em4f
std_1589433804123_42,ZnQ3-9D92
std_1589433807100_43,x4wJ-48oX
std_1589433808050_44,FcMg-zdvn
std_1589433810055_45,hFHh-am3i
std_1589433812060_46,pqEs-gGju
std_1589433814065_47,rzob-p8zq
std_1589433816071_48,zUnH-GTZQ
std_1589433818075_49,s767-n7Z8
std_1589433820080_50,Tmx4-AxsA
std_1589433822085_51,MDXD-ZGzA
std_1589433824091_52,6eq2-YwY2
std_1589433826095_53,94KU-B6Zs
std_1589433828109_54,9N42-92ys
std_1589433830113_55,m482-3TYD
std_1589433832123_56,PUY3-7p2L
std_1589433834133_57,uH9R-Xp69
std_1589433836125_58,3vTi-hWFi
std_1589433838131_59,pqQK-Y7Fu
std_1589433840134_60,WYBp-WjEV
std_1589433842139_61,fT2J-j3kQ
std_1589433844143_62,jZ4W-KD69
std_1589433846149_63,4XP8-Q6gt
std_1589433848153_64,mMHK-ko7Y
std_1589433850158_65,pzat-c2Yd
std_1589433852162_66,GDg4-W9AU
std_1589433854166_67,qsRm-Xfsm
std_1589433856171_68,67F7-zW7Z
std_1589433858175_69,ft2z-7HF3
std_1589433860180_70,CEC6-VgcF
std_1589433862185_71,2uDf-9TxZ
std_1589433864199_72,xq2m-A93w
std_1589433866204_73,R7R7-3dF9
std_1589433868207_74,FE6o-pRAi
std_1589433870213_75,dsT2-HnjW
std_1589433872217_76,KaVC-gAQ7
std_1589433874222_77,2F76-gb6D
std_1589433876227_78,j2cg-JbVM
std_1589433878232_79,82h8-z2WB
std_1589433880235_80,x2Yw-v7YB
std_1589433882240_81,guH4-NKa7
std_1589433884269_82,mhZs-C3nw
std_1589433886249_83,WGDA-vA46
std_1589433888254_84,8ver-c2mv
std_1589433890258_85,8Acn-qKX4
std_1589433892264_86,pQEW-KPCj
std_1589433894273_87,Pfv7-QK6Q
std_1589433896273_88,KTv9-ve3G
std_1589433898278_89,EFZf-24sU
std_1589433900281_90,gJF4-kifp
std_1589433902286_91,Quca-DQ4P
std_1589433904290_92,8tkH-M4Z2
std_1589433906296_93,hrvc-8fN6
std_1589433908299_94,6Xq7-FZjh
std_1589433910304_95,Fyrz-38nk
std_1589433912310_96,R9ms-8ce6
std_1589433914314_97,3Kt9-PABk
std_1589433916318_98,d3Gi-6nPC
std_1589433918324_99,K2XG-Rs8p
std_1589433920329_100,HnYJ-zrcb
std_1589433922333_101,L3V9-hi9B
std_1589433924339_102,AtNs-yQj6
std_1589433926343_103,ginH-Rxag
std_1589433928348_104,26C6-r6b2
std_1589433930353_105,QpFu-bXzN
std_1589433932358_106,V8a9-vD7K
std_1589433934362_107,Tbq3-qFmu
std_1589433936367_108,7N4Y-TYNY
std_1589433938374_109,TRqx-43n4
std_1589433940377_110,gz7F-Yrw6
std_1589433942381_111,gDAt-nKtg
std_1589433944386_112,rCiC-dw2i
std_1589433946392_113,jT9H-4Ei3
std_1589433948395_114,hJms-iv4G
std_1589433950401_115,2w4x-di23
std_1589433952405_116,Rp9c-q2Uv
std_1589433954410_117,v2FZ-Xtv9
std_1589433956416_118,U82j-htM2
std_1589433958421_119,3WYr-j3a4
std_1589433960425_120,L6RB-buVF
std_1589433962431_121,pgKx-2G46
std_1589433964435_122,GFH2-cPr6
std_1589433966439_123,4igm-NCQg
std_1589433968445_124,K68q-e4ng
std_1589433970450_125,A9oK-X6PD
std_1589433972453_126,C4ij-Aa7V
std_1589433974459_127,v39c-iC6U
std_1589433976463_128,46Wd-87vy
std_1589433978468_129,rV9D-8ZL3
std_1589433980474_130,oMdE-6LvP
std_1589433982477_131,8aTJ-2w98
std_1589433984483_132,ERHW-r4Yg
std_1589433986487_133,sgq4-7sVs
std_1589433988488_134,3hZG-jB2C
std_1589433990488_135,p9LV-n78D
std_1589433992502_136,Yi9t-3Ma7
std_1589433994515_137,FCpE-87ZY
std_1589433996518_138,rc6j-dYqt
std_1589433998518_139,dmsK-XPpc
std_1589434000535_140,AZ27-LAh8
std_1589434002535_141,4q8x-2J9H
std_1589434004535_142,mykf-uekR
std_1589434006550_143,482D-fJ98
std_1589434010549_145,y4tj-KGP7
std_1589434012549_146,63Ls-yWET
std_1589434014565_147,md6U-tJE8
std_1589434016565_148,BR7A-w34r
std_1589434018582_149,FfCF-mu4a
std_1589434020582_150,Baes-iQiZ
std_1589434024581_152,jvEM-eZ8P
std_1589434026597_153,3h3u-hvn9
std_1589434028612_154,Yo9q-Z49c
std_1589434030596_155,y6TJ-vZD3
std_1589434032616_156,BRDL-w46H
std_1589434034621_157,tRwk-W8cm
std_1589434036625_158,Buxc-eMC3
std_1589434038630_159,79EC-K6Kd
std_1589434040635_160,qQZ9-6J9L
std_1589434042639_161,nRAw-4zrJ
std_1589434044644_162,gZRY-XW6o
std_1589434046649_163,NnHU-R7eN
std_1589434048652_164,kJQ4-bmGC
std_1589434050658_165,FgZu-326c
std_1589434052663_166,98fC-dbAC
std_1589434054668_167,TbBo-3dnZ
std_1589434056672_168,PuCZ-ev2b
std_1589434058676_169,YE8K-2rcr
std_1589434060681_170,kKPc-9M6B
std_1589434062686_171,pjrs-tRf4
std_1589434064691_172,8BZg-oJ7p
std_1589434066696_173,oFeG-e2Lz
std_1589434068700_174,L64n-wAU4
std_1589434070706_175,fXkX-4xgK
std_1589434072709_176,T9V4-JyQt
std_1589434074714_177,8KkB-W8MJ
std_1589434076719_178,cU4T-3K2E
std_1589434078724_179,JqmW-fVwt
std_1589434080728_180,7WuU-Q6EY
std_1589434082734_181,C9NY-QUVJ
std_1589434084737_182,MRLy-6V32
std_1589434086742_183,Zn6j-AjLB
std_1589434088747_184,roTD-pPGn
std_1589434090753_185,CgQM-n3eL
std_1589434092757_186,yHbk-7eq7
std_1589434094762_187,AyAk-o4cf
std_1589434096765_188,N7kU-bVQz
std_1589434098771_189,XxP2-g29H
std_1589434100775_190,DpkZ-rAqH
std_1589434102779_191,hDqd-3Uxh
std_1589434104785_192,7A3R-Yefe
std_1589434106789_193,E32x-dZyP
std_1589434108793_194,jWE9-EQ3n
std_1589434110798_195,c72d-MDQ6
std_1589434112802_196,kBzN-42Vk
