teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200510-225539_1,class_20200510-225539_1,Z3Hx-pZTF,74242fdc-a1a2-467c-b4de-d20d662a4787,98a2e315-34f6-4730-9d9c-5595bae882f2,9091bd45-eb7a-43eb-bbfa-fcdf140c087e,abf80358-42b7-4c07-9a35-421544c6f022,e416af7f-7a80-4835-aa5b-19ac12ee827c
tch_20200510-225539_2,class_20200510-225539_2,mDG6-FM7R,f2ac078d-5bbb-403f-8d3d-fbf44a6b35b1,a97b305c-f3d2-495e-bb44-91f6da5dfc77,dbd9eedc-cba2-4f81-974d-6552231df11f,cd2092e0-9660-4cf2-adcc-585d69742780,c533d050-33ab-463f-b8e5-26df519936ed
tch_20200510-225539_3,class_20200510-225539_3,7Tc4-vxG2,c81cad49-f8d8-4496-8d5b-e48b9cf4bc0f,aee6a2ea-8475-4e0c-90a6-3ac0ca677cac,0b7cffc6-cc0d-4042-a9ac-1c5cedd462e2,2a4d6ca4-af90-4cb4-83cd-8ca4188a6574,016f421c-d20e-4670-8647-28e5f81dc7eb
tch_20200510-225539_5,class_20200510-225539_5,8AoR-x7ks,9d3305b5-8472-4ba8-827e-2706bbc3d715,d795e968-f258-47ab-931b-c05b977d4ccb,baaff7d6-b29e-4daf-9a2b-30524078de0d,95d641cd-5889-49bf-9d92-4dd015537493,0bfa8e04-5fc6-4e2c-b8be-81ee11a9ca0f
tch_20200510-225539_4,class_20200510-225539_4,nT8Q-YdBb,1be15b34-b405-4f63-bb64-b40d01c8fefd,ff01f1fd-5089-46c6-b860-dae7c64b4ec1,aeeedb69-e957-4f97-a483-4a1bb4145ebc,06d6c898-4d0e-4cec-adbf-79126d950fb1,60791200-98fc-4675-97a3-be8803cfc740
tch_20200510-225539_6,class_20200510-225539_6,8F3Z-iy2J,f2326d34-a2f8-4330-bccf-c50afdd95bec,0a5ce8f5-e392-4b02-8349-e9d3f44e4076,821ef515-8667-4b8c-8d80-1b1dc7e7abd9,0fa50364-04e5-44c4-9882-bc593f157ddb,1454ed46-91a5-4c4f-aced-940b2babd611
tch_20200510-225539_7,class_20200510-225539_7,aZFh-PtJM,ba19192f-379c-4d7c-9423-7f5be09fd9f9,65a1278e-532b-476b-8160-74ffc7fe9dad,a9187ff8-f921-45f2-a757-149f5fe968a8,5e887f30-24cc-4d2a-8a0b-9c77c2c31bea,990f681a-c385-4c4a-a337-f22a3abcaf06
tch_20200510-225539_8,class_20200510-225539_8,bk7R-mHTc,18939ae9-4478-4873-b00e-788c6d6c2cc3,19fa0401-7baa-40ad-8596-4bf50ba174e0,1711417d-3769-41ca-81bd-3fd7522981de,427a6777-3dcb-4614-8818-7a69332ffe5b,807a0dcc-8c2e-4759-b31f-47a0b9fa72a8
tch_20200510-225539_9,class_20200510-225539_9,KnZh-KZT8,63ffd202-65d6-4fe9-956f-217c931fd7db,9faa7db2-506d-4039-8eca-1f0f7577c036,b8f3169d-f0dd-466c-8c1f-345079ebce21,9af0d6ee-9497-4f45-9fe8-38e8bc651f98,01d2770c-1b44-4400-91d0-399522153478
tch_20200510-225539_10,class_20200510-225539_10,XLaB-7p4x,e5a6d081-4042-421a-bd5c-2d3893e2ed36,00b0d01b-a8bf-4c54-a104-0d5c1f7c8004,a900024a-f9d9-4e39-87ab-27a93b3dbf68,8af90c85-8253-46fb-97c7-79195758ad75,e8bcca2b-992f-4b5f-8e5f-b5260d9b5aa9
