teacher,stduuid,stdextuderid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200629-073759_1,b208cab8-b9ae-11ea-94cc-0242ac110002,std_1593397070530_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_2,c24e2319-b9ae-11ea-840b-0242ac110002,std_1593397097828_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_1,c2f2a09a-b9ae-11ea-840b-0242ac110002,std_1593397098919_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_2,d13af004-b9ae-11ea-840b-0242ac110002,std_1593397122885_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_1,d20b389d-b9ae-11ea-94cc-0242ac110002,std_1593397124248_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_1,e20d1ee1-b9ae-11ea-840b-0242ac110002,std_1593397151072_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_4,e189bd51-b9ae-11ea-840b-0242ac110002,std_1593397150246_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_2,e05eab21-b9ae-11ea-840b-0242ac110002,std_1593397148288_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_3,e6fc64dd-b9ae-11ea-94cc-0242ac110002,std_1593397159317_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_2,f0acdd86-b9ae-11ea-94cc-0242ac110002,std_1593397175633_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_4,f091db39-b9ae-11ea-840b-0242ac110002,std_1593397175481_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_3,f5fd7d49-b9ae-11ea-94cc-0242ac110002,std_1593397184544_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_1,ffa4a643-b9ae-11ea-94cc-0242ac110002,std_1593397200764_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_4,00415c31-b9af-11ea-94cc-0242ac110002,std_1593397201786_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_5,0400ad34-b9af-11ea-94cc-0242ac110002,std_1593397207966_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
tch_20200629-073759_3,03fe63d2-b9af-11ea-840b-0242ac110002,std_1593397208012_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_1,0eb1305b-b9af-11ea-840b-0242ac110002,std_1593397226010_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_2,0ecf1930-b9af-11ea-94cc-0242ac110002,std_1593397226191_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_4,10754ed3-b9af-11ea-840b-0242ac110002,std_1593397228969_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_6,13dd0ad9-b9af-11ea-840b-0242ac110002,std_1593397234680_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_5,16553679-b9af-11ea-94cc-0242ac110002,std_1593397238796_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
tch_20200629-073759_3,166e3c94-b9af-11ea-840b-0242ac110002,std_1593397238927_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_7,19a43b2b-b9af-11ea-94cc-0242ac110002,std_1593397244308_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
tch_20200629-073759_1,1c9789f1-b9af-11ea-840b-0242ac110002,std_1593397249325_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_2,1f353f12-b9af-11ea-94cc-0242ac110002,std_1593397253686_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_6,22b390fb-b9af-11ea-94cc-0242ac110002,std_1593397259567_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_5,254cb1a5-b9af-11ea-840b-0242ac110002,std_1593397263930_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
