tch,col1,stdextuserid,col2
tch_20200629-073759_1,ca082ccc-b9af-11ea-840b-0242ac110002,std_1593397540304_1,2495dcef-4c6a-4a1e-b97c-bcb5eb0e4276
tch_20200629-073759_1,bb51d873-b9af-11ea-840b-0242ac110002,std_1593397515645_1,2495dcef-4c6a-4a1e-b97c-bcb5eb0e4276
tch_20200629-073759_1,a97231ed-b9af-11ea-94cc-0242ac110002,std_1593397485639_1,2495dcef-4c6a-4a1e-b97c-bcb5eb0e4276
tch_20200629-073759_1,99864439-b9af-11ea-840b-0242ac110002,std_1593397458900_1,2495dcef-4c6a-4a1e-b97c-bcb5eb0e4276
tch_20200629-073759_1,88e9cb1f-b9af-11ea-94cc-0242ac110002,std_1593397431058_1,2495dcef-4c6a-4a1e-b97c-bcb5eb0e4276
tch_20200629-073759_1,7a769baa-b9af-11ea-840b-0242ac110002,std_1593397406830_1,00172f87-9ad5-46d5-a272-b90de954682a
tch_20200629-073759_2,e3665037-b9af-11ea-840b-0242ac110002,std_1593397582894_2,707378af-b64b-4b2a-9de2-72788467931f
tch_20200629-073759_1,6923a3d0-b9af-11ea-94cc-0242ac110002,std_1593397377737_1,00172f87-9ad5-46d5-a272-b90de954682a
tch_20200629-073759_1,5a4ccfba-b9af-11ea-94cc-0242ac110002,std_1593397352847_1,00172f87-9ad5-46d5-a272-b90de954682a
tch_20200629-073759_2,d4e84b14-b9af-11ea-840b-0242ac110002,std_1593397558530_2,707378af-b64b-4b2a-9de2-72788467931f
tch_20200629-073759_1,4b24a798-b9af-11ea-94cc-0242ac110002,std_1593397327410_1,00172f87-9ad5-46d5-a272-b90de954682a
tch_20200629-073759_2,c45520be-b9af-11ea-840b-0242ac110002,std_1593397530744_2,707378af-b64b-4b2a-9de2-72788467931f
tch_20200629-073759_1,3d549523-b9af-11ea-840b-0242ac110002,std_1593397304239_1,00172f87-9ad5-46d5-a272-b90de954682a
tch_20200629-073759_2,b2ed8f97-b9af-11ea-840b-0242ac110002,std_1593397501538_2,707378af-b64b-4b2a-9de2-72788467931f
