teacher,columnname,stdextuserid,colname2
tch_20200628-214431_1,f3d05dce-b95c-11ea-840b-0242ac110002,std_1593361962134_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae
tch_20200628-214431_1,e535327f-b95c-11ea-840b-0242ac110002,std_1593361937627_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae
tch_20200628-214431_1,d6502dab-b95c-11ea-840b-0242ac110002,std_1593361912654_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae
tch_20200628-214431_1,c6f29e5c-b95c-11ea-94cc-0242ac110002,std_1593361886863_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae
tch_20200628-214431_1,b8d073f4-b95c-11ea-840b-0242ac110002,std_1593361863175_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae
tch_20200628-214431_2,07add09e-b95d-11ea-94cc-0242ac110002,std_1593361995513_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3
tch_20200628-214431_1,a9df6196-b95c-11ea-94cc-0242ac110002,std_1593361838108_1,3875a1b2-97ec-45f9-8f6e-82b355091904
tch_20200628-214431_2,f685b9b4-b95c-11ea-94cc-0242ac110002,std_1593361966693_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3
tch_20200628-214431_1,99f23b92-b95c-11ea-94cc-0242ac110002,std_1593361811397_1,3875a1b2-97ec-45f9-8f6e-82b355091904
tch_20200628-214431_2,e789aaad-b95c-11ea-840b-0242ac110002,std_1593361941537_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3
tch_20200628-214431_1,89b3c11d-b95c-11ea-94cc-0242ac110002,std_1593361784126_1,3875a1b2-97ec-45f9-8f6e-82b355091904
tch_20200628-214431_2,da55ff60-b95c-11ea-94cc-0242ac110002,std_1593361919356_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3
tch_20200628-214431_1,78db29aa-b95c-11ea-94cc-0242ac110002,std_1593361755859_1,3875a1b2-97ec-45f9-8f6e-82b355091904
tch_20200628-214431_2,c90c2f36-b95c-11ea-840b-0242ac110002,std_1593361890387_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3
tch_20200628-214431_1,691bc9f7-b95c-11ea-840b-0242ac110002,std_1593361729422_1,3875a1b2-97ec-45f9-8f6e-82b355091904
tch_20200628-214431_3,155c77fe-b95d-11ea-840b-0242ac110002,std_1593362018447_3,06cdc919-f92a-4d27-84ec-898d87bf53e4
tch_20200628-214431_3,06556c87-b95d-11ea-840b-0242ac110002,std_1593361993197_3,06cdc919-f92a-4d27-84ec-898d87bf53e4
tch_20200628-214431_4,1cf497c6-b95d-11ea-840b-0242ac110002,std_1593362031176_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf
tch_20200628-214431_3,f5641c91-b95c-11ea-94cc-0242ac110002,std_1593361964815_3,06cdc919-f92a-4d27-84ec-898d87bf53e4
tch_20200628-214431_2,b90c440b-b95c-11ea-840b-0242ac110002,std_1593361863560_2,a07cacf4-f314-4371-a398-db3f7f234262
tch_20200628-214431_1,58e4a2c3-b95c-11ea-840b-0242ac110002,std_1593361702246_1,6f270348-e329-4edf-8b91-bce29c16eb99
tch_20200628-214431_4,0cfd115f-b95d-11ea-94cc-0242ac110002,std_1593362004399_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf
tch_20200628-214431_3,e4e58c06-b95c-11ea-94cc-0242ac110002,std_1593361937116_3,06cdc919-f92a-4d27-84ec-898d87bf53e4
tch_20200628-214431_2,a6de5600-b95c-11ea-840b-0242ac110002,std_1593361833063_2,a07cacf4-f314-4371-a398-db3f7f234262
tch_20200628-214431_1,482e87ec-b95c-11ea-840b-0242ac110002,std_1593361674162_1,6f270348-e329-4edf-8b91-bce29c16eb99
tch_20200628-214431_4,fd3155ab-b95c-11ea-94cc-0242ac110002,std_1593361977866_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf
tch_20200628-214431_3,d5594b4f-b95c-11ea-94cc-0242ac110002,std_1593361911048_3,06cdc919-f92a-4d27-84ec-898d87bf53e4
tch_20200628-214431_2,94f056e4-b95c-11ea-840b-0242ac110002,std_1593361802964_2,a07cacf4-f314-4371-a398-db3f7f234262
tch_20200628-214431_1,37cad270-b95c-11ea-94cc-0242ac110002,std_1593361646617_1,6f270348-e329-4edf-8b91-bce29c16eb99
tch_20200628-214431_4,ef4b239e-b95c-11ea-840b-0242ac110002,std_1593361954574_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf
tch_20200628-214431_2,85d85aed-b95c-11ea-840b-0242ac110002,std_1593361777590_2,a07cacf4-f314-4371-a398-db3f7f234262
tch_20200628-214431_1,25c86001-b95c-11ea-840b-0242ac110002,std_1593361616464_1,6f270348-e329-4edf-8b91-bce29c16eb99
tch_20200628-214431_4,dfefb5fe-b95c-11ea-840b-0242ac110002,std_1593361928794_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf
tch_20200628-214431_2,75dc4112-b95c-11ea-840b-0242ac110002,std_1593361750822_2,a07cacf4-f314-4371-a398-db3f7f234262
tch_20200628-214431_1,14171bdf-b95c-11ea-840b-0242ac110002,std_1593361586795_1,6f270348-e329-4edf-8b91-bce29c16eb99
tch_20200628-214431_5,2dec9dc7-b95d-11ea-840b-0242ac110002,std_1593362059646_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f
tch_20200628-214431_3,c79a28c2-b95c-11ea-94cc-0242ac110002,std_1593361887949_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0
tch_20200628-214431_5,1f698f59-b95d-11ea-840b-0242ac110002,std_1593362035253_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f
tch_20200628-214431_3,b885d6ad-b95c-11ea-840b-0242ac110002,std_1593361862680_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0
tch_20200628-214431_5,0e19cc01-b95d-11ea-94cc-0242ac110002,std_1593362006220_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f
tch_20200628-214431_3,aabca151-b95c-11ea-94cc-0242ac110002,std_1593361839545_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0
tch_20200628-214431_4,d0dac7ac-b95c-11ea-94cc-0242ac110002,std_1593361903518_4,fd0291b5-8594-4fe8-baf1-f56784367322
tch_20200628-214431_2,6430061e-b95c-11ea-94cc-0242ac110002,std_1593361721151_2,50688a34-6746-4e53-a5d7-805bb2ce6455
tch_20200628-214431_1,0497371b-b95c-11ea-94cc-0242ac110002,std_1593361560777_1,8a6fc903-e549-479e-8bb1-68d22b664e46
tch_20200628-214431_5,ff2620bd-b95c-11ea-94cc-0242ac110002,std_1593361981158_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f
