teacher,classcode
tch_20200628-214431_1,FcFd-jvRo
tch_20200628-214431_2,FVWG-4Q76
tch_20200628-214431_3,iuWB-ovYn
tch_20200628-214431_4,nAg2-3RCv
tch_20200628-214431_5,d2f9-vAC3
tch_20200628-214431_6,EW6C-zfon
tch_20200628-214431_7,4hpB-9Vgp
tch_20200628-214431_8,7cbY-82Qm
tch_20200628-214431_9,GA9v-KAXq
tch_20200628-214431_10,pLp4-Ps6q
tch_20200628-214431_11,Hjen-rL4W
tch_20200628-214431_12,7C7b-gp9s
tch_20200628-214431_13,86XK-h62e
tch_20200628-214431_14,342h-vZB7
tch_20200628-214431_15,8FC8-E2A2
tch_20200628-214431_16,aA3n-DTY7
tch_20200628-214431_17,V9rD-7qd3
tch_20200628-214431_18,TQ62-b3yt
tch_20200628-214431_19,8WDC-v6JK
tch_20200628-214431_20,V3E8-4ciF
tch_20200628-214431_21,Tozf-3K9h
tch_20200628-214431_22,J9h6-WTDm
tch_20200628-214431_23,s3i3-6dQB
tch_20200628-214431_24,sKuQ-gV3a
tch_20200628-214431_25,xqDr-nrX4
tch_20200628-214431_26,s4Lb-dC48
tch_20200628-214431_27,9X4t-M8AD
tch_20200628-214431_28,6pTw-Hev6
tch_20200628-214431_29,WUwC-9GJp
tch_20200628-214431_30,3P6V-L7B8
tch_20200628-214431_31,9sm9-Mrpq
tch_20200628-214431_32,HhMX-Vy47
tch_20200628-214431_33,vh7R-7Kgj
tch_20200628-214431_34,CQBd-gyay
tch_20200628-214431_35,Fdwi-RKhR
tch_20200628-214431_36,Bed6-kofq
tch_20200628-214431_37,4zEH-XF42
tch_20200628-214431_38,WA49-Nyde
tch_20200628-214431_39,9sHV-972q
tch_20200628-214431_40,t9L3-EuXb
tch_20200628-214431_41,e8Hf-kLJ7
tch_20200628-214431_42,2MgV-zeDB
tch_20200628-214431_43,KQ67-cpJC
tch_20200628-214431_44,XKYd-P2LF
tch_20200628-214431_45,QF2A-92Wm
tch_20200628-214431_46,Roq2-AwHy
tch_20200628-214431_47,mW3L-DQvP
tch_20200628-214431_48,bUW9-ZKyz
tch_20200628-214431_49,3neM-Cn6C
tch_20200628-214431_50,tWFp-4ybn
tch_20200628-214431_51,4eE2-k2mq
tch_20200628-214431_52,H8LX-2w4t
tch_20200628-214431_53,RTgi-LcgN
tch_20200628-214431_54,bJ4q-VwTu
tch_20200628-214431_55,qwvm-EM4x
tch_20200628-214431_56,yBU3-k7Xt
tch_20200628-214431_57,7TN6-8BK2
tch_20200628-214431_58,JoNR-3uFq
tch_20200628-214431_59,UVHw-6jcR
tch_20200628-214431_60,U4D4-38FM
tch_20200628-214431_61,gXa3-6w48
tch_20200628-214431_62,an64-QVYp
tch_20200628-214431_63,C9pe-JHxn
tch_20200628-214431_64,tZbQ-nBGg
tch_20200628-214431_65,U2ka-3sRA
tch_20200628-214431_66,6eh7-8HYz
tch_20200628-214431_67,t68b-aLqR
tch_20200628-214431_68,ypxA-e2iY
tch_20200628-214431_69,4aGa-ti4E
tch_20200628-214431_70,6dxt-TZop
tch_20200628-214431_71,69Gp-8XhN
tch_20200628-214431_72,37Y9-UMWF
tch_20200628-214431_73,jQxH-E3CE
tch_20200628-214431_74,8PXW-7YdW
tch_20200628-214431_75,3b67-G96V
tch_20200628-214431_76,9tX2-go4L
tch_20200628-214431_77,QF6H-yXUn
tch_20200628-214431_78,U7o8-haAh
tch_20200628-214431_79,oDnP-9KYG
tch_20200628-214431_80,PrL6-YGHk
tch_20200628-214431_81,3w47-Qugf
tch_20200628-214431_82,M37Z-g2XZ
tch_20200628-214431_83,7XrH-j69D
tch_20200628-214431_84,2CZy-pymf
tch_20200628-214431_85,32qX-C2Wp
tch_20200628-214431_86,B6Za-pCF7
tch_20200628-214431_87,8d9m-oCaQ
tch_20200628-214431_88,38vp-8n97
tch_20200628-214431_89,AV38-4Dv3
tch_20200628-214431_90,Gwmb-96cx
tch_20200628-214431_91,oLCo-Qnm4
tch_20200628-214431_92,2bTp-uGNs
tch_20200628-214431_93,UsNX-CvP9
tch_20200628-214431_94,u8q8-4v2M
tch_20200628-214431_95,9LmE-Yo8n
tch_20200628-214431_96,Cep3-DftA
tch_20200628-214431_97,tz6Z-CdG2
tch_20200628-214431_98,K6Lz-3PNR
tch_20200628-214431_99,qGY2-79JP
tch_20200628-214431_100,TR3J-DLrC
