stdextuserid,col2,teacher
std_1593361863175_1,d71fd823-a255-41c1-bc18-d17bde3fc6ae,tch_20200628-214431_1
std_1593361890387_2,c1506890-14ec-4b0b-863c-112f8e8f3ec3,tch_20200628-214431_2
std_1593361729422_1,3875a1b2-97ec-45f9-8f6e-82b355091904,tch_20200628-214431_1
std_1593361911048_3,06cdc919-f92a-4d27-84ec-898d87bf53e4,tch_20200628-214431_3
std_1593361928794_4,14a3a2b3-1592-4a8d-8b8d-a4f5b5718fdf,tch_20200628-214431_4
std_1593361750822_2,a07cacf4-f314-4371-a398-db3f7f234262,tch_20200628-214431_2
std_1593361586795_1,6f270348-e329-4edf-8b91-bce29c16eb99,tch_20200628-214431_1
std_1593361958469_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f,tch_20200628-214431_5
std_1593361790239_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0,tch_20200628-214431_3
std_1593361802239_4,fd0291b5-8594-4fe8-baf1-f56784367322,tch_20200628-214431_4
std_1593361448194_1,8a6fc903-e549-479e-8bb1-68d22b664e46,tch_20200628-214431_1
std_1593361616729_2,50688a34-6746-4e53-a5d7-805bb2ce6455,tch_20200628-214431_2
std_1593361984417_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8,tch_20200628-214431_6
std_1593361832878_5,6f2b6f11-ee45-4c86-b446-05911daac2b5,tch_20200628-214431_5
std_1593361657707_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84,tch_20200628-214431_3
std_1593361676043_4,1b67f66a-0e73-4153-97fd-912843b2a975,tch_20200628-214431_4
std_1593361478015_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79,tch_20200628-214431_2
std_1593362012895_7,7301625b-f836-4aa4-9769-daeb0f6547cb,tch_20200628-214431_7
std_1593361851213_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9,tch_20200628-214431_6
std_1593361694477_5,354c8852-22b5-4be0-870a-b349dfb48882,tch_20200628-214431_5
std_1593361522372_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc,tch_20200628-214431_3
std_1593361546611_4,1b75730f-1c3f-466a-b8cf-842d92811edb,tch_20200628-214431_4
std_1593361881839_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079,tch_20200628-214431_7
std_1593361714840_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb,tch_20200628-214431_6
std_1593362062206_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d,tch_20200628-214431_8
std_1593361565138_5,8fcede17-e132-45fc-9bf0-7c8627306fd3,tch_20200628-214431_5
std_1593362081220_9,257419ef-ad0f-4074-82a1-faca69d7cd7d,tch_20200628-214431_9
std_1593361753652_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45,tch_20200628-214431_7
std_1593361582989_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712,tch_20200628-214431_6
std_1593361934403_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da,tch_20200628-214431_8
std_1593362110343_10,4493919d-3a89-4f20-aaba-9b7c14a8607d,tch_20200628-214431_10
std_1593361940565_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b,tch_20200628-214431_9
std_1593361628504_7,adaa71d6-83ab-4acf-ac90-1c3a02130206,tch_20200628-214431_7
std_1593361797847_8,91731663-1954-413e-bbe7-22b3b8a9634d,tch_20200628-214431_8
std_1593361979024_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2,tch_20200628-214431_10
std_1593361809284_9,80dc1637-48f9-436e-a2d0-07cc46fef66f,tch_20200628-214431_9
std_1593362166867_12,a2621598-c217-4374-b459-45a86aaf3650,tch_20200628-214431_12
std_1593362169965_11,f8f786e5-5a64-460e-ac9c-668c8f832a71,tch_20200628-214431_11
std_1593361668961_8,f8fa3cca-9a5e-4bea-85e1-3c7dc8a2d7f8,tch_20200628-214431_8
std_1593361845393_10,1f3cf10d-8cf9-464d-b1f8-745b8add526e,tch_20200628-214431_10
std_1593361675618_9,dd33aa33-a65f-4be6-8748-1468b27e62e8,tch_20200628-214431_9
std_1593362034488_12,929e4ac2-faf5-4eb6-b613-bbaaa389e3fa,tch_20200628-214431_12
std_1593362031840_11,093e36ff-2316-4071-a5a8-9fff2a0a6750,tch_20200628-214431_11
std_1593362213578_13,f75b5562-5b07-4f5c-a3b4-b147b432497f,tch_20200628-214431_13
std_1593361713008_10,5e6349dd-9312-4b2a-b444-ec642cd83e5c,tch_20200628-214431_10
std_1593361907241_12,c36a3433-8137-4347-8b69-49c4eea214f8,tch_20200628-214431_12
std_1593362236255_14,2d66addd-7479-4463-ab65-44ffd5112d91,tch_20200628-214431_14
std_1593362241157_15,30409136-28e7-45da-9ac2-f95977bba37a,tch_20200628-214431_15
std_1593362083700_13,36ca511c-cbba-4783-a4b0-9a5e302f5154,tch_20200628-214431_13
std_1593361890245_11,2caaed3d-f218-4d6f-978c-03fb3e2863c1,tch_20200628-214431_11
std_1593361771701_12,669c0369-c768-4791-939c-256194ffe9b6,tch_20200628-214431_12
std_1593362100773_14,e23d093b-ebc2-4816-b1f2-4a8572b38995,tch_20200628-214431_14
std_1593361752454_11,c1b1a98a-55f1-48b7-8503-211c716af8da,tch_20200628-214431_11
std_1593361946734_13,679f906d-1348-4d66-98c8-1337a18c8e3d,tch_20200628-214431_13
std_1593362109902_15,c94c7c6e-815d-4f08-8ab3-3ef8a4d1cdcd,tch_20200628-214431_15
std_1593362289978_16,f10ffba2-1b1b-4778-a788-9e538f26f42f,tch_20200628-214431_16
std_1593361963053_14,7c49b017-6d89-4a24-9db4-f55b2e7a79b6,tch_20200628-214431_14
std_1593361982213_15,724b0bbf-c4a3-4d70-95c9-7226ce804885,tch_20200628-214431_15
std_1593361803616_13,bf4e7d7c-1642-45c4-ab90-508b336f198f,tch_20200628-214431_13
std_1593362161836_16,afa81c2b-3c2d-443e-8040-b962bfa89521,tch_20200628-214431_16
std_1593362345883_18,547edc04-c336-4422-abc7-2060b7ed0a71,tch_20200628-214431_18
std_1593362347423_17,8cee4d9a-bab1-4d21-bff1-a24a67391a6e,tch_20200628-214431_17
std_1593361821333_14,87f394b5-4090-4031-9b82-fc9f8dd173f2,tch_20200628-214431_14
std_1593361845404_15,81028cbd-7857-4553-b440-7455b2b7b050,tch_20200628-214431_15
std_1593362366022_19,88298bfb-3d1f-4457-bebe-d1430061d026,tch_20200628-214431_19
std_1593362033526_16,8c2a9961-0fcf-4530-8381-4831886a6ae1,tch_20200628-214431_16
std_1593362212363_18,384895e6-2ac2-4ee0-8897-753b9d544eb7,tch_20200628-214431_18
std_1593362216377_17,f930b01d-cab5-4088-926c-19315b2748d4,tch_20200628-214431_17
std_1593362233545_19,64be0e6f-f24d-4e5a-b1a7-dfafdf02ebb9,tch_20200628-214431_19
std_1593362395243_20,66592966-8612-40cf-9317-371a40ad67a1,tch_20200628-214431_20
std_1593361902491_16,86080d23-b614-4790-8324-0956ddc89b74,tch_20200628-214431_16
std_1593362082048_18,6c54c819-4192-4446-9c66-0b5d7334f0c0,tch_20200628-214431_18
std_1593362075951_17,4bfa0602-1b49-4d3f-ad0f-01d993c4c9e5,tch_20200628-214431_17
std_1593362273674_20,2af0cc15-abe7-4893-a301-c8666c871d23,tch_20200628-214431_20
std_1593362091585_19,083c6d04-8eea-4f46-b1e6-2bace4aa8fb2,tch_20200628-214431_19
std_1593362451304_21,d3731c2b-74e6-42e0-b3ea-a4c3f6c0a713,tch_20200628-214431_21
std_1593361951723_18,6d4d86e7-ad17-4a60-beb8-33456a623744,tch_20200628-214431_18
std_1593361942770_17,12d6ae79-745a-49df-b6a8-1829d4688e17,tch_20200628-214431_17
std_1593362143164_20,3956083a-62bf-405f-a952-e9b6615f2eba,tch_20200628-214431_20
std_1593361960673_19,81392b1c-7edf-42dd-9c8b-88e31a901f85,tch_20200628-214431_19
std_1593362490861_22,a1252860-fd07-412e-9a54-9cdfa1260ad0,tch_20200628-214431_22
std_1593362312649_21,9aa1da9c-8113-42db-b010-e1883acad5ac,tch_20200628-214431_21
std_1593362015100_20,f0a6b794-b1b2-45e0-abb0-37f3f8f26c8f,tch_20200628-214431_20
std_1593362509528_23,6a00282e-c12d-417d-b12e-b7ee38bcea78,tch_20200628-214431_23
