teacherextuserid,classtitle,classcode2
tch_20220824-175616_46,class_20220824-175616_46,JoBz-HWoE
tch_20220824-175616_47,class_20220824-175616_47,jDf4-x86D
tch_20220824-175616_48,class_20220824-175616_48,97wA-qjv4
tch_20220824-175616_49,class_20220824-175616_49,w6gR-4Ve9
tch_20220824-175616_50,class_20220824-175616_50,dB7U-6y7K
tch_20220824-175616_51,class_20220824-175616_51,7A39-frk9
tch_20220824-175616_52,class_20220824-175616_52,8wTm-8zog
tch_20220824-175616_53,class_20220824-175616_53,P8qW-vJ73
tch_20220824-175616_54,class_20220824-175616_54,LBb8-AQbt
tch_20220824-175616_55,class_20220824-175616_55,fx9H-dEX3
tch_20220824-175616_56,class_20220824-175616_56,UbYH-4Xy8
tch_20220824-175616_57,class_20220824-175616_57,bTY9-qdy9
tch_20220824-175616_58,class_20220824-175616_58,3jPV-L9Vw
tch_20220824-175616_59,class_20220824-175616_59,Efjh-3okh
tch_20220824-175616_60,class_20220824-175616_60,6G9k-AMYM
tch_20220824-175616_61,class_20220824-175616_61,Ni2z-hCiF
tch_20220824-175616_62,class_20220824-175616_62,k8Zy-UoPH
tch_20220824-175616_63,class_20220824-175616_63,zD6y-bR8f
tch_20220824-175616_64,class_20220824-175616_64,YLGP-nBKb
tch_20220824-175616_65,class_20220824-175616_65,WF6G-J68E
tch_20220824-175616_66,class_20220824-175616_66,2HpB-y8wu
tch_20220824-175616_67,class_20220824-175616_67,hdwi-eaJy
tch_20220824-175616_68,class_20220824-175616_68,z3sf-4spA
tch_20220824-175616_69,class_20220824-175616_69,CkW9-YeFu
tch_20220824-175616_70,class_20220824-175616_70,2wvc-4n4C
tch_20220824-175616_71,class_20220824-175616_71,To37-XK82
tch_20220824-175616_72,class_20220824-175616_72,Gx26-3VH9
tch_20220824-175616_73,class_20220824-175616_73,2WaP-8Y9q
tch_20220824-175616_74,class_20220824-175616_74,3RwZ-dqFY
tch_20220824-175616_75,class_20220824-175616_75,s8vr-9Cc8
tch_20220824-175616_76,class_20220824-175616_76,u9vQ-AwjL
tch_20220824-175616_77,class_20220824-175616_77,xYB9-FV4J
tch_20220824-175616_78,class_20220824-175616_78,s4Yo-w3uk
tch_20220824-175616_79,class_20220824-175616_79,WuF8-RFvj
tch_20220824-175616_80,class_20220824-175616_80,EM38-69Hx
tch_20220824-175616_81,class_20220824-175616_81,th6C-g6md
tch_20220824-175616_82,class_20220824-175616_82,8qVG-67v2
tch_20220824-175616_83,class_20220824-175616_83,nHi2-87oZ
tch_20220824-175616_84,class_20220824-175616_84,JFUy-324U
tch_20220824-175616_85,class_20220824-175616_85,pxPm-Ugx2
tch_20220824-175616_86,class_20220824-175616_86,pCc7-jaFw
tch_20220824-175616_87,class_20220824-175616_87,d3X4-3c4T
tch_20220824-175616_88,class_20220824-175616_88,ivPz-43HT
tch_20220824-175616_89,class_20220824-175616_89,cZgQ-93PR
tch_20220824-175616_90,class_20220824-175616_90,ADQi-sh4Q
tch_20220824-175616_91,class_20220824-175616_91,zdrH-zD26
tch_20220824-175616_92,class_20220824-175616_92,YuXd-ja3A
tch_20220824-175616_93,class_20220824-175616_93,Q49o-736G
tch_20220824-175616_94,class_20220824-175616_94,LNf2-d28K
tch_20220824-175616_95,class_20220824-175616_95,kjgh-B8tu
tch_20220824-175616_96,class_20220824-175616_96,zPyx-P6FH
tch_20220824-175616_97,class_20220824-175616_97,636G-EHt4
tch_20220824-175616_98,class_20220824-175616_98,We8s-ic9v
tch_20220824-175616_99,class_20220824-175616_99,h8MW-wa8B
tch_20220824-175616_100,class_20220824-175616_100,GU8M-D76G
