tchextid,studentuuid,stuextid,classtitle,classcode,assignedgrp1,ag2,ag3,ag4,ag5
tch_20200625-194027_1,f6853cc2-b6ee-11ea-94cc-0242ac110002,std_1593094804438_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_1,06405645-b6ef-11ea-840b-0242ac110002,std_1593094831156_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,0fc3f26b-b6ef-11ea-840b-0242ac110002,std_1593094846785_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_1,15bbcf21-b6ef-11ea-840b-0242ac110002,std_1593094857129_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,2049aeb7-b6ef-11ea-94cc-0242ac110002,std_1593094874848_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_1,2594820b-b6ef-11ea-840b-0242ac110002,std_1593094883723_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,31921e78-b6ef-11ea-94cc-0242ac110002,std_1593094903764_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_1,352ea6d2-b6ef-11ea-840b-0242ac110002,std_1593094909875_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_3,3e78bb68-b6ef-11ea-840b-0242ac110002,std_1593094925138_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_2,41d2e2bc-b6ef-11ea-840b-0242ac110002,std_1593094931110_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_1,46765314-b6ef-11ea-840b-0242ac110002,std_1593094938884_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_3,4e264032-b6ef-11ea-94cc-0242ac110002,std_1593094951778_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_1,5429dd60-b6ef-11ea-840b-0242ac110002,std_1593094961867_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,5366dad3-b6ef-11ea-94cc-0242ac110002,std_1593094960572_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_4,578c9078-b6ef-11ea-840b-0242ac110002,std_1593094967261_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_3,5dee2ae3-b6ef-11ea-94cc-0242ac110002,std_1593094978218_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_1,62d868b0-b6ef-11ea-840b-0242ac110002,std_1593094986526_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,63aa5e4a-b6ef-11ea-94cc-0242ac110002,std_1593094987893_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_4,6918991c-b6ef-11ea-94cc-0242ac110002,std_1593094996987_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_3,6ee6cdd1-b6ef-11ea-94cc-0242ac110002,std_1593095006736_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_1,73d5c595-b6ef-11ea-94cc-0242ac110002,std_1593095015002_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,74432e21-b6ef-11ea-94cc-0242ac110002,std_1593095015716_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_4,7a4df65c-b6ef-11ea-94cc-0242ac110002,std_1593095025868_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_5,81869118-b6ef-11ea-94cc-0242ac110002,std_1593095037688_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9
tch_20200625-194027_1,83119dde-b6ef-11ea-94cc-0242ac110002,std_1593095040515_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_3,7fefc3bc-b6ef-11ea-840b-0242ac110002,std_1593095035322_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_2,83c5d2ad-b6ef-11ea-840b-0242ac110002,std_1593095041750_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_4,8861050e-b6ef-11ea-94cc-0242ac110002,std_1593095049495_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_5,90842676-b6ef-11ea-840b-0242ac110002,std_1593095063116_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9
tch_20200625-194027_3,9150c4f3-b6ef-11ea-94cc-0242ac110002,std_1593095064433_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_1,90cb687a-b6ef-11ea-94cc-0242ac110002,std_1593095063609_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_2,93e04a4f-b6ef-11ea-840b-0242ac110002,std_1593095068772_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_4,984997b7-b6ef-11ea-840b-0242ac110002,std_1593095076177_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_5,a0455a8b-b6ef-11ea-840b-0242ac110002,std_1593095089560_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9
tch_20200625-194027_3,a170bb5a-b6ef-11ea-94cc-0242ac110002,std_1593095091540_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_2,a449f25d-b6ef-11ea-840b-0242ac110002,std_1593095096314_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_6,a5e727e9-b6ef-11ea-840b-0242ac110002,std_1593095098700_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf
tch_20200625-194027_1,a33e4ef8-b6ef-11ea-840b-0242ac110002,std_1593095094563_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_4,a907f027-b6ef-11ea-94cc-0242ac110002,std_1593095104261_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_5,b130dde8-b6ef-11ea-94cc-0242ac110002,std_1593095117943_5,class_20200625-194027_5,zE8U-mcnF,9e8247a1-6a57-469c-acc3-a91649c4c481,ffb3a7ab-6486-439f-a00c-72cf2984c4ef,31bdc6f4-2d95-4bad-975d-3e323b3a4a38,0b042a35-92e6-4e29-b926-a5758f44cb49,1b225548-27df-4117-89e7-42e1f28be2d9
tch_20200625-194027_2,b32dbef2-b6ef-11ea-94cc-0242ac110002,std_1593095121298_2,class_20200625-194027_2,aoaf-9NAq,e3d679c8-e7ac-44f5-b408-27678a1611ef,ec364678-6f97-4ef0-b0d8-a3d4a9701939,007ad82b-408d-4600-84a9-5552be065861,416f0cb9-0ddc-4d8c-876a-83094e604e0c,2a0f55ac-1425-42a1-9582-608fa4ee853a
tch_20200625-194027_3,b2b16350-b6ef-11ea-94cc-0242ac110002,std_1593095120471_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
tch_20200625-194027_6,b36dae3f-b6ef-11ea-840b-0242ac110002,std_1593095121710_6,class_20200625-194027_6,u9Ta-LZz7,b7352025-8e18-4a50-838d-d3cbfe83c62a,59ff06d2-4511-406e-860b-28695c425f44,acbbef4b-4f83-497f-8fe7-92657d289716,88aea2ce-47fe-4b83-90ea-76dbf0f325ae,d7de19b5-b88a-4c85-a525-e7749987adbf
tch_20200625-194027_1,b3f491a9-b6ef-11ea-94cc-0242ac110002,std_1593095122585_1,class_20200625-194027_1,AeM6-zV3G,9acc5c54-1cb5-440f-8dfb-26567b9aa5ac,51b77ce9-6131-469f-8ecf-8ed35046dca6,c76f2d7c-d285-49f5-a53e-94a5a867b2db,5bd25de6-46bd-4c0b-baf7-51e226882503,a4992d4f-c695-49a0-b96a-0380bb7e575e
tch_20200625-194027_4,b9714b26-b6ef-11ea-94cc-0242ac110002,std_1593095131680_4,class_20200625-194027_4,Cuvb-47qn,6fda09ba-84d0-40a4-aa66-7f14691cb0ac,5be09772-2304-4904-a5ee-a3b73d76f155,fbfe86bb-d04d-4f94-aedc-972ac65e791c,8ea8e8d3-38e1-4c26-8b30-f47985b8d7db,f5b1c57e-09ac-4e30-ab23-9b78fbfd7215
tch_20200625-194027_7,ba8579c4-b6ef-11ea-840b-0242ac110002,std_1593095133308_7,class_20200625-194027_7,VX9i-v6Zu,73e18771-2722-432a-a9c0-b16a8a2dfbfd,ca160b3e-bf8c-4b37-8d7a-9b733ff3eeea,c6552adf-9830-46a7-9350-4666ea480421,e702fffb-b3f5-4a42-948b-a08f73a6dd83,877557ec-19cd-450a-a163-8b98b329e104
tch_20200625-194027_3,c304c534-b6ef-11ea-94cc-0242ac110002,std_1593095147867_3,class_20200625-194027_3,8X7z-2hZY,5bde54a5-656f-413c-9ff7-1b196dfce561,9b662a96-c513-4bab-b27d-6391ba3faacb,f07e24e9-a5f0-4c34-bf50-cb251e014ade,70090143-d7e5-4a3f-a43a-ebaafee94192,125161a6-8be7-4add-9942-eb8142fb1c98
