folderPath,folderName,category,fileName
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf36_400lo_1--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf36_500lo_1--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf36_630lo_1--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf35_400lo_1--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf35_500lo_1--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H1,Id-product-perf36_500lo_2--class-0cdaeb23-5d38-4f4b-8bfa-c0313a600617
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_400lo_3--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf36_500lo_2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perfb1pe2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_300lo_2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_630lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_400lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf36_630lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_400lo_2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf36_400lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf38_300lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf38_630lo_2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perfb1pe1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf36_500lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf38_630lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_630lo_2--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-evpel1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H2,Id-product-perf37_300lo_1--class-9330ffaf-c461-4196-bd59-df78ae56e08f
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf35_500lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf38_300lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf38_630lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf33_400lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf33_500lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf38_630lo_2--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf33_500lo_2--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H3,Id-product-perf35_400lo_1--class-c009d9d6-f267-4522-bfec-1b4f9e7f4ff6
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perfprod3--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf38_630lo_1--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perfprod4--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf38_300lo_1--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf40_630lo_2--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf35_400lo_1--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf35_500lo_1--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf38_630lo_2--class-be21cf66-9544-4df5-b88a-b902158ba935
cup1/orgs/perf-test1-alpha/,classproductitemsaggregations,H4,Id-product-perf40_630lo_1--class-be21cf66-9544-4df5-b88a-b902158ba935
