teacher,stduuid,stdextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200626-122441_1,5cd254dd-b77b-11ea-94cc-0242ac110002,std_1593155120644_1,class_20200626-122441_1,rAu4-FAy2,7754368a-9d02-4174-8b9c-263a7160d796,b8f16ee9-167e-40e1-9795-fde4ea616e87,c7220542-d3c0-404d-9bd7-b1c7aebb3066,dab80e56-b89e-404c-b7e0-fb76addc6a6b,290fcfc2-64f5-482b-b3c8-beca93757706
tch_20200626-122441_2,66036421-b77b-11ea-840b-0242ac110002,std_1593155136087_2,class_20200626-122441_2,g8fW-boKm,a9f3f010-a828-4ad3-a1d1-83ce076c6062,6410f851-7f5a-4d23-8c4f-dcd4345fc206,59a28813-7fc0-430c-86b2-5bfe45a4cd62,2b2d6420-c634-4514-addb-547482acba4c,091ab725-1c5e-4c73-b4f6-131ef88d3c52
tch_20200626-122441_1,7aed3dcc-b77b-11ea-840b-0242ac110002,std_1593155171186_1,class_20200626-122441_1,rAu4-FAy2,7754368a-9d02-4174-8b9c-263a7160d796,b8f16ee9-167e-40e1-9795-fde4ea616e87,c7220542-d3c0-404d-9bd7-b1c7aebb3066,dab80e56-b89e-404c-b7e0-fb76addc6a6b,290fcfc2-64f5-482b-b3c8-beca93757706
tch_20200626-122441_5,83c509c7-b77b-11ea-94cc-0242ac110002,std_1593155186007_5,class_20200626-122441_5,WUx3-Qz6v,404550d5-6688-4caa-a4c1-6049de6d420e,5204636d-34e2-4a95-9261-a97f7da7daf1,933eb3fd-b18a-443a-af84-8b8e7b08051b,08ddcfcd-ce01-4500-b769-ffb6aeb7ebfc,a8927f83-03d1-4e4a-9c4e-90300e771f86
tch_20200626-122441_2,7cdd4dd6-b77b-11ea-94cc-0242ac110002,std_1593155174417_2,class_20200626-122441_2,g8fW-boKm,a9f3f010-a828-4ad3-a1d1-83ce076c6062,6410f851-7f5a-4d23-8c4f-dcd4345fc206,59a28813-7fc0-430c-86b2-5bfe45a4cd62,2b2d6420-c634-4514-addb-547482acba4c,091ab725-1c5e-4c73-b4f6-131ef88d3c52
tch_20200626-122441_3,753095e4-b77b-11ea-840b-0242ac110002,std_1593155161516_3,class_20200626-122441_3,xmbD-tgak,e72c1aaf-d5a6-4ae0-95e1-c8908c638efb,85f1f758-c7ca-447e-8344-8450467abf13,3b6bbf60-a530-4ec2-99c6-8b945ace3173,e88014e0-6f81-4957-bdfe-c9fc15c5d1dd,87c0e38c-f3ab-436b-a6c9-340ca541396c
tch_20200626-122441_1,8f3d21ec-b77b-11ea-94cc-0242ac110002,std_1593155205241_1,class_20200626-122441_1,rAu4-FAy2,7754368a-9d02-4174-8b9c-263a7160d796,b8f16ee9-167e-40e1-9795-fde4ea616e87,c7220542-d3c0-404d-9bd7-b1c7aebb3066,dab80e56-b89e-404c-b7e0-fb76addc6a6b,290fcfc2-64f5-482b-b3c8-beca93757706
tch_20200626-122441_4,81e23f3f-b77b-11ea-840b-0242ac110002,std_1593155182856_4,class_20200626-122441_4,VHi2-KDgs,5a96a6a5-e3d8-41e0-b0e5-c7d1666ea60f,1448f814-431b-4dca-9488-fd979c464164,1ee39838-8021-40f4-b5ba-af0dd9812e3d,020d95d5-4f4f-4323-ac34-515fefc57ee6,296e5306-1ffb-4672-a89f-6adc6b98a0c7
tch_20200626-122441_2,9871649d-b77b-11ea-94cc-0242ac110002,std_1593155220690_2,class_20200626-122441_2,g8fW-boKm,a9f3f010-a828-4ad3-a1d1-83ce076c6062,6410f851-7f5a-4d23-8c4f-dcd4345fc206,59a28813-7fc0-430c-86b2-5bfe45a4cd62,2b2d6420-c634-4514-addb-547482acba4c,091ab725-1c5e-4c73-b4f6-131ef88d3c52
tch_20200626-122441_5,9713d0b7-b77b-11ea-94cc-0242ac110002,std_1593155218401_5,class_20200626-122441_5,WUx3-Qz6v,404550d5-6688-4caa-a4c1-6049de6d420e,5204636d-34e2-4a95-9261-a97f7da7daf1,933eb3fd-b18a-443a-af84-8b8e7b08051b,08ddcfcd-ce01-4500-b769-ffb6aeb7ebfc,a8927f83-03d1-4e4a-9c4e-90300e771f86
tch_20200626-122441_1,a837064a-b77b-11ea-94cc-0242ac110002,std_1593155247136_1,class_20200626-122441_1,rAu4-FAy2,7754368a-9d02-4174-8b9c-263a7160d796,b8f16ee9-167e-40e1-9795-fde4ea616e87,c7220542-d3c0-404d-9bd7-b1c7aebb3066,dab80e56-b89e-404c-b7e0-fb76addc6a6b,290fcfc2-64f5-482b-b3c8-beca93757706
tch_20200626-122441_3,99c5351c-b77b-11ea-840b-0242ac110002,std_1593155222905_3,class_20200626-122441_3,xmbD-tgak,e72c1aaf-d5a6-4ae0-95e1-c8908c638efb,85f1f758-c7ca-447e-8344-8450467abf13,3b6bbf60-a530-4ec2-99c6-8b945ace3173,e88014e0-6f81-4957-bdfe-c9fc15c5d1dd,87c0e38c-f3ab-436b-a6c9-340ca541396c
tch_20200626-122441_4,ab318172-b77b-11ea-94cc-0242ac110002,std_1593155252126_4,class_20200626-122441_4,VHi2-KDgs,5a96a6a5-e3d8-41e0-b0e5-c7d1666ea60f,1448f814-431b-4dca-9488-fd979c464164,1ee39838-8021-40f4-b5ba-af0dd9812e3d,020d95d5-4f4f-4323-ac34-515fefc57ee6,296e5306-1ffb-4672-a89f-6adc6b98a0c7
tch_20200626-122441_6,a7eb5694-b77b-11ea-94cc-0242ac110002,std_1593155246650_6,class_20200626-122441_6,tFmh-J4wa,50674d0a-432c-46da-9275-506f88519fe5,2cb6b3d0-83fb-4c56-987f-a8211b322ee8,7e552380-33af-46f9-8663-a01b7927fd46,1e4530dc-0c12-4684-a872-dc16f41b855b,5d270b98-d003-4790-b6fa-15b171164a56
