teacherextuserid,classtitle,classcode2
tch_20220824-175616_31,class_20220824-175616_31,Q2a7-s6nA
tch_20220824-175616_32,class_20220824-175616_32,479c-otW6
tch_20220824-175616_33,class_20220824-175616_33,nJ3u-hn64
tch_20220824-175616_34,class_20220824-175616_34,9V42-B236
tch_20220824-175616_35,class_20220824-175616_35,ztYn-gcAR
tch_20220824-175616_36,class_20220824-175616_36,JTK8-ky2E
tch_20220824-175616_37,class_20220824-175616_37,XtCu-G3aN
tch_20220824-175616_38,class_20220824-175616_38,4Jpm-rVn9
tch_20220824-175616_39,class_20220824-175616_39,48K2-f2Er
tch_20220824-175616_40,class_20220824-175616_40,Qm8Q-u2zx
tch_20220824-175616_41,class_20220824-175616_41,6i6n-EwBT
tch_20220824-175616_42,class_20220824-175616_42,BjeN-37HF
tch_20220824-175616_43,class_20220824-175616_43,G3g6-x9vt
tch_20220824-175616_44,class_20220824-175616_44,VvcB-CXCk
tch_20220824-175616_45,class_20220824-175616_45,6rkf-vzr8
