tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220818-180043_1,09f09cc6-d21b-4d55-b356-32be855d8952,std_1660851734402_1,E7hk-H2nB
tch_20220818-180043_2,018d7a78-954b-4c67-93cd-590ff13e70bc,std_1660851750418_2,yZYr-8fkr
tch_20220818-180043_3,993eea08-bfc3-4fab-9b12-b12605a7ebdd,std_1660851766418_3,KVgr-DXQ6
tch_20220818-180043_1,dc47fec3-88f9-45e3-8791-99a76be503de,std_1660851764281_1,E7hk-H2nB
tch_20220818-180043_2,ed9f4d41-e222-4d71-9ce4-d384f5f18fd7,std_1660851777392_2,yZYr-8fkr
tch_20220818-180043_4,72378ee5-bac7-4581-8eb2-858b7871c7a1,std_1660851782434_4,dQjK-Hm2Z
tch_20220818-180043_3,ebb0d9f9-d0e4-4971-9fc8-1c8d437b9bfe,std_1660851790801_3,KVgr-DXQ6
tch_20220818-180043_1,6861f374-ea02-4995-bc73-fc45b4dddeb2,std_1660851795117_1,E7hk-H2nB
tch_20220818-180043_2,524e1610-bb36-4988-9758-b06293db6630,std_1660851801253_2,yZYr-8fkr
tch_20220818-180043_5,4b9b0faf-626b-4694-bf30-fdd4ee9750a8,std_1660851798435_5,82ic-oFHb
tch_20220818-180043_4,bc230d04-fa60-4a85-a75c-64213a59b6dd,std_1660851810105_4,dQjK-Hm2Z
tch_20220818-180043_6,5e12262a-72f1-4be0-bcc3-0aa6e1782d5e,std_1660851814450_6,edP8-iPAs
tch_20220818-180043_1,e2c98652-9720-4790-9b7f-81322d64dfeb,std_1660851818605_1,E7hk-H2nB
tch_20220818-180043_3,9f89315a-d320-4fa8-9ba6-01f6aef6af30,std_1660851816575_3,KVgr-DXQ6
tch_20220818-180043_2,ffa4c612-2c61-40d4-97af-a6163cabcc47,std_1660851826561_2,yZYr-8fkr
tch_20220818-180043_7,dcf26b75-6787-4c71-97bc-b2e271b771a8,std_1660851830466_7,p8jU-3739
tch_20220818-180043_5,43d5f8ef-2c6f-4b51-ba15-ad1d6840d2ea,std_1660851828248_5,82ic-oFHb
tch_20220818-180043_4,b0b890d6-c167-4fc1-8485-3c7d8f18b963,std_1660851839550_4,dQjK-Hm2Z
tch_20220818-180043_3,3e3e83eb-db69-4e61-bf08-0a7afae58d16,std_1660851846665_3,KVgr-DXQ6
tch_20220818-180043_6,79ed4933-16cb-48b3-b331-d49d7ee1517d,std_1660851844426_6,edP8-iPAs
tch_20220818-180043_8,f6246c6c-368a-4176-b4e2-6ae57e8fea07,std_1660851846468_8,Jw37-hTDm
tch_20220818-180043_5,e1b3a003-2974-4bb1-8fc8-d4540d1bb306,std_1660851857390_5,82ic-oFHb
tch_20220818-180043_7,b8aca2ad-9323-42a5-823d-ad758acf4ad0,std_1660851856098_7,p8jU-3739
