tchextuserid,classtitle,classcode
tch_20220909-192050_41,class_20220909-192050_41,npXD-i7dH
tch_20220909-192050_42,class_20220909-192050_42,UBP6-Q4Jf
tch_20220909-192050_43,class_20220909-192050_43,2Emt-282g
tch_20220909-192050_44,class_20220909-192050_44,3o84-C7kh
tch_20220909-192050_45,class_20220909-192050_45,jFt9-nVDg
tch_20220909-192050_46,class_20220909-192050_46,bATY-vrkg
tch_20220909-192050_47,class_20220909-192050_47,nBg8-yw78
tch_20220909-192050_48,class_20220909-192050_48,K8LM-s23x
tch_20220909-192050_49,class_20220909-192050_49,xGsc-9Bpz
tch_20220909-192050_50,class_20220909-192050_50,9VMk-LVLX
tch_20220909-192050_51,class_20220909-192050_51,tPG8-wnkx
tch_20220909-192050_52,class_20220909-192050_52,67dN-n8j8
tch_20220909-192050_53,class_20220909-192050_53,q4Z6-9wmX
tch_20220909-192050_54,class_20220909-192050_54,wcek-pi8c
tch_20220909-192050_55,class_20220909-192050_55,Gh9U-HTYj
tch_20220909-192050_56,class_20220909-192050_56,4smY-dk9e
tch_20220909-192050_57,class_20220909-192050_57,A3Hi-LPp9
tch_20220909-192050_58,class_20220909-192050_58,jFe3-DND2
tch_20220909-192050_59,class_20220909-192050_59,mt6G-3Kxi
tch_20220909-192050_60,class_20220909-192050_60,ngcm-sVNr
